Time;d10;d20;d40;d60;d80;d120
26.10.2015 23:30;0,324540498011672;0,30116919214431;0,365354729274837;0,342646064426809;0,353733893566767;0,389868345652204
27.10.2015;0,323768760665292;0,301044980886705;0,365317613759727;0,342606066380742;0,353677359859252;0,38986247554121
27.10.2015 00:30;0,323105745409482;0,300944463879594;0,365277972252952;0,342571674554404;0,353638410598714;0,389864942272862
27.10.2015 01:00;0,322442730157378;0,300843946873044;0,3652383307464;0,342537282728258;0,353599461338395;0,3898674090045
27.10.2015 01:30;0,321944488568422;0,30077798639533;0,365196410005555;0,34250621528933;0,353576192151982;0,389878673250056
27.10.2015 02:00;0,321446307770053;0,300712037595561;0,365154488988864;0,342475148659971;0,353552927267835;0,389889940065972
27.10.2015 02:30;0,321163235219009;0,30068450803531;0,365113123428066;0,342445816659698;0,353540867266785;0,389908471610505
27.10.2015 03:00;0,320880162666384;0,300656978474905;0,365071757867036;0,342416484659261;0,353528807265669;0,389927003155141
27.10.2015 03:30;0,320806923510948;0,300668620580286;0,365032636948184;0,342388234037355;0,35352847773426;0,389950601092532
27.10.2015 04:00;0,320733684355921;0,300680262685602;0,364993516029551;0,342359983415606;0,353528148202853;0,389974199029791
27.10.2015 04:30;0,320854389425761;0,300726228275696;0,364957567822142;0,34233400060439;0,353533264347163;0,390001723205036
27.10.2015 05:00;0,320975154548859;0,300772203846264;0,364921620595134;0,342308018739698;0,353538380712597;0,390029248232248
27.10.2015 05:30;0,321277249756026;0,300846224164787;0,364888627206797;0,342285683923922;0,353539433206048;0,390058170988702
27.10.2015 06:00;0,321579344964881;0,300920244483723;0,364855633818275;0,342263349108022;0,353540485699505;0,390087093745318
27.10.2015 06:30;0,32205685205955;0,301016067393799;0,364824808984751;0,342245717779137;0,35353569112503;0,39011446231657
27.10.2015 07:00;0,322534359151552;0,30111189030334;0,364793984151399;0,34222808645035;0,353530896550581;0,390141830887668
27.10.2015 07:30;0,323191548386583;0,301223282368147;0,3647640022372;0,342218495081006;0,353514444778225;0,390165706018145
27.10.2015 08:00;0,323848788333675;0,301334678440318;0,364734020343908;0,342208906678738;0,353497987914399;0,390189579876542
27.10.2015 08:30;0,324643247076512;0,301455547476007;0,364703326173592;0,342209819643953;0,353461371523449;0,39020899791515
27.10.2015 09:00;0,325437705823789;0,301576416512371;0,364672632003105;0,342210732609174;0,353424755132295;0,390228415953867
27.10.2015 09:30;0,326319964681686;0,301701782344319;0,364639748277098;0,342224292863972;0,353367290107056;0,390242193404396
27.10.2015 10:00;0,327202223534653;0,301827148175566;0,364606864551274;0,342237853118694;0,353309825082138;0,390255970854848
27.10.2015 10:30;0,328130608571646;0,301952984020318;0,364570660845639;0,342263605730347;0,353241961426149;0,390262785066849
27.10.2015 11:00;0,329059002972937;0,302078819422057;0,36453445596693;0,342289361907126;0,35317409693797;0,390269596715054
27.10.2015 11:30;0,32999978892427;0,302201416402884;0,364494240498609;0,342325204290979;0,35311143070083;0,39026735037087
27.10.2015 12:00;0,33094057488086;0,302324013384396;0,364454025030063;0,342361046675032;0,35304876446334;0,390265104026672
27.10.2015 12:30;0,33186710502873;0,302440427430328;0,364410608054628;0,342404533914762;0,353011009945408;0,390252770189351
27.10.2015 13:00;0,332793635171422;0,30255684147561;0,364367191079435;0,34244802115425;0,352973255427687;0,390240436352099
27.10.2015 13:30;0,33368309236901;0,302663491070182;0,364322959666533;0,342495490266989;0,352973240091069;0,390217623479626
27.10.2015 14:00;0,334572534600028;0,302770136977135;0,364278728378619;0,342542959984667;0,352973235692555;0,390194807235912
27.10.2015 14:30;0,335405523304228;0,302863503305135;0,364236092584731;0,342590228099512;0,353003844604783;0,390161403067036
27.10.2015 15:00;0,336238512013082;0,302956869633656;0,364193456790605;0,342637496214622;0,353034453517182;0,390127998897973
27.10.2015 15:30;0,33700057403168;0,303034829539347;0,364152966404353;0,342681746674326;0,353079589165632;0,390083939747136
27.10.2015 16:00;0,337762636046019;0,303112789444603;0,364112476018328;0,342725997133782;0,35312472481383;0,390039880596545
27.10.2015 16:30;0,33844281386305;0,303175225652843;0,36407433854959;0,342765424611685;0,353167392480401;0,389987546484597
27.10.2015 17:00;0,339122964429968;0,303237656947503;0,36403620217878;0,342804850800361;0,35321005767754;0,389935209993123
27.10.2015 17:30;0,339714712560185;0,303284906855543;0,364002573861186;0,342841043557417;0,353239759315023;0,38987627874323
27.10.2015 18:00;0,340306460693708;0,303332156763848;0,363968945543404;0,342877236314676;0,353269460952672;0,389817347493007
27.10.2015 18:30;0,340807356726131;0,303364858685889;0,363941209485548;0,342911164997468;0,353274354765195;0,389754139002251
27.10.2015 19:00;0,341308252755756;0,303397560607746;0,363913473427846;0,34294509368007;0,353279248577691;0,389690930511849
27.10.2015 19:30;0,341718754703011;0,303416247126043;0,363893452007912;0,342976095200748;0,353253274024637;0,389625963941571
27.10.2015 20:00;0,342129228003316;0,30343492921429;0,363873433562706;0,343007095359698;0,353227290393728;0,389560997149165
27.10.2015 20:30;0,342451079875217;0,303439943213151;0,36386428963747;0,343032513200637;0,353175447378296;0,389496400349708
27.10.2015 21:00;0,342772931748917;0,303444957212041;0,363855145712184;0,343057931041717;0,353123604362575;0,38943180354989
27.10.2015 21:30;0,343012743730541;0,303436583997759;0,363859510019021;0,343075621910362;0,353056518041286;0,389368982813963
27.10.2015 22:00;0,343252555710826;0,303428210783524;0,363863874325834;0,343093312778907;0,352989431720371;0,389306162078387
27.10.2015 22:30;0,343419264449565;0,303408325980382;0,363883050653756;0,343105309599586;0,35292001751572;0,389245732198261
27.10.2015 23:00;0,343585951302907;0,303388437858493;0,363902231657287;0,343117305263291;0,352850604683263;0,389185303161913
27.10.2015 23:30;0,343688978994507;0,303359322393255;0,363935818629866;0,343127765013962;0,35279209461148;0,389127756062663
28.10.2015;0,343792006686682;0,303330206927853;0,363969405602633;0,343138224764692;0,35273358453937;0,389070208963091
28.10.2015 00:30;0,34384265610994;0,303294092299945;0,364014903087795;0,343150494141071;0,352698172392816;0,389016749478776
28.10.2015 01:00;0,343893305532916;0,303257977672238;0,364060400572703;0,343162763517381;0,35266276024646;0,38896328999476
28.10.2015 01:30;0,343901923442604;0,303217212950075;0,364114309347595;0,343177433279018;0,352656423403698;0,388915865393336
28.10.2015 02:00;0,343910529449411;0,303176447197633;0,364168220192878;0,34319210324477;0,352650094819831;0,388868442985503
28.10.2015 02:30;0,343886785558404;0,30313389329926;0,364226657669595;0,343205648348199;0,352666300973669;0,388828693497412
28.10.2015 03:00;0,343863041667264;0,303091339400649;0,364285095146638;0,343219193451703;0,352682507127597;0,388788944009099
28.10.2015 03:30;0,34381607125909;0,303048576463378;0,36434459983837;0,343226525952553;0,352706586885819;0,388758937751036
28.10.2015 04:00;0,343769100851178;0,303005813526346;0,36440410452977;0,343233858453363;0,352730666643907;0,388728931493141
28.10.2015 04:30;0,343706812077796;0,302963125727939;0,364462179849604;0,343232161004511;0,352752708831011;0,38871062145603
28.10.2015 05:00;0,343644519620686;0,302920437854363;0,364520254403588;0,343230460342465;0,352774748342646;0,388692315376238
28.10.2015 05:30;0,343574525824512;0,302877205113045;0,364574972514345;0,34321771029449;0,352782106352266;0,38868704246322
28.10.2015 06:00;0,343504532027947;0,302833972371485;0,364629690625407;0,343204960246444;0,352789464361927;0,388681769550172
28.10.2015 06:30;0,343433541448135;0,302788741301506;0,36467871870977;0,343181793782712;0,352772059473382;0,388689292210942
28.10.2015 07:00;0,34336255086872;0,30274351023178;0,364727746793858;0,343158627319109;0,352754654584935;0,388696814871669
28.10.2015 07:30;0,343296752548181;0,302695195706332;0,364767471317218;0,343124642302019;0,352706067840126;0,388715572952878
28.10.2015 08:00;0,343230956586294;0,302646880054184;0,364807192608325;0,34309065359386;0,352657472623015;0,388734334382888
