Tag;"Tag im
Monat";Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
12;12;1;0,00;-214,77;1014,13;6,65;84,49;3,29;4,50;5,16;5,45;5,63;5,83;4,61;9,59;4,90;0,00;;;;;;;
13;13;1;0,00;-7,05;1006,75;7,07;83,01;2,82;4,39;4,93;5,16;5,32;5,55;4,47;10,41;4,69;0,00;;;;;;;
14;14;1;0,40;120,61;1002,66;8,60;81,22;4,72;5,30;5,38;5,33;5,36;5,48;5,38;10,36;7,03;0,60;;;;;;;
15;15;1;0,20;29,28;875,04;6,32;87,49;5,69;5,20;5,55;5,54;5,53;5,58;5,38;8,18;4,47;0,20;;;;;;;
16;16;1;1,19;2,84;715,67;7,09;95,20;4,18;5,55;5,75;5,65;5,60;5,64;5,72;9,19;5,45;1,39;;;;;;;
17;17;1;0,40;57,54;998,79;5,48;90,26;6,93;5,00;5,51;5,59;5,62;5,69;5,20;6,43;3,84;0,00;;;;;;;
18;18;1;0,80;53,05;468,16;5,11;79,90;6,84;4,52;5,14;5,29;5,39;5,56;4,79;6,81;3,01;0,80;;;;;;;
19;19;1;4,38;-169,82;182,54;4,99;92,48;6,47;4,25;4,81;4,98;5,13;5,37;4,50;5,90;3,66;7,16;;;;;;;
20;20;1;6,37;41,98;162,89;2,55;99,58;5,24;3,91;4,59;4,80;4,95;5,21;4,15;4,20;1,04;3,58;;;;;;;
21;21;1;0,00;-9,62;279,06;-0,33;94,75;2,44;2,79;3,83;4,27;4,55;4,94;3,03;1,22;-0,97;0,00;;;;;;;
22;22;1;0,00;88,72;378,88;-0,32;93,28;1,96;1,97;3,03;3,56;3,95;4,50;2,25;0,90;-1,28;0,00;;;;;;;
23;23;1;0,00;79,43;260,23;0,98;95,81;2,39;2,30;3,06;3,39;3,69;4,19;2,59;1,63;0,26;0,40;;;;;;;
24;24;1;5,37;19,70;176,28;0,66;99,79;4,31;2,11;2,93;3,28;3,57;4,03;2,37;1,44;-0,20;4,98;;;;;;;
25;25;1;0,00;-465,39;981,41;-1,88;91,85;2,73;1,37;2,42;2,92;3,27;3,80;1,67;-0,37;-3,68;0,00;;;;;;;
26;26;1;0,00;-2,65;435,33;-4,02;101,55;1,85;0,99;1,95;2,48;2,85;3,46;1,22;-2,72;-5,44;0,00;;;;;;;
27;27;1;0,00;285,99;1433,20;-4,88;97,68;2,19;0,72;1,66;2,16;2,53;3,14;0,97;-1,95;-7,08;0,00;;;;;;;
28;28;1;0,00;89,72;214,96;-0,10;98,43;4,04;0,59;1,48;1,95;2,33;2,91;0,83;1,50;-2,56;0,00;;;;;;;
29;29;1;0,00;534,22;1544,70;-0,25;101,65;1,99;0,60;1,42;1,85;2,19;2,74;0,83;2,39;-2,16;0,00;;;;;;;
30;30;1;0,00;174,69;280,56;1,45;101,46;4,89;0,60;1,39;1,78;2,10;2,62;0,84;2,58;0,22;0,80;;;;;;;
31;31;1;0,80;-178,40;1713,17;-2,68;69,02;2,61;0,58;1,34;1,70;1,99;2,50;0,84;1,71;-5,73;0,00;;;;;;;
32;1;2;0,00;-176,46;1443,10;-6,43;76,04;1,99;0,36;1,18;1,57;1,85;2,38;0,61;-3,81;-9,07;0,00;;;;;;;
