CURRENT.DATE,RootSystem_Age_days,TotalRootLen_cm,SubType1_Len_cm,SubType2_Len_cm,SubType3_Len_cm,SubType4_Len_cm,TotalRootAng_rad,SubType1_Ang_rad,SubType2_Ang_rad,SubType3_Ang_rad,SubType4_Ang_rad,TotalRootNumber,SubType1_Number,SubType2_Number,SubType3_Number,SubType4_Number,RootTipDepthMean_cm,RootTipDepthMax_cm
32,33.0,52987.595126492204,1676.2730064520358,11489.069369170058,39568.12865473676,0.0,1.2230454904916515,1.5231999999999999,1.2217300000000002,1.2217300000000004,0.0,8624,33,1393,7194,0,-30.049213047884106,-57.087616776018386
33,34.0,55649.359623576325,1734.543818655145,12016.78445334666,41634.07359903667,0.0,1.2230632148787781,1.5246,1.2217300000000002,1.2217300000000002,0.0,9033,34,1446,7548,0,-30.11600321225991,-57.087616776018386
34,35.0,58327.00790900655,1792.8146308582543,12543.174079059587,43709.659816905776,0.0,1.2230786895310686,1.52592,1.2217300000000004,1.2217300000000004,0.0,9447,35,1500,7906,0,-30.18754654005134,-57.087616776018386
35,36.0,61027.32336107908,1851.0854430613635,13062.613149548743,45813.499104445575,0.0,1.2230565241183626,1.5271666666666666,1.2217300000000002,1.2217300000000004,0.0,9868,36,1556,8270,0,-30.283485282037837,-57.087616776018386
36,37.0,63728.5431914213,1909.356255264473,13583.68554958377,47917.23028974569,0.0,1.2230364265577918,1.5283459459459459,1.2217300000000002,1.2217300000000004,0.0,10287,37,1612,8632,0,-30.361710665252374,-57.087616776018386
37,38.0,66437.16593280679,1967.6270674675823,14112.665103422481,50021.057541636445,0.0,1.2230181427503741,1.5294631578947366,1.2217300000000004,1.2217300000000004,0.0,10704,38,1672,8988,0,-30.414212829493177,-57.087616776018386
38,39.0,69161.63962518988,2025.8978796706915,14656.317099133621,52126.643751836884,0.0,1.223000544621192,1.5305230769230767,1.2217300000000004,1.2217300000000004,0.0,11127,39,1735,9347,0,-30.460720999969123,-57.087616776018386
39,40.0,71895.78229767496,2084.1686918738005,15210.716731151528,54231.71255188885,0.0,1.2229845613579287,1.53153,1.2217300000000006,1.2217300000000004,0.0,11547,40,1798,9703,0,-30.49524658615535,-57.087616776018386
40,41.0,74649.1143224476,2142.43950407691,15772.631514947687,56356.76854717152,0.0,1.2229681480554169,1.5324878048780488,1.2217300000000002,1.2217300000000004,0.0,11982,41,1862,10073,0,-30.52090088997428,-57.087616776018386
41,42.0,77398.20909163734,2193.6743675100142,16343.520475858793,58483.73949201708,0.0,1.222952589371981,1.5333999999999999,1.2217300000000004,1.2217300000000004,0.0,12420,42,1924,10448,0,-30.51882661955285,-57.087616776018386
42,43.0,80196.98074110517,2251.9451797131237,16921.344143722246,60646.41666141833,0.0,1.222937245667211,1.5342697674418606,1.2217300000000004,1.2217300000000002,0.0,12867,43,1987,10831,0,-30.511810643308728,-57.087616776018386
43,44.0,83049.232795391,2310.2159919162327,17506.84986428114,62854.89218294216,0.0,1.2229222158835011,1.5351000000000001,1.2217300000000004,1.2217300000000004,0.0,13322,44,2049,11223,0,-30.506290076689115,-57.087616776018386
44,45.0,85950.99674900295,2368.486804119342,18092.515531562378,65112.719657069756,0.0,1.2229080078380146,1.5358933333333338,1.2217300000000002,1.2217300000000004,0.0,13779,45,2107,11621,0,-30.508048024840768,-57.087616776018386
45,46.0,88914.75732518948,2426.757616322451,18671.183981775,67439.54097084056,0.0,1.2228942213172311,1.5366521739130439,1.22173,1.2217300000000004,0.0,14242,46,2163,12027,0,-30.52547526917643,-57.087616776018386
46,47.0,91938.01284730004,2477.992479755556,19247.9702792975,69834.77533199551,0.0,1.2228810681261901,1.537378723404256,1.2217300000000002,1.2217300000000004,0.0,14708,47,2222,12433,0,-30.56128177155846,-57.087616776018386
47,48.0,94998.74151452565,2536.2632919586654,19822.705011457896,72262.49845485762,0.0,1.2228690230718526,1.5380749999999999,1.22173,1.2217300000000004,0.0,15170,48,2276,12840,0,-30.603237635982115,-57.087616776018386
48,49.0,98046.03945727291,2594.5341041617744,20384.445235766067,74689.7853610936,0.0,1.2228581230001283,1.538742857142857,1.2217300000000002,1.2217300000000002,0.0,15626,49,2331,13240,0,-30.659124155334496,-57.087616776018386
49,50.0,101029.15981172991,2652.804916364884,20928.822236560885,77070.25790255266,0.0,1.2228484669943387,1.539384,1.22173,1.2217300000000004,0.0,16073,50,2382,13635,0,-30.710405431183876,-57.087616776018386
50,51.0,103949.46524894102,2704.039779797988,21463.72100320524,79404.42970968632,0.0,1.2228396693914627,1.54,1.22173,1.2217300000000004,0.0,16515,51,2438,14020,0,-30.767007605048818,-57.087616776018386
51,52.0,106804.34778587376,2762.310592001097,21994.220579408386,81670.5418582128,0.0,1.2228321103570379,1.5405923076923078,1.2217300000000002,1.2217300000000004,0.0,16945,52,2494,14393,0,-30.81058593434187,-57.087616776018386
52,53.0,109600.30092506274,2820.5814042042066,22527.613355641886,83874.83140896517,0.0,1.2228255560034555,1.5411622641509437,1.2217300000000002,1.2217300000000002,0.0,17365,53,2551,14755,0,-30.840482248531483,-57.087616776018386
53,54.0,112346.45743418441,2878.852216407316,23062.359250546484,86027.97121097913,0.0,1.2228193112173185,1.5417111111111115,1.2217300000000002,1.2217300000000004,0.0,17785,54,2609,15116,0,-30.87214627960432,-57.087616776018386
54,55.0,115053.03241317524,2930.0870798404208,23596.810763195997,88148.85981388736,0.0,1.2228135331282282,1.5422400000000005,1.2217300000000002,1.2217300000000004,0.0,18202,55,2662,15479,0,-30.898606435881867,-57.087616776018386
55,56.0,117739.56246995208,2988.35789204353,24122.40305227798,90251.52676937911,0.0,1.222807840189024,1.54275,1.2217300000000004,1.2217300000000004,0.0,18622,56,2716,15844,0,-30.927563911807553,-57.087616776018386
56,57.0,120435.32605117481,3046.628704246639,24643.65799037324,92367.76460030346,0.0,1.2228020605837886,1.5432421052631582,1.2217300000000002,1.2217300000000006,0.0,19048,57,2772,16213,0,-30.96202632785152,-57.087616776018386
57,58.0,123147.06765228091,3104.8995164497483,25167.835102014044,94497.05827756565,0.0,1.2227968077456473,1.5437172413793105,1.2217300000000002,1.2217300000000004,0.0,19469,58,2830,16575,0,-30.99263106928455,-57.087616776018386
58,59.0,125872.56845345368,3163.1703286528573,25698.27414333642,96633.84922521294,0.0,1.2227921510838409,1.544176271186441,1.2217300000000002,1.2217300000000004,0.0,19883,59,2883,16935,0,-31.01592125936587,-57.087616776018386
59,60.0,128563.40253346023,3214.4051920859615,26223.128633519394,98748.5939516034,0.0,1.222787475986405,1.5446200000000005,1.2217300000000002,1.2217300000000004,0.0,20301,60,2939,17296,0,-31.04025397908302,-57.087616776018386
60,61.0,131276.39854897105,3272.676004289071,26752.55473586131,100873.89305256921,0.0,1.222782938706564,1.5450491803278694,1.2217300000000004,1.2217300000000004,0.0,20720,61,2994,17659,0,-31.06661514520315,-57.087616776018386
61,62.0,133988.65162233228,3330.9468164921805,27280.516041062452,102999.91400852618,0.0,1.2227786309016941,1.5454645161290328,1.2217300000000002,1.2217300000000004,0.0,21138,62,3048,18022,0,-31.089657884367313,-57.087616776018386
62,63.0,136672.07375782932,3389.21762869529,27804.588380149547,105100.992992733,0.0,1.2227747809744782,1.5458666666666674,1.2217300000000004,1.2217300000000004,0.0,21550,63,3100,18381,0,-31.107430131401188,-57.087616776018386
63,64.0,139386.13665797596,3447.488440898399,28325.057650135594,107226.48215428597,0.0,1.2227865367985076,1.5462562499999999,1.2217300000000004,1.2217300000000002,0.0,21971,64,3155,18745,0,-31.130252418090116,-57.087616776018386
64,65.0,142110.17207479847,3498.7233043315036,28845.712957368847,109361.22577079707,0.0,1.2227978982626952,1.546633846153846,1.2217300000000002,1.2217300000000004,0.0,22391,65,3211,19107,0,-31.153818961702395,-57.087616776018386
65,66.0,144819.40275874996,3549.958167764608,29366.32378570128,111479.84448114253,0.0,1.2227938184608642,1.5470000000000002,1.2217300000000002,1.2217300000000004,0.0,22805,66,3265,19466,0,-31.17334866320548,-57.087616776018386
66,67.0,147496.9219922502,3601.1930311977126,29885.727008980204,113568.5801951268,0.0,1.2227897928599116,1.5473552238805972,1.2217300000000002,1.2217300000000004,0.0,23221,67,3323,19823,0,-31.18715242560685,-57.087616776018386
67,68.0,150202.0373340816,3659.4638434008216,30420.56847630322,115663.03813397916,0.0,1.2227858196201196,1.5477000000000003,1.2217300000000004,1.2217300000000004,0.0,23639,68,3383,20180,0,-31.19544598234717,-57.087616776018386
68,69.0,152906.4816414352,3717.734655603931,30962.754830516446,117750.06060064804,0.0,1.222781678440825,1.548034782608696,1.2217300000000004,1.2217300000000004,0.0,24064,69,3447,20540,0,-31.20273414713002,-57.087616776018386
69,70.0,155624.2764014909,3776.00546780704,31515.974829360268,119839.9611214447,0.0,1.222777638219682,1.5483600000000004,1.2217300000000004,1.2217300000000004,0.0,24490,70,3511,20901,0,-31.20789280206243,-57.087616776018386
70,71.0,158366.19107172563,3834.2762800101495,32081.82314538438,121941.89591346943,0.0,1.2227734848728036,1.5486760563380286,1.2217300000000004,1.2217300000000002,0.0,24922,71,3575,21268,0,-31.203929336582004,-57.162524601733274
71,72.0,161130.3596933838,3885.5111434432547,32662.20962320936,124066.62041797242,0.0,1.2227688175009859,1.5489833333333334,1.2217300000000004,1.2217300000000004,0.0,25370,72,3639,21651,0,-31.197950134469828,-57.162524601733274
72,73.0,163963.54201409422,3943.7819556463637,33252.55188088925,126251.18966879981,0.0,1.2227642319907053,1.5492821917808222,1.2217300000000002,1.2217300000000004,0.0,25820,73,3701,22038,0,-31.186364523979336,-57.162524601733274
73,74.0,166846.56286602467,4002.0527678494727,33842.76648135733,128485.7251080591,0.0,1.2227592942205991,1.5495729729729733,1.2217300000000002,1.2217300000000002,0.0,26283,74,3763,22438,0,-31.178806078404516,-57.162524601733274
74,75.0,169807.75926194215,4060.323580052582,34432.49674827038,130798.92042486041,0.0,1.2227544508000603,1.5498560000000003,1.2217300000000002,1.2217300000000004,0.0,26748,75,3820,22845,0,-31.177204036599917,-57.162524601733274
75,76.0,172824.537033384,4118.594392255692,35016.42667909547,133173.49745327406,0.0,1.2227496979606838,1.5501315789473689,1.2217300000000004,1.2217300000000004,0.0,27215,76,3876,23255,0,-31.182379136427418,-57.162524601733274
76,77.0,175890.63921780192,4176.865204458802,35592.455923419744,135605.2995811646,0.0,1.222745215506341,1.5504000000000004,1.2217300000000004,1.2217300000000004,0.0,27679,77,3931,23663,0,-31.19237349777307,-57.162524601733274
77,78.0,178962.9977462293,4235.136016661911,36155.946309486615,138055.89691132196,0.0,1.2227407731116324,1.550661538461539,1.2217300000000004,1.2217300000000004,0.0,28146,78,3987,24073,0,-31.210532542832564,-57.162524601733274
78,79.0,181987.68070809502,4286.370880095015,36710.13510901206,140475.1562102292,0.0,1.2227369332167835,1.5509164556962032,1.2217300000000004,1.2217300000000004,0.0,28600,79,4042,24471,0,-31.23126625430326,-57.162524601733274
79,80.0,184944.71221143802,4344.641692298124,37250.255918329494,142833.79609205163,0.0,1.222733766099594,1.551165,1.2217300000000004,1.2217300000000004,0.0,29038,80,4094,24856,0,-31.247026361987192,-57.162524601733274
80,81.0,187820.3435795084,4402.912504501233,37780.68797792515,145120.72458832327,0.0,1.2227308968442487,1.5514074074074073,1.2217300000000004,1.2217300000000004,0.0,29470,81,4148,25233,0,-31.264558294112952,-57.162524601733274
81,82.0,190630.08065289533,4461.183316704343,38305.62214916012,147347.2566782721,0.0,1.2227283776008566,1.5516439024390245,1.2217300000000004,1.2217300000000004,0.0,29894,82,4202,25602,0,-31.28039359798948,-57.162524601733274
82,83.0,193374.72068348323,4519.454128907452,38827.67706041782,149511.5709853992,0.0,1.222726257423783,1.5518746987951808,1.2217300000000002,1.2217300000000004,0.0,30308,83,4257,25960,0,-31.28953469864752,-57.162524601733274
83,84.0,196075.56240099634,4570.688992340557,39350.36936028002,151638.485539617,0.0,1.222724259114584,1.5520999999999998,1.22173,1.2217300000000004,0.0,30720,84,4313,26315,0,-31.29810625648072,-57.162524601733274
84,85.0,198766.86210314947,4628.959804543666,39877.40540345894,153744.47838638807,0.0,1.2227222818231462,1.5523199999999997,1.22173,1.2217300000000004,0.0,31133,85,4370,26670,0,-31.306527065207142,-57.162524601733274
85,86.0,201431.38291274145,4680.194667976771,40402.48509245081,155832.6846435551,0.0,1.2227203877001114,1.5525348837209298,1.2217300000000002,1.2217300000000004,0.0,31545,86,4425,27026,0,-31.31389677077949,-57.162524601733274
86,87.0,204094.81216272683,4738.46548017988,40926.215651506296,157914.11252228188,0.0,1.2227184805532094,1.5527448275862066,1.22173,1.2217300000000002,0.0,31959,87,4478,27386,0,-31.32149383240814,-57.162524601733274
87,88.0,206748.35903495658,4789.700343612984,41447.70139367189,159994.93878891293,0.0,1.2227165612355215,1.55295,1.2217300000000002,1.2217300000000004,0.0,32375,88,4534,27745,0,-31.329579020851597,-57.162524601733274
88,89.0,209428.21773726135,4847.971155816094,41974.37301137882,162089.85506130764,0.0,1.2227147206465392,1.5531505617977528,1.22173,1.2217300000000004,0.0,32790,89,4589,28104,0,-31.33739498697421,-57.162524601733274
89,90.0,212114.96413431581,4899.206019249199,42501.48906917925,164198.2505371286,0.0,1.2227129852724155,1.5533466666666667,1.2217300000000002,1.2217300000000006,0.0,33203,90,4643,28462,0,-31.344318909290767,-57.162524601733274
90,91.0,214809.05636120413,4950.440882682303,43025.394856571154,166317.20211319192,0.0,1.2227111174231162,1.5535384615384613,1.22173,1.2217300000000004,0.0,33622,91,4699,28824,0,-31.356051111558255,-57.162524601733274
91,92.0,217512.3463714007,5001.6757461154075,43548.87362377921,168445.7784927473,0.0,1.2227093530949797,1.5537260869565215,1.2217300000000002,1.2217300000000004,0.0,34039,92,4754,29185,0,-31.366390406685436,-57.162524601733274
92,93.0,220206.5740206613,5059.9465583185165,44068.21335271709,170562.39560086693,0.0,1.2227076598461768,1.5539096774193546,1.22173,1.2217300000000002,0.0,34455,93,4810,29544,0,-31.376421090726883,-57.162524601733274
93,94.0,222887.91617390673,5118.217370521626,44589.65698375549,172654.18965446635,0.0,1.222716102156706,1.5540893617021272,1.2217300000000002,1.2217300000000002,0.0,34868,94,4863,29902,0,-31.382815894579014,-57.162524601733274
94,95.0,225563.4061135382,5176.488182724735,45112.339150472624,174731.3249855325,0.0,1.2227244031860318,1.5542652631578942,1.2217300000000002,1.2217300000000004,0.0,35279,95,4919,30255,0,-31.389913215863228,-57.162524601733274
95,96.0,228245.1893407597,5227.723046157839,45633.12588932634,176822.3203286267,0.0,1.2227227046034017,1.5544375,1.2217300000000002,1.2217300000000004,0.0,35691,96,4972,30613,0,-31.398355664809518,-57.162524601733274
96,97.0,230934.76832813624,5278.957909590945,46154.480017830705,178921.1648912618,0.0,1.2227208801129916,1.5546061855670101,1.22173,1.2217300000000002,0.0,36109,97,5030,30972,0,-31.408810918068905,-57.162524601733274
97,98.0,233638.76894872548,5337.228721794054,46688.325959883776,181015.503634142,0.0,1.2227190703022344,1.5547714285714285,1.2217300000000002,1.2217300000000004,0.0,36528,98,5089,31331,0,-31.416109770173726,-57.162524601733274
98,99.0,236356.5048093789,5395.499533997163,47232.67190644822,183113.65806175946,0.0,1.222717221380244,1.554933333333333,1.2217300000000002,1.2217300000000004,0.0,36950,99,5152,31689,0,-31.419766565740062,-57.162524601733274
99,100.0,239086.451613754,5453.770346200273,47782.097497444054,185219.50503472346,0.0,1.222715256032961,1.5550919999999997,1.2217300000000002,1.2217300000000004,0.0,37378,100,5215,32053,0,-31.424409460019334,-57.162524601733274
100,100.0,241832.6358495515,5512.041158403381,48344.77540042964,187336.65012184164,0.0,1.2227132051519403,1.5552475247524749,1.2217300000000002,1.2217300000000004,0.0,37811,101,5278,32422,0,-31.42187236020093,-57.162524601733274
101,100.0,244595.61769277081,5570.31197060649,48916.687095445785,189469.44945784166,0.0,1.2227109955035036,1.5553999999999994,1.22173,1.2217300000000004,0.0,38252,102,5342,32798,0,-31.411644606487663,-57.162524601733274
102,100.0,247409.5396342771,5628.582782809599,49498.58295759215,191643.20472499848,0.0,1.2227086338854298,1.5555495145631062,1.2217300000000002,1.2217300000000004,0.0,38701,103,5406,33182,0,-31.39983408786851,-57.162524601733274
103,100.0,250278.8763520825,5686.853595012708,50091.2300576053,193861.62353058762,0.0,1.2227060521947861,1.5556961538461538,1.2217300000000002,1.2217300000000004,0.0,39161,104,5470,33577,0,-31.38782519063875,-57.162524601733274
104,100.0,253204.1014296468,5745.124407215819,50683.73940456928,196136.06844898482,0.0,1.2227035304510239,1.55584,1.2217300000000002,1.2217300000000004,0.0,39621,105,5526,33980,0,-31.37675450972294,-57.162524601733274
105,100.0,256170.30123148137,5796.3592706489235,51268.86500563839,198465.9077863172,0.0,1.222700945467246,1.5559811320754715,1.2217300000000002,1.2217300000000004,0.0,40086,106,5582,34388,0,-31.370050431083115,-57.162524601733274
106,100.0,259220.97838827217,5854.630082852032,51849.98982255417,200877.18931398907,0.0,1.2226983003747909,1.556119626168224,1.2217300000000002,1.2217300000000004,0.0,40556,107,5638,34801,0,-31.370703376262835,-57.162524601733274
107,100.0,262314.6817272011,5912.9008950551415,52419.36115441746,203343.2505088516,0.0,1.2226957394271791,1.556255555555555,1.2217300000000002,1.2217300000000004,0.0,41025,108,5694,35213,0,-31.375333899765796,-57.162524601733274
108,100.0,265396.78841115383,5971.1717072582505,52982.1561224154,205804.29141260326,0.0,1.2226934917918189,1.5563889908256876,1.2217300000000002,1.2217300000000004,0.0,41483,109,5750,35614,0,-31.383309343047053,-57.162524601733274
109,100.0,268428.8896883707,6029.44251946136,53541.334943977,208218.94305605543,0.0,1.222691453712978,1.5565199999999995,1.2217300000000004,1.2217300000000004,0.0,41934,110,5807,36007,0,-31.393104325733383,-57.162524601733274
110,100.0,271386.5758830106,6087.713331664469,54092.71515565733,210566.9782268118,0.0,1.222689708075707,1.556648648648648,1.2217300000000002,1.2217300000000004,0.0,42374,111,5862,36391,0,-31.40224181255119,-57.162524601733274
111,100.0,274259.9547982821,6145.984143867578,54633.296023758725,212841.5054617789,0.0,1.2226880654504688,1.5567749999999998,1.2217300000000002,1.2217300000000004,0.0,42811,112,5918,36771,0,-31.410913837453577,-57.162524601733274
112,100.0,277054.38616620004,6204.2549560706875,55171.12863676627,215039.83340448624,0.0,1.2226866993547199,1.5568991150442475,1.2217300000000002,1.2217300000000004,0.0,43237,113,5972,37142,0,-31.415039688695643,-57.162524601733274
113,100.0,279825.4331950666,6262.525768273797,55703.15482021542,217220.58343770046,0.0,1.2226854036783403,1.5570210526315786,1.2217300000000002,1.2217300000000004,0.0,43661,114,6025,37512,0,-31.41913003555918,-57.162524601733274
114,100.0,282578.2014440015,6320.796580476906,56227.75744800136,219390.47824664638,0.0,1.2226840896409377,1.557140869565217,1.2217300000000002,1.2217300000000004,0.0,44087,115,6081,37881,0,-31.42416245969943,-57.162524601733274
115,100.0,285320.9077390919,6379.0673926800155,56754.09879589369,221548.57238164128,0.0,1.2226829077918582,1.5572586206896546,1.2217300000000004,1.2217300000000004,0.0,44508,116,6137,38245,0,-31.427226605903098,-57.162524601733274
116,100.0,288060.71100877767,6437.3382048831245,57283.21511696,223700.98851805765,0.0,1.222681811645818,1.5573743589743583,1.2217300000000004,1.2217300000000004,0.0,44926,117,6195,38604,0,-31.429032531955478,-57.162524601733274
117,100.0,290765.3880922279,6488.573068316229,57814.594197503015,225823.0516575318,0.0,1.2226808405566956,1.5574881355932197,1.2217300000000002,1.2217300000000004,0.0,45339,118,6250,38961,0,-31.42774506827178,-57.162524601733274
118,100.0,293464.0845367071,6546.843880519338,58342.972369603005,227935.09911770778,0.0,1.2226797624459116,1.5575999999999992,1.2217300000000004,1.2217300000000004,0.0,45758,119,6304,39325,0,-31.426406270025666,-57.162524601733274
119,100.0,296146.69077606365,6598.078743952443,58867.1791735506,230042.2636896837,0.0,1.2226787244455999,1.5577099999999997,1.2217300000000002,1.2217300000000004,0.0,46176,120,6360,39686,0,-31.42406795986749,-57.162524601733274
120,100.0,298827.18542152294,6649.313607385548,59391.852412460066,232146.8502328004,0.0,1.2226777254093968,1.5578181818181813,1.2217300000000004,1.2217300000000004,0.0,46593,121,6415,40047,0,-31.42211607316006,-57.162524601733274
121,100.0,301511.46691632987,6700.548470818652,59915.42754079096,234256.32173584332,0.0,1.2226767843771278,1.557924590163934,1.2217300000000004,1.2217300000000004,0.0,47008,122,6471,40405,0,-31.419417386076987,-57.162524601733274
122,100.0,304224.8280665309,6758.819283021762,60447.11496243092,236379.72465220137,0.0,1.2226757600995197,1.5580292682926824,1.2217300000000002,1.2217300000000004,0.0,47428,123,6530,40765,0,-31.419082332738046,-57.162524601733274
