CURRENT.DATE,RootSystem_Age_days,TotalRootLen_cm,SubType1_Len_cm,SubType2_Len_cm,SubType3_Len_cm,SubType4_Len_cm,TotalRootAng_rad,SubType1_Ang_rad,SubType2_Ang_rad,SubType3_Ang_rad,SubType4_Ang_rad,TotalRootNumber,SubType1_Number,SubType2_Number,SubType3_Number,SubType4_Number,RootTipDepthMean_cm,RootTipDepthMax_cm
0,1.0,9.734294560257416,9.734294560257416,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0,0,-12.617044345698297,-12.617044345698297
1,2.0,28.690215333718974,28.690215333718974,0.0,0.0,0.0,0.7854,0.7854,0.0,0.0,0.0,2,2,0,0,0,-15.878678667953448,-21.08844424570662
2,3.0,56.3820942692895,56.3820942692895,0.0,0.0,0.0,1.0472,1.0472,0.0,0.0,0.0,3,3,0,0,0,-19.02141904227496,-28.94376923487909
3,4.0,112.01715441773854,92.349841608726,0.0,0.0,0.0,1.309,1.1781,0.0,0.0,0.0,6,4,0,0,0,-16.782344298886336,-37.08403574745185
4,5.0,190.62817087419754,136.15759877503797,0.0,0.0,0.0,1.3962666666666665,1.25664,0.0,0.0,0.0,9,5,0,0,0,-18.159913903386588,-44.73611002605087
5,6.0,279.39559798823916,187.3924622081425,0.0,0.0,0.0,1.41372,1.309,0.0,0.0,0.0,10,6,0,0,0,-23.67370014553211,-51.988214348975696
6,7.0,373.2267152971895,238.627325641247,6.305388267908811,0.0,0.0,1.3297761904761902,1.3463999999999998,1.2217300000000002,0.0,0.0,21,7,10,0,0,-18.545408978867652,-51.988214348975696
7,8.0,499.60389568356135,289.8621890743516,46.35745831533374,0.0,0.0,1.2774329787234044,1.37445,1.22173,0.0,0.0,47,8,35,0,0,-15.068958852099465,-51.988214348975696
8,9.0,689.2272154399382,348.13300127746083,143.7806173318253,0.0,0.0,1.2554471590909093,1.3962666666666665,1.2217299999999998,0.0,0.0,88,9,75,0,0,-14.560119466833164,-54.40341012315139
9,10.0,954.3533076968395,406.40381348057014,306.60501547335,11.224025488058544,0.0,1.2436914569536421,1.41372,1.2217300000000004,1.2217300000000004,0.0,151,10,122,15,0,-15.331188262833265,-55.748177001174994
10,11.0,1322.0139357834687,457.6386769136746,536.5989982777533,81.47494035580868,0.0,1.2360473828125005,1.428,1.22173,1.2217299999999995,0.0,256,11,173,68,0,-15.784719810425853,-55.748177001174994
11,12.0,1888.8997825159154,515.9094891167839,834.4825494337605,284.38364783201683,0.0,1.2313566666666669,1.4399,1.2217300000000004,1.22173,0.0,417,12,229,172,0,-16.63987574476425,-57.087616776018386
12,13.0,2722.9530967332735,574.1803013198933,1200.2913509899104,694.3573482901161,0.0,1.2286670270270272,1.4499692307692307,1.22173,1.22173,0.0,629,13,290,322,0,-17.771719156050167,-57.087616776018386
13,14.0,3898.6487129464535,632.4511135230026,1633.3216800595605,1378.751823230537,0.0,1.226942898230089,1.4586,1.2217300000000002,1.2217300000000002,0.0,904,14,358,528,0,-19.364610764429752,-57.087616776018386
14,15.0,5449.860643016154,683.6859769561071,2117.0424730939676,2395.008096832726,0.0,1.2258856075533662,1.4660799999999996,1.2217300000000004,1.2217300000000004,0.0,1218,15,416,783,0,-20.661829228020512,-57.087616776018386
15,16.0,7413.062560183438,734.9208403892114,2633.058529187355,3790.9590944735173,0.0,1.225156599113363,1.4726249999999999,1.2217300000000004,1.22173,0.0,1579,16,469,1090,0,-22.07738643719018,-57.087616776018386
16,17.0,9800.538130045268,793.1916525923209,3166.959162000676,5586.263219318917,0.0,1.2246257616892915,1.4783999999999997,1.2217300000000004,1.2217300000000002,0.0,1989,17,525,1443,0,-23.537289429808855,-57.087616776018386
17,18.0,12493.898175321254,851.46246479543,3712.7479724931673,7675.563641899303,0.0,1.2242490680412372,1.483533333333333,1.22173,1.2217300000000004,0.0,2425,18,580,1823,0,-24.799170631298487,-57.087616776018386
18,19.0,15344.99670083158,902.6973282285346,4260.752721832529,9927.422554637164,0.0,1.2239911379551822,1.4881263157894733,1.22173,1.2217300000000002,0.0,2856,19,632,2201,0,-25.812167112681184,-57.087616776018386
19,20.0,18257.71166699787,960.9681404316439,4797.993064625562,12244.626365807311,0.0,1.2237945677888993,1.4922599999999995,1.22173,1.2217300000000002,0.0,3297,20,687,2586,0,-26.706412595155065,-57.087616776018386
20,21.0,21194.524737763146,1019.2389526347532,5335.390402822608,14585.771286172434,0.0,1.223645917001339,1.4959999999999996,1.2217300000000002,1.2217300000000004,0.0,3735,21,742,2968,0,-27.460407667649086,-57.087616776018386
21,22.0,24049.447695135917,1070.4738160678576,5862.834707934964,16862.01507499974,0.0,1.2235336577745737,1.4993999999999994,1.2217300000000004,1.2217300000000004,0.0,4161,22,796,3339,0,-28.02937987672345,-57.087616776018386
22,23.0,26798.176017444974,1128.7446282709668,6376.120158647385,19039.187134393265,0.0,1.2234474917996938,1.5025043478260864,1.2217300000000004,1.2217300000000004,0.0,4573,23,848,3698,0,-28.438009512505143,-57.087616776018386
23,24.0,29464.077441479436,1187.0154404740763,6882.109767163701,21140.828137708304,0.0,1.2233762291792094,1.50535,1.2217300000000002,1.2217300000000004,0.0,4983,24,900,4055,0,-28.774206814364675,-57.087616776018386
24,25.0,32106.909170182324,1245.2862526771855,7393.629211321875,23213.86961004991,0.0,1.2233169790313605,1.507968,1.2217300000000002,1.2217300000000002,0.0,5389,25,955,4405,0,-29.039040623778188,-57.087616776018386
25,26.0,34725.30681507372,1296.52111611029,7904.072094659758,25270.58950817032,0.0,1.2232670920393716,1.5103846153846152,1.2217300000000002,1.2217300000000002,0.0,5791,26,1009,4752,0,-29.255045913397215,-57.087616776018386
26,27.0,37328.29535787193,1347.7559795433945,8411.249538094471,27315.165744100712,0.0,1.2232239228036177,1.512622222222222,1.2217300000000002,1.2217300000000002,0.0,6192,27,1062,5099,0,-29.42697386822524,-57.087616776018386
27,28.0,39938.5974676528,1406.026791746504,8916.088508257648,29362.358071515297,0.0,1.2231849014852987,1.5146999999999997,1.2217300000000002,1.2217300000000002,0.0,6598,28,1117,5449,0,-29.58760552718203,-57.087616776018386
28,29.0,42538.09481146086,1457.2616551796082,9425.86561491463,31400.843445233277,0.0,1.2231508097686377,1.5166344827586205,1.2217300000000002,1.2217300000000002,0.0,7002,29,1172,5797,0,-29.71428929767993,-57.087616776018386
29,30.0,45124.4668967568,1515.5324673827174,9936.870391800698,33417.93994144003,0.0,1.223121000945563,1.5184399999999996,1.2217300000000002,1.2217300000000002,0.0,7403,30,1225,6144,0,-29.805822309128654,-57.087616776018386
30,31.0,47713.060906424944,1566.7673308158219,10447.758142041988,35444.411337433776,0.0,1.2230937312668122,1.520129032258064,1.2217300000000002,1.2217300000000002,0.0,7807,31,1280,6492,0,-29.888165503166864,-57.087616776018386
31,32.0,50328.44564879409,1618.0021942489266,10963.135995924462,37493.183362487354,0.0,1.2230686559532506,1.5217125,1.2217300000000002,1.2217300000000004,0.0,8214,32,1336,6842,0,-29.96794701193602,-57.087616776018386
