depth,bulk density,Hyprop,Ks,Sand,Silt,Clay,van Genuchten (1980) parameters,water content at saturation,1 meas.,2 meas.,3 meas.,mean,2000 - 63�m,63 - 2 �m,> 2 �m,qs,qr,a,n(cm), (g cm3),(cm3 cm-3),(cm day-1),(cm day-1),(cm day-1),(cm day-1),(mass %),(mass %),(mass %),(cm3 cm-3),(cm3 cm-3),(cm-1),(-)
40,1.59,0.50,13.00,18.00,19.00,16.67,13.38,65.8,20.84,0.4900000000,0.0000000000,0.0051500000,1.2950000000
40,1.65,0.48,1.29,1.28,1.16,1.24,13.38,65.8,20.84,0.4270000000,0.0140000000,0.0065600000,1.2850000000
40,1.58,0.50,4.22,3.95,-,4.09,13.38,65.8,20.84,0.3950000000,0.0000000000,0.0051200000,1.2500000000
80,1.63,0.49,0.199,-,-,0.20,7.68,71.3,21.02,0.4130000000,0.0000000000,0.0014400000,1.2820000000
80,1.64,0.49,0.950,0.756,0.689,0.80,7.68,71.3,21.02,0.4080000000,0.0000000000,0.0040400000,1.2360000000
80,1.66,0.48,0.816,1.045,0.968,0.94,7.68,71.3,21.02,0.3310000000,0.0580000000,0.0056600000,1.3430000000
120,1.66,0.48,113.2,89.9,91.6,98.21,9.04,66.9,24.11,0.4540000000,0.0000000000,0.0008880000,1.3550000000
120,1.65,0.48,5.17,5.11,4.79,5.02,9.04,66.9,24.11,0.4120000000,0.0250000000,0.0036300000,1.3040000000
120,1.68,0.48,4.12,3.86,3.30,3.76,9.04,66.9,24.11,0.4140000000,0.0000000000,0.0010800000,1.3110000000
