runnr;ALFA
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
1;0.95
