time,cm0,cm10,cm20,cm40,cm60,cm75
1,-112.167525686677,-112.167525686677,-128.519553829229,-102.774152520587,-103.715893082793,-103.715893082793
2,-107.564057475885,-107.564057475885,-119.998564260581,-101.426185890485,-103.016179256149,-103.016179256149
3,-105.465356818761,-105.465356818761,-114.607373126352,-100.98888137753,-102.296766901297,-102.296766901297
4,-103.633486515224,-103.633486515224,-110.514156116688,-100.066176501373,-101.314236649686,-101.314236649686
5,-102.760374144529,-102.760374144529,-108.678210204231,-99.4883071353617,-100.048472467489,-100.048472467489
6,-102.470620850622,-102.470620850622,-101.488372636706,-98.5308689849788,-99.7503909320363,-99.7503909320363
7,-103.217043042737,-103.217043042737,-104.561031759182,-98.4282297677859,-99.0640385052344,-99.0640385052344
8,-103.736508696023,-103.736508696023,-102.155180751888,-97.3577647346505,-98.346735749167,-98.346735749167
9,-103.152224699511,-103.152224699511,-100.882971682813,-97.0161729397064,-98.3115286655267,-98.3115286655267
10,-102.787207674607,-102.787207674607,-100.548051296081,-97.0208123721415,-98.3098966796956,-98.3098966796956
11,-102.810404251481,-102.810404251481,-100.239584979493,-97.3595009157795,-97.9869635314176,-97.9869635314176
12,-102.924022329976,-102.924022329976,-99.9738274770998,-97.7016987137398,-97.9916566276941,-97.9916566276941
13,-102.737602754707,-102.737602754707,-98.9581787742691,-97.7986699372605,-98.0386484009464,-98.0386484009464
14,-102.386971328521,-102.386971328521,-100.105291389484,-97.8206344678597,-98.0692253178268,-98.0692253178268
15,-102.914754877512,-102.914754877512,-100.311206818335,-98.0769116021569,-98.0520741785142,-98.0520741785142
16,-101.332659380797,-101.332659380797,-100.061408265097,-98.7935418128252,-97.4075557796192,-97.4075557796192
17,-100.754441695828,-100.754441695828,-99.4675736869687,-98.8341401846727,-97.4314285249043,-97.4314285249043
18,-100.697155044425,-100.697155044425,-99.7574774995606,-98.8282689480937,-98.0936893319085,-98.0936893319085
19,-100.016152520364,-100.016152520364,-99.6973955260168,-99.0847348883834,-98.06355703729,-98.06355703729
20,-99.8960503197519,-99.8960503197519,-98.9384238499877,-99.0055184289333,-98.3493861764982,-98.3493861764982
21,-99.9918754931825,-99.9918754931825,-99.0390423060478,-99.0737848786231,-98.3594570687725,-98.3594570687725
22,-99.8655290949031,-99.8655290949031,-99.5568111082803,-99.5305277989338,-98.4165599902844,-98.4165599902844
23,-100.018306251429,-100.018306251429,-99.370584388146,-99.6519004127339,-99.1638599558658,-99.1638599558658
24,-100.616577120063,-100.616577120063,-99.2948141456174,-99.6247666335605,-99.1919556007364,-99.1919556007364
25,-99.9364699873003,-99.9364699873003,-98.9606354805871,-99.6290419712035,-99.2021695372494,-99.2021695372494
26,-99.7985814310047,-99.7985814310047,-98.5276967916655,-99.5744478865272,-99.1818823828071,-99.1818823828071
27,-99.612820473003,-99.612820473003,-98.6557783380651,-99.6494639336891,-99.2021695372494,-99.2021695372494
28,-99.7203816321775,-99.7203816321775,-98.7278674571453,-99.7023416923497,-99.2417078513339,-99.2417078513339
29,-99.6262070718571,-99.6262070718571,-98.3548809531728,-99.704477840855,-99.5903795298883,-99.5903795298883
30,-99.7587188091582,-99.7587188091582,-98.1076327927261,-99.7306944685136,-99.2696648483718,-99.2696648483718
31,-99.646391987772,-99.646391987772,-98.3505333489684,-99.6999769892629,-99.607859432234,-99.607859432234
32,-99.8201661495339,-99.8201661495339,-98.2131440886433,-99.6133188147662,-99.5732434770978,-99.5732434770978
33,-99.120656924476,-99.120656924476,-97.8745833820342,-99.6047201102037,-99.5436190711303,-99.5436190711303
34,-99.0171188379308,-99.0171188379308,-98.0311392159233,-99.6699437179302,-99.5562116765635,-99.5562116765635
35,-98.3946606397306,-98.3946606397306,-98.07910586894,-99.7257238858711,-99.607859432234,-99.607859432234
36,-98.2330865624976,-98.2330865624976,-98.2551412081429,-99.8672496539253,-99.6754330802936,-99.6754330802936
37,-98.4032854950604,-98.4032854950604,-98.417028157433,-99.9952407640815,-100.094323160379,-100.094323160379
38,-98.2710876716828,-98.2710876716828,-98.3126605229959,-99.9949697918803,-100.159384718335,-100.159384718335
39,-98.1132567013869,-98.1132567013869,-98.4862985471215,-100.088033154544,-100.200541407895,-100.200541407895
40,-97.9287326500983,-97.9287326500983,-98.6203881110843,-100.208753665508,-100.616379209966,-100.616379209966
41,-97.1116276343983,-97.1116276343983,-97.8543484969371,-99.63991693383,-100.232261646084,-100.232261646084
42,-96.9229822046518,-96.9229822046518,-97.9436793272175,-99.6104783425516,-99.8252790729182,-99.8252790729182
43,-96.7561434565397,-96.7561434565397,-97.8280912756974,-98.892942825623,-99.7902100508628,-99.7902100508628
44,-96.6441551776739,-96.6441551776739,-97.9798756710059,-99.2803547360651,-99.7977224928504,-99.7977224928504
45,-97.0210869603939,-97.0210869603939,-98.0466539201783,-99.3585955922129,-99.8583125548184,-99.8583125548184
46,-97.3297272259045,-97.3297272259045,-97.7306171016474,-99.4001332416934,-99.8918576299466,-99.8918576299466
47,-97.4341571679083,-97.4341571679083,-97.8280912756974,-98.9237165152977,-99.8557141962832,-99.8557141962832
48,-96.8970879895828,-96.8970879895828,-97.2898134051542,-98.9842595987045,-99.8453888626409,-99.8453888626409
49,-96.8133967363508,-96.8133967363508,-97.137454203767,-99.0688105362543,-99.8868150465061,-99.8868150465061
50,-96.4648784088552,-96.4648784088552,-97.1869570294008,-99.505602498755,-100.302566843313,-100.302566843313
51,-96.2918922292753,-96.2918922292753,-96.9800599510496,-99.0137802007689,-99.5805314624942,-99.5805314624942
52,0,0,0,0,0,0
53,-96.1778627114015,-96.1778627114015,-96.5332962728124,-99.1620700643563,-99.9750885795287,-99.9750885795287
54,-96.4809748764775,-96.4809748764775,-96.5382690109795,-99.5409806045234,-100.019165534427,-100.019165534427
55,-97.277209243964,-97.277209243964,-96.6828082527713,-98.7482067232754,-99.9776784803119,-99.9776784803119
56,-99.4999994943087,-99.4999994943087,-96.5741434696996,-98.6534381472883,-99.9185167936225,-99.9185167936225
57,-101.576513845928,-101.576513845928,-96.6288020132342,-98.661500517008,-99.8896065533332,-99.8896065533332
58,-104.445815005534,-104.445815005534,-96.810391290274,-98.7958118254714,-99.953430813118,-99.953430813118
59,-106.561565268726,-106.561565268726,-97.2237206220275,-98.8648525452424,-100.005421484167,-100.005421484167
60,-108.790399965017,-108.790399965017,-97.6992235449883,-99.2864271886639,-100.061300131252,-100.061300131252
61,-111.392494779198,-111.392494779198,-99.5577030804932,-99.4365064358359,-100.168725488707,-100.168725488707
62,-111.621507417193,-111.621507417193,-100.298863803703,-99.3261786172955,-100.503325507408,-100.503325507408
63,-113.534745708167,-113.534745708167,-101.563232309006,-99.2505490175738,-100.101066579071,-100.101066579071
64,-118.743257983735,-118.743257983735,-103.340578159967,-99.2806619748048,-100.098323363011,-100.098323363011
65,-139.566742587175,-139.566742587175,-108.29618182752,-100.050671046604,-100.485338292395,-100.485338292395
66,-198.501026269543,-198.501026269543,-118.187311500353,-100.323073126694,-100.494173118021,-100.494173118021
67,-257.277354836221,-257.277354836221,-130.862942913986,-101.189729161305,-100.415053265021,-100.415053265021
68,-333.883998730246,-333.883998730246,-129.024712833334,-105.776740728536,-100.013596814304,-100.013596814304
69,-420.477463305097,-420.477463305097,-150.201800968057,-119.492330028793,-99.9859996051337,-99.9859996051337
70,-527.047482244559,-527.047482244559,-178.250728087791,-146.938218488579,-99.9778021531008,-99.9778021531008
71,-666.523366361119,-666.523366361119,-255.262401061603,-185.751457782502,-99.994229340903,-99.994229340903
72,-774.188222138497,-774.188222138497,-289.792458191326,-222.458608523744,-99.9346128547204,-99.9346128547204
73,-893.667620841762,-893.667620841762,-344.200481796664,-256.711344432779,-99.5418095620444,-99.5418095620444
74,-1040.1709090533,-1040.1709090533,-384.250224545661,-286.934636452159,-99.820112272404,-99.820112272404
75,-1450.93270215702,-1450.93270215702,-438.502262079544,-324.809085507768,-100.149219921959,-100.149219921959
76,-1874.99406406256,-1874.99406406256,-484.949563676712,-379.368671034765,-104.483028210749,-104.483028210749
77,-2322.37054194822,-2322.37054194822,-532.013552301201,-446.467724441549,-119.378569436927,-119.378569436927
78,-2707.29275558577,-2707.29275558577,-573.952520912629,-505.318746772184,-135.493063995133,-135.493063995133
79,-2917.34358840013,-2917.34358840013,-615.749225844933,-547.335426083984,-175.021757423907,-175.021757423907
80,-3201.43604997832,-3201.43604997832,-669.746380715914,-605.54085080621,-222.962403272693,-222.962403272693
81,-3507.6505394217,-3507.6505394217,-749.438963143142,-681.525299041301,-269.839700139689,-269.839700139689
82,-3925.16782799558,-3925.16782799558,-866.67095131387,-887.002033183703,-353.697949184096,-353.697949184096
83,-4739.0484910869,-4739.0484910869,-1084.2447642659,-1519.80970451212,-845.3226191458,-845.3226191458
84,-5242.72830449383,-5242.72830449383,-1312.16888703256,-2174.62518574665,-1538.73235859006,-1538.73235859006
85,-6187.37940119067,-6187.37940119067,-1747.6591699243,-3695.72889799062,-2615.48505638154,-2615.48505638154
86,-5517.60679201521,-5517.60679201521,-2316.68150329352,-5411.10044229272,-3776.89120881113,-3776.89120881113
87,-3809.91919323202,-3809.91919323202,-3184.46594754823,-7269.53605589629,-5345.16479997107,-5345.16479997107
88,-4593.54493182553,-4593.54493182553,-4449.11380001292,-9713.10234044976,-7863.64803293856,-7863.64803293856
89,-6939.1336426783,-6939.1336426783,-6106.81488550188,-12682.410377499,-11168.1455941592,-11168.1455941592
90,-10146.0440089248,-10146.0440089248,-8229.17711856041,-16097.6285155057,-15250.5728177475,-15250.5728177475
91,-13963.4834141967,-13963.4834141967,-11240.7937418542,-19930.9261209806,-19393.1462542762,-19393.1462542762
92,-18367.2444099223,-18367.2444099223,-14206.0755444931,-23648.5509011225,-23858.0036307675,-23858.0036307675
93,-21795.3450544279,-21795.3450544279,-16968.6150036424,-27013.3686986594,-27707.0640478586,-27707.0640478586
94,-27509.4709847824,-27509.4709847824,-20581.1416077742,-29029.8993103026,-31772.4677125135,-31772.4677125135
95,-29229.4924009831,-29229.4924009831,-23288.9646359927,-30755.374299559,-34948.2327284753,-34948.2327284753
96,-28457.2649320619,-28457.2649320619,-25561.5194280081,-32085.3141651956,-37250.6507615826,-37250.6507615826
97,-29997.9939946502,-29997.9939946502,-27558.8726845819,-32470.9192607244,-39402.9693267266,-39402.9693267266
