time,cm0,cm10,cm20,cm40,cm60,cm75
1.000000000000000000e+00,-9.494716040778899924e+01,-9.494716040778899924e+01,-6.428368630101930137e+01,-4.102362667450599787e+01,-4.135946873460018480e+01,-4.135946873460018480e+01
2.000000000000000000e+00,-9.986867219283513464e+01,-9.986867219283513464e+01,-6.518764895333730180e+01,-3.750161878978105534e+01,-3.579984272588070127e+01,-3.579984272588070127e+01
3.000000000000000000e+00,-8.616258346409337321e+01,-8.616258346409337321e+01,-6.072334229425547392e+01,-3.656198389692586659e+01,-3.529221342921713500e+01,-3.529221342921713500e+01
4.000000000000000000e+00,-9.291927180834038325e+01,-9.291927180834038325e+01,-6.033881008463312412e+01,-3.476462432770706812e+01,-3.378498353357554862e+01,-3.378498353357554862e+01
5.000000000000000000e+00,-1.019469339059557740e+02,-1.019469339059557740e+02,-6.443143994789419082e+01,-3.372015070780854273e+01,-3.093033520281134940e+01,-3.093033520281134940e+01
6.000000000000000000e+00,-1.126539747938766709e+02,-1.126539747938766709e+02,-7.002136645150442007e+01,-3.471036453242012954e+01,-2.915979404880406989e+01,-2.915979404880406989e+01
7.000000000000000000e+00,-7.578492423795809430e+01,-7.578492423795809430e+01,-5.823101778461990108e+01,-3.858964903080075004e+01,-3.176491022706390410e+01,-3.176491022706390410e+01
8.000000000000000000e+00,-5.612642236661634598e+01,-5.612642236661634598e+01,-4.927678750785617012e+01,-3.135417019733854005e+01,-2.720282126359728636e+01,-2.720282126359728636e+01
9.000000000000000000e+00,-7.477029983838656335e+01,-7.477029983838656335e+01,-6.148231321310157682e+01,-3.236942643584208668e+01,-2.528253979879394819e+01,-2.528253979879394819e+01
1.000000000000000000e+01,-9.719251859490930201e+01,-9.719251859490930201e+01,-7.652924548817752282e+01,-3.663786316267263743e+01,-2.765105313319250513e+01,-2.765105313319250513e+01
