time,cm0,cm10,cm20,cm40,cm60,cm75
1,-139.50285758076,-139.50285758076,-142.711230425172,-121.132324442761,-115.49815800936,-115.49815800936
2,-132.993025364276,-132.993025364276,-135.831837660808,-121.090867589841,-114.159136052425,-114.159136052425
3,-120.083380666562,-120.083380666562,-129.998320899471,-120.662094476149,-113.481512910749,-113.481512910749
4,-125.112541217122,-125.112541217122,-121.385409506986,-120.003228310255,-113.109599120991,-113.109599120991
5,-148.66520587809,-148.66520587809,-120.176068732407,-119.412022677083,-112.475552749568,-112.475552749568
6,-171.100418270981,-171.100418270981,-120.211954962902,-119.121277209735,-112.495320908595,-112.495320908595
7,-118.814976079846,-118.814976079846,-117.685049584812,-118.749317288795,-112.50527708041,-112.50527708041
8,-112.79304823961,-112.79304823961,-107.441135109898,-113.434580914094,-111.489607653669,-111.489607653669
9,-114.488124385207,-114.488124385207,-107.444818360151,-109.137949382206,-109.809570744086,-109.809570744086
10,-124.033089030285,-124.033089030285,-107.733922946533,-108.140810919782,-109.465376371744,-109.465376371744
11,-143.121194566924,-143.121194566924,-108.730886757101,-108.132882190493,-108.468524320588,-108.468524320588
12,-162.561822839635,-162.561822839635,-109.465344882894,-107.803820640765,-108.789027959312,-108.789027959312
13,-169.073701450449,-169.073701450449,-109.960186383977,-107.547699555737,-108.481001452804,-108.481001452804
14,-182.663221633941,-182.663221633941,-110.285711584768,-107.257429420327,-108.185899650136,-108.185899650136
15,-115.60478296454,-115.60478296454,-107.207882526599,-106.914069064989,-107.876137726514,-107.876137726514
16,-116.88306617655,-116.88306617655,-106.93108687125,-105.939829118938,-107.21103967401,-107.21103967401
17,-129.558488268024,-129.558488268024,-107.615560845924,-105.950304151368,-106.563023739661,-106.563023739661
18,-148.561519958255,-148.561519958255,-108.580300646785,-105.952669215183,-106.569299305799,-106.569299305799
19,-160.709241600337,-160.709241600337,-109.500609608858,-105.916805761509,-106.565090742204,-106.565090742204
20,-136.460680119154,-136.460680119154,-109.739578745574,-105.874007483122,-106.221306471107,-106.221306471107
21,-152.257307342263,-152.257307342263,-111.172658220929,-105.568935748445,-106.205121321951,-106.205121321951
