Bezeichnung;Pa. Nr.;Tiefe;Raster;Schnittpkt.;Wurzellängendichte;PARZNR.;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due;Vord
ze;16;15;7.5;202;1.579;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;30;5;252;1.313;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;45;2.5;260;0.677;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;60;2.5;330;0.860;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;75;2.5;247;0.643;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;105;1;203;0.212;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;16;120;1;147;0.153;16;1;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
no;20;15;9;430;4.033;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;30;5;225;1.172;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;45;2.5;192;0.500;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;60;1;120;0.125;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;75;1;149;0.155;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;90;1;207;0.216;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;105;1;214;0.223;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;20;120;1;155;0.162;20;1;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
ze;20;15;7.5;296;2.313;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;30;7.5;289;2.259;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;45;2.5;172;0.448;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;60;5;203;1.058;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;75;1;173;0.180;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;90;1;285;0.297;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;105;1;117;0.122;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;20;120;1;153;0.159;20;1;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
no;23;15;2.5;372;0.969;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;30;7;241;1.758;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;45;2.5;137;0.357;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;60;1;196;0.204;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;75;1;194;0.202;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;90;2.5;102;0.266;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;105;1;187;0.195;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
no;23;120;1;105;0.109;23;1;Agrar;WWeizen;Senf;Pflug;ohne N;Red
ze;23;15;7.5;265;2.071;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;30;9;314;2.945;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;45;1;117;0.122;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;60;1;143;0.149;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;75;1;223;0.232;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;90;2.5;139;0.362;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;105;1;120;0.125;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
ze;23;120;1;197;0.205;23;1;Agrar;WWeizen;Senf;Pflug;Off.-30%;Red
no;28;15;9;267;2.504;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;30;5;201;1.047;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;45;1;366;0.381;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;60;1;107;0.112;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;75;1;165;0.172;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;90;1;93;0.097;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;105;1;19;0.020;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
no;28;120;1;19;0.020;28;2;Agrar;WWeizen;Senf;Pflug;ohne N;Offi
ze;28;15;7.5;241;1.884;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;30;5;238;1.240;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;45;1;172;0.179;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;60;1;202;0.211;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;75;5;102;0.531;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;90;2.5;238;0.620;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;105;1;94;0.098;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
ze;28;120;1;26;0.027;28;2;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung;Offi
no;29;15;2.5;287;0.748;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;30;7.5;229;1.790;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;45;5;224;1.167;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;60;2.5;152;0.396;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;75;1;169;0.176;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;90;1;217;0.226;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;105;1;106;0.110;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
no;29;120;1;149;0.155;29;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Red
ze;29;15;9;370;3.470;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;30;2.5;277;0.722;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;45;2.5;230;0.599;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;60;2.5;187;0.487;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;75;1;138;0.144;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;90;1;118;0.123;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;105;1;123;0.128;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
ze;29;120;1;97;0.101;29;2;Gemüse;Weizen;Spinat;Pflug;Off.-30%;Red
no;33;15;;;.;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;
no;33;30;;;.;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;
no;33;45;9;295;2.767;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;33;60;2.5;324;0.844;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;33;75;2.5;297;0.774;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;33;90;1;214;0.223;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;33;105;2.5;133;0.346;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
no;33;120;5;187;0.974;33;2;Gemüse;Weizen;Spinat;Pflug;ohne N;Offi
ze;33;15;9;291;2.729;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;30;5;293;1.527;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;45;2.5;206;0.537;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;60;1;204;0.213;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
ze;33;75;5;267;1.391;33;2;Gemüse;Weizen;Spinat;Pflug;Offizialempfehlung;Offi
