Parzelle;Rohr;Blickrichtung;Tiefe;TK;Bonitur;Datum;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
3;a;rechts;30;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;35;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;40;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;45;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;50;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;55;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;60;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;65;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;70;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;75;75;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;80;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;85;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;90;90;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;95;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;100;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;105;105;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;110;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;115;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;a;rechts;120;120;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;5;15;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;10;15;1;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;15;15;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;20;30;1;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;25;30;2;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;30;30;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;35;45;1;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;40;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;45;45;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;50;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
3;b;links;55;60;0;30.04.1996;1;Agrar;Winterweizen;Ackersenf;Pflug;Offizialempf.
