PaNr;Reihe;Blickrichtung;Tiefe;Bonitur;Datum;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBE;N-DÜNGUNG
11;1;2;65;15;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;70;3;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;75;1.5;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;80;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;85;0.5;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;90;1;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;95;1;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;100;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;105;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;110;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;115;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;1;2;120;0;15.05.1995;120;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;5;2;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;10;1;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;15;2.5;15.05.1995;15;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;20;1;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;25;2;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;30;1;15.05.1995;30;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;35;3;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;40;1;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;45;2;15.05.1995;45;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;50;3;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;55;0.5;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;60;1;15.05.1995;60;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;65;1.5;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;70;1;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;75;1;15.05.1995;75;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;80;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;85;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;90;0;15.05.1995;90;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
11;2;1;95;0;15.05.1995;105;11;1;Gemüse;Weizen;Spinat;Pflug;N normal
