Datum;PaNr;Tiefe;Raster ;Schnittpunkte;WL;WLD;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
25.06.1996;58;45;5;336;1320.0;1.751;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;58;60;5;305;1198.2;1.589;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;58;75;2.5;232;455.7;0.604;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;58;90;1;110;86.4;0.115;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;58;105;2.5;218;428.2;0.568;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;58;120;1;136;106.9;0.142;3;Gemüse;Winterweizen;Spinat;Pflug;Offizialempf.
25.06.1996;61;15;9;355;2510.4;3.329;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;30;9;227;1605.2;2.129;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;45;7.5;274;1614.6;2.141;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;60;1;146;114.7;0.152;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;75;1;56;44.0;0.058;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;90;1;25;19.6;0.026;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;105;1;62;48.7;0.065;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
25.06.1996;61;120;1;95;74.6;0.099;3;Agrar;Winterweizen;Ackersenf;Pflug;Off.-30%
