PaNr;Rohr;Blickrichtung;Tiefe;Bonitur;Datum;TK;BLOCK;FRUFOL;KULTUR1;KULTUR2;BOBE;N-Due
60;1;1;115;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;1;120;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;5;0.5;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;10;1;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;15;3;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;20;3;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;25;1;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;30;1;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;35;5;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;40;1;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;45;0;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;50;2;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;55;2;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;60;0;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;65;0;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;70;0;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;75;0;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;80;0;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;85;0;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;90;0;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;95;0;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;100;1;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;105;0;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;110;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;115;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;1;2;120;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;5;1;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;10;0;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;15;0;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;20;2;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;25;1;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;30;1;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;35;0;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;40;0.5;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;45;2;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;50;5;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;55;0;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;60;3;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;65;2;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;70;0;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;75;1;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;80;1;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;85;0;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;90;1;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;95;2;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;100;1;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;105;1;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;110;1;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;115;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;1;120;2;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;5;1;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;10;3;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;15;3;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;20;2;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;25;3;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;30;1;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;35;1;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;40;1;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;45;2;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;50;1;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;55;4;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;60;3;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;65;3;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;70;2;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;75;0;13.06.1995;75;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;80;;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;85;;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;90;0;13.06.1995;90;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;95;1;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;100;1;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;105;0;13.06.1995;105;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;110;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;115;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
60;2;2;120;0;13.06.1995;120;3;Agrar;WWeizen;Senf;Pflug;Offizialempfehlung
55;1;1;5;3;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;10;0.5;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;15;0;13.06.1995;15;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;20;0;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;25;0;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;30;;13.06.1995;30;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;35;;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;40;1;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;45;2;13.06.1995;45;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;50;0;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;55;1;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
55;1;1;60;0;13.06.1995;60;3;Agrar;WWeizen;Senf;Pflug;Off.-30%
