Datum;Variante;Rohr;Blickrichtung;Tiefe;Bonitur;TK;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG;PARZNR.;BLOCK;FRUCHTFOLGE;KULTUR1;KULTUR2;BOBEA;N-DÜNGUNG
26.04.1995;60;1;1;80;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;85;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;90;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;95;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;100;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;105;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;110;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;115;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;1;120;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;5;0;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;10;0;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;15;2;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;20;3;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;25;0.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;30;3.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;35;2;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;40;1;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;45;0.5;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;50;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;55;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;60;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;65;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;70;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;75;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;80;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;85;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;90;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;95;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;100;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;105;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;110;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;115;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;1;2;120;1;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;5;0;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;10;0;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;15;2;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;20;3;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;25;0.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;30;3.5;30;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;35;2;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;40;1;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;45;0.5;45;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;50;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;55;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;60;1;60;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;65;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;70;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;75;0;75;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;80;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;85;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;90;0;90;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;95;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;100;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;105;0;105;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;110;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;115;0;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;1;120;1;120;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
26.04.1995;60;2;2;5;2.5;15;60;3;Agrar;WWeizen;Senf;Pflug;N normal;;;;;;;
