Tag;"Tag im
Monat";Monat;Woche;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";es;;;;;;
131;11;5;19;0,60;1680,94;3535,75;14,25;81,33;3,16;999,00;13,86;12,93;999,00;11,28;14,67;19,95;10,33;0,60;16,26;;;;;;
132;12;5;19;0,00;2319,80;4967,84;14,31;80,18;2,28;999,00;14,92;13,82;999,00;11,85;15,86;17,69;11,20;0,00;16,33;;;;;;
133;13;5;19;0,00;3738,56;7220,29;14,73;73,08;1,83;999,00;16,06;14,71;999,00;12,41;17,34;20,80;6,73;0,00;16,78;;;;;;
134;14;5;20;0,80;2838,84;5223,27;16,57;87,44;2,22;999,00;17,42;16,02;999,00;13,40;18,64;22,93;9,91;0,80;18,88;;;;;;
135;15;5;20;0,00;3553,26;6781,57;14,54;88,08;2,60;999,00;18,42;16,95;999,00;14,16;19,71;18,77;8,94;0,00;16,57;;;;;;
136;16;5;20;0,00;2604,65;4945,92;17,57;91,15;3,18;999,00;18,66;17,34;999,00;14,70;19,81;24,45;13,10;0,00;20,11;;;;;;
137;17;5;20;6,17;3054,67;5671,65;20,31;86,19;2,14;999,00;19,66;18,12;999,00;15,23;21,11;26,62;14,59;6,17;23,87;;;;;;
138;18;5;20;26,47;3259,48;5649,45;18,77;93,72;1,84;999,00;20,31;18,79;999,00;15,85;21,83;25,03;14,45;44,58;21,70;;;;;;
139;19;5;20;25,87;3695,12;6424,38;18,17;90,62;2,52;999,00;19,49;18,19;999,00;15,76;20,94;21,78;15,12;7,76;20,90;;;;;;
140;20;5;20;1,99;1885,72;3665,24;16,43;94,83;2,05;999,00;19,33;18,20;999,00;15,89;20,46;19,43;13,44;1,99;18,71;;;;;;
141;21;5;21;1,99;1518,10;3238,07;13,37;94,86;2,77;999,00;17,63;17,00;999,00;15,51;18,23;16,57;10,76;2,59;15,36;;;;;;
142;22;5;21;4,78;557,89;1135,15;10,62;101,72;2,01;999,00;16,21;15,91;999,00;14,95;16,37;11,84;9,35;5,17;12,81;;;;;;
143;23;5;21;2,99;2275,18;4049,75;9,80;93,27;2,46;999,00;15,48;14,99;999,00;14,21;16,11;12,72;7,60;1,99;12,13;;;;;;
144;24;5;21;0,20;3005,18;6044,07;9,46;82,04;1,86;999,00;15,57;14,87;999,00;13,88;16,42;13,52;5,38;0,20;11,85;;;;;;
145;25;5;21;0,00;3599,19;7180,94;10,21;72,49;1,25;999,00;15,74;14,85;999,00;13,69;16,84;15,31;2,93;0,00;12,47;;;;;;
146;26;5;21;0,20;2667,66;5000,00;9,91;87,41;2,04;999,00;15,86;15,05;999,00;13,83;16,74;14,06;4,51;0,60;12,21;;;;;;
