Tag;"Tag im
Monat";Monat;Woche;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";es;;;;;;
165;14;6;24;30,85;2102,19;3751,20;16,60;96,64;2,26;19,41;19,62;19,15;18,10;17,52;19,75;20,89;14,52;30,85;18,92;;;;;;
166;15;6;24;0,60;2211,78;4046,15;14,38;92,69;3,36;18,05;18,35;18,13;17,31;17,04;18,18;16,46;11,68;0,40;16,40;;;;;;
167;16;6;24;0,00;3389,88;6012,86;12,45;83,96;1,81;16,95;17,06;16,99;16,38;16,37;17,01;16,22;7,02;0,00;14,46;;;;;;
168;17;6;24;0,00;4280,57;7592,20;12,19;82,12;2,03;16,74;16,71;16,55;15,91;15,90;16,79;17,82;5,62;0,00;14,22;;;;;;
169;18;6;25;0,00;2888,13;5292,01;11,27;85,50;1,98;15,80;16,17;16,21;15,66;15,68;15,88;16,15;5,29;0,00;13,37;;;;;;
170;19;6;25;0,00;4395,88;7659,74;13,67;76,50;1,75;16,56;16,34;15,93;15,25;15,28;16,89;18,99;6,25;0,00;15,67;;;;;;
171;20;6;25;0,80;2266,14;4236,76;14,22;89,54;2,07;17,18;17,21;16,70;15,83;15,59;17,47;17,47;11,32;0,80;16,24;;;;;;
172;21;6;25;1,59;1849,08;3187,06;15,49;89,76;3,57;16,37;16,54;16,30;15,60;15,55;16,58;18,51;12,95;1,59;17,62;;;;;;
173;22;6;25;2,39;2509,80;4609,73;14,78;87,44;2,82;16,38;16,37;16,07;15,37;15,38;16,58;18,18;12,20;2,59;16,83;;;;;;
174;23;6;25;5,97;2282,99;4040,84;13,09;96,15;3,70;16,06;16,31;16,09;15,42;15,41;16,30;16,23;10,95;7,16;15,08;;;;;;
175;24;6;25;2,99;1956,18;3524,42;12,86;92,14;4,19;15,30;15,67;15,64;15,11;15,21;15,50;15,58;10,79;1,59;14,85;;;;;;
176;25;6;26;0,00;3266,80;6043,90;12,83;79,92;1,85;15,81;15,66;15,33;14,74;14,86;16,12;17,53;9,58;0,00;14,83;;;;;;
177;26;6;26;2,39;1481,55;2938,09;14,02;91,67;2,20;16,04;16,22;15,89;15,17;15,08;16,34;16,69;10,81;2,39;16,03;;;;;;
178;27;6;26;9,55;2239,60;3822,34;16,01;93,18;2,16;16,71;16,49;15,92;15,16;15,05;17,08;21,43;13,00;9,75;18,21;;;;;;
179;28;6;26;0,20;4218,11;7175,12;17,22;84,50;2,12;17,52;17,07;16,35;15,49;15,25;17,85;23,76;9,88;0,00;19,67;;;;;;
180;29;6;26;18,91;3916,12;6255,58;19,59;90,29;2,28;18,95;18,39;17,33;16,24;15,72;19,54;28,09;10,67;21,30;22,82;;;;;;
181;30;6;26;2,59;1830,78;3521,35;16,83;92,82;3,15;19,15;18,98;18,17;17,05;16,43;19,38;19,40;14,35;0,20;19,20;;;;;;
182;1;7;26;5,77;1904,37;3549,49;15,30;93,30;1,76;17,82;17,88;17,49;16,71;16,45;18,13;19,31;12,09;5,97;17,40;;;;;;
183;2;7;27;2,99;3925,60;6544,57;17,37;85,12;1,90;18,45;18,10;17,43;16,59;16,29;18,85;23,92;11,37;4,78;19,86;;;;;;
184;3;7;27;2,79;2525,93;4139,05;17,80;91,97;1,18;19,38;19,08;18,18;17,15;16,62;19,90;21,19;15,09;3,98;20,41;;;;;;
185;4;7;27;3,38;3055,51;5202,68;17,25;86,63;1,60;19,79;19,36;18,50;17,47;16,93;20,12;21,22;13,28;0,20;19,71;;;;;;
186;5;7;27;0,00;3323,11;5667,29;16,42;84,15;1,94;19,00;18,99;18,41;17,52;17,09;19,40;21,28;11,26;0,20;18,70;;;;;;
187;6;7;27;0,20;2080,30;3814,59;14,40;88,78;2,76;17,96;18,21;17,97;17,26;17,03;18,17;18,58;10,66;0,00;16,42;;;;;;
188;7;7;27;0,00;3157,44;5352,36;17,01;90,08;3,33;18,05;17,91;17,52;16,82;16,66;18,28;21,30;12,93;0,00;19,41;;;;;;
189;8;7;27;0,00;3406,70;5825,72;17,43;88,00;3,67;18,54;18,30;17,77;16,96;16,68;18,75;21,31;14,65;0,00;19,93;;;;;;
190;9;7;28;0,00;3297,92;5620,15;16,45;88,22;2,55;18,65;18,37;17,89;17,08;16,78;18,74;20,24;13,21;0,00;18,73;;;;;;
191;10;7;28;0,00;4423,74;7407,95;18,20;79,50;1,62;18,65;18,44;17,94;17,13;16,82;18,88;23,62;11,10;0,00;20,93;;;;;;
192;11;7;28;0,00;4520,18;7665,39;19,43;73,22;1,15;18,66;18,52;18,01;17,19;16,91;18,95;25,53;10,29;0,00;22,60;;;;;;
193;12;7;28;0,00;4291,04;7143,03;18,93;79,22;1,09;18,79;18,67;18,15;17,29;17,03;19,09;25,61;11,08;0,00;21,91;;;;;;
194;13;7;28;0,00;4449,92;5492,49;19,95;74,39;1,30;18,75;18,66;18,18;17,32;17,10;19,05;26,37;11,67;0,00;23,34;;;;;;
195;14;7;28;3,78;2241,05;4059,63;17,76;89,51;1,67;18,88;18,81;18,35;17,46;17,24;19,12;23,35;13,67;3,78;20,36;;;;;;
196;15;7;28;0,00;3414,67;5827,85;18,45;88,67;2,31;19,15;18,86;18,35;17,46;17,25;19,31;23,16;14,46;0,00;21,26;;;;;;
197;16;7;29;4,78;1166,00;2196,78;16,24;99,58;1,28;18,57;18,62;18,33;17,54;17,36;18,68;19,67;13,19;4,78;18,49;;;;;;
198;17;7;29;0,00;1667,26;2750,85;16,82;96,34;1,15;18,28;18,24;17,97;17,27;17,16;18,41;20,17;13,95;4,98;19,18;;;;;;
199;18;7;29;14,53;1957,71;2622,22;16,41;99,88;2,11;18,30;18,20;17,92;17,23;17,10;18,38;20,43;14,58;10,15;18,69;;;;;;
200;19;7;29;4,78;1834,33;3125,77;16,19;97,47;2,93;18,31;18,22;17,91;17,23;17,07;18,42;19,77;13,92;4,18;18,43;;;;;;
201;20;7;29;6,17;1648,34;2949,15;15,70;97,44;2,70;17,66;17,78;17,65;17,09;16,99;17,78;20,24;11,73;19,30;17,86;;;;;;
202;21;7;29;25,67;1186,52;1822,62;16,61;101,90;2,69;17,61;17,62;17,45;16,92;16,82;17,73;21,20;14,50;12,54;18,93;;;;;;
203;22;7;29;0,00;3344,96;5457,67;19,09;92,07;1,00;17,86;17,63;17,36;16,84;16,65;17,91;25,70;13,33;0,00;22,13;;;;;;
204;23;7;30;13,54;2259,26;3786,89;18,70;94,99;1,29;18,57;18,32;17,87;17,19;16,86;18,69;23,16;15,59;13,54;21,59;;;;;;
205;24;7;30;0,00;3158,95;5280,85;18,78;85,01;1,28;18,48;18,30;17,97;17,36;17,04;18,56;23,88;13,77;0,00;21,70;;;;;;
206;25;7;30;9,75;1033,40;1918,92;17,05;98,52;1,94;18,72;18,63;18,28;17,62;17,29;18,84;18,51;15,77;18,11;19,46;;;;;;
207;26;7;30;13,13;965,79;1791,50;16,37;98,63;2,89;17,98;18,15;18,00;17,50;17,27;18,18;20,46;14,70;4,78;18,64;;;;;;
208;27;7;30;0,00;2519,91;4185,27;18,70;84,65;3,95;17,84;17,83;17,65;17,21;17,02;17,95;22,72;15,22;0,00;21,60;;;;;;
209;28;7;30;0,80;3187,03;5458,64;17,25;83,50;2,66;17,64;17,76;17,58;17,14;16,97;17,86;22,87;11,95;1,00;19,72;;;;;;
210;29;7;30;0,20;2708,85;4731,05;17,58;86,99;2,01;17,76;17,75;17,55;17,08;16,90;17,90;22,27;12,58;0,00;20,13;;;;;;
211;30;7;31;0,00;3413,86;5694,23;19,29;79,78;1,87;17,48;17,52;17,41;16,98;16,85;17,56;26,22;10,97;0,60;22,40;;;;;;
212;31;7;31;6,17;1677,93;3079,86;16,27;94,78;2,72;17,99;17,98;17,72;17,16;16,96;18,13;20,13;12,59;5,57;18,52;;;;;;
213;1;8;31;4,58;1704,62;2827,93;15,17;95,19;2,28;16,97;17,34;17,33;16,97;16,92;17,25;19,77;11,02;4,58;17,26;;;;;;
214;2;8;31;1,00;2222,07;3236,97;17,71;93,39;1,56;17,33;17,28;17,12;16,73;16,64;17,43;21,99;14,27;1,00;20,29;;;;;;
215;3;8;31;1,79;2612,44;3890,44;19,63;88,29;1,15;17,92;17,67;17,36;16,88;16,66;17,97;24,82;14,44;2,19;22,89;;;;;;
216;4;8;31;0,40;2614,37;4165,76;19,76;90,04;1,81;18,63;18,23;17,79;17,19;16,85;18,66;24,63;16,21;0,00;23,08;;;;;;
217;5;8;31;0,00;3752,31;6259,62;19,85;76,29;1,84;18,58;18,37;17,99;17,40;17,05;18,68;26,15;13,10;0,00;23,20;;;;;;
218;6;8;32;0,00;3513,03;5784,30;20,18;77,85;1,94;18,46;18,31;18,03;17,43;17,17;18,50;25,93;12,28;0,00;23,68;;;;;;
219;7;8;32;0,00;3245,73;5741,96;20,69;77,49;2,08;18,72;18,48;18,11;17,47;17,22;18,83;26,61;14,52;0,00;24,44;;;;;;
220;8;8;32;0,00;2982,49;5562,56;20,89;78,83;1,81;19,19;18,91;18,40;17,65;17,38;19,47;27,11;12,71;0,00;24,74;;;;;;
221;9;8;32;0,00;2955,28;5521,16;21,75;76,29;1,16;19,70;19,38;18,78;17,94;17,61;20,00;28,90;13,28;0,00;26,09;;;;;;
222;10;8;32;0,00;3153,27;5977,23;22,64;69,80;2,25;19,98;19,72;19,13;18,19;17,87;20,28;29,48;15,10;0,00;27,54;;;;;;
223;11;8;32;0,00;3020,86;6031,32;22,72;63,38;2,77;19,74;19,63;19,18;18,28;18,05;20,02;29,94;12,88;0,00;27,66;;;;;;
224;12;8;32;0,00;2994,36;5907,00;22,41;65,62;1,96;19,81;19,64;19,18;18,29;18,11;20,06;30,05;13,66;0,00;27,15;;;;;;
225;13;8;33;0,00;3113,72;5917,93;22,90;67,98;1,31;20,14;19,83;19,32;18,40;18,21;20,35;31,47;13,86;0,00;27,97;;;;;;
226;14;8;33;0,00;2873,10;5510,04;22,52;72,29;3,30;20,50;20,19;19,64;18,64;18,39;20,70;28,21;17,35;0,00;27,33;;;;;;
227;15;8;33;11,14;1394,66;2541,46;19,86;91,17;2,72;20,39;20,21;19,76;18,82;18,57;20,51;24,10;17,01;11,34;23,21;;;;;;
228;16;8;33;0,20;2411,68;4253,08;18,76;90,24;0,97;19,84;19,78;19,47;18,66;18,57;20,06;24,73;13,30;0,00;21,67;;;;;;
229;17;8;33;0,00;2931,60;5166,32;21,07;78,28;1,46;20,26;20,04;19,59;18,68;18,55;20,46;27,97;14,49;0,00;25,02;;;;;;
230;18;8;33;0,00;3220,60;5887,35;20,39;67,78;1,80;19,82;19,84;19,56;18,73;18,62;19,99;26,42;13,05;0,60;23,99;;;;;;
231;19;8;33;5,97;959,00;1805,48;17,66;95,70;1,36;19,54;19,62;19,42;18,68;18,61;19,69;21,06;15,68;5,57;20,23;;;;;;
232;20;8;34;0,20;2527,61;4119,07;20,82;82,46;1,95;19,65;19,49;19,19;18,42;18,42;19,81;27,25;14,34;0,00;24,63;;;;;;
233;21;8;34;0,00;2951,15;4897,19;21,53;76,74;1,31;19,92;19,73;19,36;18,54;18,47;20,06;29,88;13,92;0,00;25,73;;;;;;
234;22;8;34;0,00;1256,04;2255,45;20,68;86,75;2,03;19,97;19,86;19,53;18,67;18,56;20,10;25,41;15,97;0,00;24,43;;;;;;
235;23;8;34;0,20;1381,42;2099,75;21,20;93,78;1,67;20,34;20,00;19,57;18,71;18,58;20,43;24,57;18,68;0,20;25,22;;;;;;
236;24;8;34;0,00;3027,67;4820,81;24,77;79,45;1,94;21,04;20,46;19,87;18,96;18,70;21,09;31,09;19,05;0,00;31,31;;;;;;
237;25;8;34;0,00;2835,79;4869,92;24,96;73,93;2,07;21,36;20,88;20,30;19,32;18,99;21,44;31,97;17,88;0,00;31,67;;;;;;
238;26;8;34;12,94;866,97;1602,36;20,35;95,82;1,80;20,92;20,77;20,42;19,50;19,23;20,98;23,27;18,07;12,94;23,93;;;;;;
239;27;8;35;0,00;2179,38;3582,74;21,79;88,86;1,70;21,21;20,78;20,30;19,45;19,19;21,29;26,58;18,80;0,00;26,15;;;;;;
240;28;8;35;5,37;941,25;1795,43;19,44;92,53;2,58;20,79;20,77;20,46;19,66;19,39;20,91;26,02;15,28;8,16;22,61;;;;;;
241;29;8;35;3,58;1446,36;2837,98;16,49;86,40;3,40;19,44;19,82;19,84;19,30;19,26;19,63;19,45;14,37;1,00;18,78;;;;;;
242;30;8;35;0,20;2584,41;5071,90;16,98;78,06;2,29;18,68;19,00;19,04;18,63;18,76;18,91;22,83;11,66;0,00;19,38;;;;;;
243;31;8;35;0,00;2157,84;4057,48;19,72;79,38;2,21;19,30;19,26;19,05;18,48;18,49;19,47;24,19;16,78;0,00;23,02;;;;;;
244;1;9;35;0,60;2628,69;5192,05;22,03;77,76;2,12;19,86;19,57;19,20;18,54;18,47;20,04;29,06;14,56;0,60;26,53;;;;;;
245;2;9;35;0,40;478,40;999,54;17,39;98,90;2,27;19,87;20,07;19,82;19,05;18,87;20,07;18,72;16,06;0,40;19,89;;;;;;
246;3;9;36;0,00;1612,31;2972,20;17,50;90,80;1,15;19,16;19,30;19,16;18,63;18,64;19,44;21,30;13,07;0,00;20,03;;;;;;
247;4;9;36;0,00;1476,25;2657,32;18,97;87,87;1,41;19,39;19,45;19,20;18,61;18,55;19,67;23,15;14,45;0,00;21,96;;;;;;
248;5;9;36;1,59;1368,84;2597,57;18,71;88,68;1,59;19,38;19,47;19,24;18,64;18,57;19,66;23,45;13,71;6,77;21,61;;;;;;
249;6;9;36;5,97;1914,59;3203,20;16,29;88,86;3,12;19,11;19,42;19,24;18,67;18,60;19,47;19,52;12,87;0,80;18,54;;;;;;
250;7;9;36;0,80;768,21;1487,90;14,33;92,63;4,33;17,47;18,33;18,57;18,26;18,44;17,88;17,03;12,00;0,80;16,34;;;;;;
251;8;9;36;0,00;1703,80;2942,40;16,43;86,59;5,73;17,23;17,73;17,84;17,59;17,85;17,60;19,79;12,98;0,20;18,71;;;;;;
252;9;9;36;0,40;1512,34;3087,79;14,87;80,80;6,57;16,69;17,47;17,64;17,39;17,64;17,10;18,89;10,44;0,20;16,93;;;;;;
253;10;9;37;0,00;1076,62;2574,01;12,71;77,44;5,37;15,10;16,24;16,76;16,73;17,24;15,54;16,43;9,60;0,00;14,71;;;;;;
254;11;9;37;0,00;1736,60;3427,68;14,26;78,79;2,46;15,63;16,06;16,26;16,13;16,62;15,93;18,92;8,78;0,00;16,28;;;;;;
255;12;9;37;0,00;797,50;1899,23;16,79;77,50;3,91;16,13;16,45;16,50;16,21;16,51;16,35;20,22;13,57;1,00;19,15;;;;;;
256;13;9;37;1,39;1172,65;2782,94;13,60;80,85;5,01;15,86;16,50;16,61;16,31;16,58;16,21;16,47;7,85;0,40;15,59;;;;;;
257;14;9;37;0,00;1523,43;3560,16;12,08;75,34;5,03;14,43;15,37;15,79;15,75;16,25;14,77;16,44;8,08;0,00;14,11;;;;;;
258;15;9;37;0,00;1505,93;3699,17;12,87;76,59;3,22;14,33;14,97;15,32;15,24;15,78;14,54;19,18;6,88;0,00;14,87;;;;;;
259;16;9;37;0,00;1877,06;4385,98;16,24;61,53;2,71;14,74;15,13;15,30;15,11;15,55;14,92;24,05;10,10;0,00;18,48;;;;;;
260;17;9;38;0,00;1322,14;3133,25;16,45;69,98;3,33;15,24;15,52;15,56;15,22;15,56;15,40;21,63;11,46;0,00;18,73;;;;;;
261;18;9;38;0,00;1660,52;3274,00;15,14;89,00;1,22;15,96;15,97;15,85;15,42;15,66;16,08;21,28;10,61;0,00;17,23;;;;;;
262;19;9;38;0,00;1358,01;3147,37;12,68;76,95;2,31;16,00;16,34;16,28;15,80;15,93;16,17;16,11;5,73;0,00;14,68;;;;;;
263;20;9;38;0,00;1293,86;2880,22;8,81;83,96;1,29;13,73;14,83;15,34;15,26;15,72;14,02;14,56;2,27;0,00;11,34;;;;;;
264;21;9;38;0,00;1843,34;4035,43;8,28;84,82;0,93;12,99;14,02;14,55;14,56;15,16;13,25;15,49;1,49;0,00;10,94;;;;;;
265;22;9;38;0,00;1835,68;3936,36;10,06;81,21;0,97;12,68;13,60;14,09;14,11;14,74;12,93;19,23;2,07;0,00;12,34;;;;;;
266;23;9;38;0,00;1577,43;3136,86;10,85;87,66;2,31;12,89;13,63;14,01;13,94;14,53;13,12;17,24;3,77;0,00;13,01;;;;;;
267;24;9;39;0,00;1297,83;2737,46;13,34;87,69;1,44;14,41;14,56;14,51;14,17;14,55;14,51;17,97;7,75;0,00;15,33;;;;;;
268;25;9;39;0,00;1779,13;3730,68;12,25;82,41;0,97;13,54;14,18;14,41;14,21;14,60;13,67;20,83;4,96;0,00;14,27;;;;;;
269;26;9;39;0,00;1699,16;3609,77;12,52;87,04;1,58;13,56;14,12;14,32;14,10;14,52;13,61;20,28;6,26;0,00;14,52;;;;;;
270;27;9;39;0,00;635,67;1532,03;11,28;91,79;1,20;14,30;14,60;14,64;14,30;14,63;14,36;14,37;4,90;0,00;13,39;;;;;;
271;28;9;39;0,00;1520,38;3232,20;9,53;89,72;1,26;12,80;13,66;14,04;13,95;14,42;999,00;18,52;2,52;0,00;11,91;;;;;;
272;29;9;39;0,00;1235,65;2709,74;12,86;86,18;2,39;12,87;13,47;13,75;13,63;14,15;13,91;20,70;5,82;2,19;14,86;;;;;;
273;30;9;39;2,59;930,62;1667,32;13,97;94,35;2,47;14,49;14,51;14,36;13,95;14,24;999,00;17,22;11,79;0,60;15,97;;;;;;
274;1;10;40;0,20;686,23;1272,71;13,61;96,55;3,31;14,57;14,76;14,66;14,27;14,48;999,00;17,08;10,36;0,40;15,61;;;;;;
275;2;10;40;1,00;927,85;2156,43;12,09;82,85;7,44;13,57;14,53;14,65;14,35;14,58;999,00;14,94;8,69;0,60;14,12;;;;;;
276;3;10;40;0,00;865,86;1865,37;10,82;81,09;4,14;12,29;13,31;13,73;13,70;14,23;12,84;14,14;7,28;0,00;12,99;;;;;;
277;4;10;40;0,00;614,26;1417,59;13,92;84,10;5,90;13,23;13,59;13,70;13,50;13,94;13,45;16,04;11,27;0,00;15,92;;;;;;
278;5;10;40;0,00;467,16;907,06;14,26;89,92;4,71;13,90;14,07;14,02;13,70;13,98;14,07;15,95;13,30;0,00;16,27;;;;;;
279;6;10;40;0,00;1366,90;2988,63;14,68;88,11;1,76;14,30;14,37;14,25;13,88;14,06;14,61;20,17;9,14;0,00;16,72;;;;;;
280;7;10;40;3,18;986,31;2071,78;17,80;82,83;4,33;14,94;14,76;14,51;14,07;14,16;15,96;21,72;13,79;3,18;20,40;;;;;;
281;8;10;41;1,00;688,97;1549,10;15,15;87,18;4,81;14,67;14,90;14,81;14,40;14,47;17,22;17,70;12,37;1,19;17,23;;;;;;
282;9;10;41;1,39;645,02;1237,30;17,89;87,76;7,67;15,47;15,29;14,97;14,48;14,48;16,48;19,86;16,60;4,58;20,53;;;;;;
283;10;10;41;15,72;731,66;1644,02;14,36;88,67;6,90;14,86;15,22;15,13;14,71;14,72;15,40;16,42;10,14;12,34;16,38;;;;;;
284;11;10;41;2,99;507,77;1410,19;10,89;91,66;6,17;12,64;13,72;14,20;14,15;14,53;12,86;12,92;9,20;2,99;13,04;;;;;;
285;12;10;41;1,00;782,43;1671,27;8,59;96,09;3,30;11,63;12,72;13,28;13,36;13,94;11,90;12,35;4,52;1,00;11,18;;;;;;
286;13;10;41;4,98;353,84;1194,56;7,83;95,26;4,78;10,67;11,89;12,56;12,73;13,42;10,96;10,11;6,04;4,98;10,61;;;;;;
287;14;10;41;0,20;1140,22;2516,89;7,49;94,54;3,43;10,06;11,16;11,85;12,10;12,87;10,28;11,18;4,84;0,40;10,37;;;;;;
288;15;10;42;5,57;322,34;791,54;7,06;99,85;2,41;10,24;11,19;11,72;11,86;12,56;11,10;9,24;4,93;5,57;10,06;;;;;;
289;16;10;42;0,20;946,39;2180,48;3,56;95,31;0,88;8,80;10,17;11,01;11,33;12,16;9,74;8,80;-1,16;0,00;7,89;;;;;;
290;17;10;42;0,00;415,05;782,75;7,90;94,62;2,49;8,71;9,73;10,45;10,80;11,69;9,85;11,95;2,81;0,00;10,66;;;;;;
291;18;10;42;0,00;995,32;2442,27;12,48;85,29;3,68;10,44;10,73;10,92;10,97;11,54;10,92;17,64;8,81;0,00;14,49;;;;;;
292;19;10;42;0,00;1061,86;2387,46;13,08;92,35;2,44;11,23;11,44;11,51;11,40;11,75;11,31;19,00;10,04;0,20;15,07;;;;;;
293;20;10;42;0,20;304,45;1075,20;8,49;90,76;2,06;10,94;11,65;11,86;11,75;12,05;12,17;10,57;3,96;0,00;11,10;;;;;;
294;21;10;42;0,20;836,49;2305,18;2,60;87,02;1,31;7,87;9,60;10,55;10,92;11,68;8,42;7,81;-1,22;0,20;7,37;;;;;;
295;22;10;43;0,00;751,66;1889,74;2,61;87,66;1,95;6,32;8,03;9,14;9,74;10,83;6,72;8,66;-1,64;0,20;7,37;;;;;;
296;23;10;43;0,20;282,38;826,32;6,32;91,59;3,48;7,28;8,25;8,92;9,33;10,30;7,58;9,30;2,81;0,20;9,57;;;;;;
297;24;10;43;0,20;399,61;1357,50;5,22;88,70;3,62;7,42;8,47;9,08;9,36;10,17;7,68;7,14;1,88;0,00;8,86;;;;;;
298;25;10;43;1,39;122,08;599,27;5,81;92,39;5,07;7,42;8,36;8,93;9,20;9,99;7,72;8,58;2,42;1,39;9,24;;;;;;
299;26;10;43;0,20;161,03;588,11;4,28;95,91;2,07;7,02;8,07;8,69;8,99;9,79;7,74;6,85;1,66;0,20;8,30;;;;;;
300;27;10;43;0,00;708,00;1455,21;0,27;85,81;1,15;5,20;6,96;8,00;8,50;9,46;5,96;5,18;-3,62;0,00;6,23;;;;;;
301;28;10;43;0,00;796,55;1423,56;-1,29;89,33;1,00;3,15;5,19;6,58;7,39;8,69;3,77;4,78;-5,53;0,00;5,56;;;;;;
302;29;10;44;0,00;538,16;867,98;0,34;83,58;1,72;2,97;4,55;5,74;6,52;7,90;3,27;6,20;-3,87;0,00;6,26;;;;;;
303;30;10;44;0,00;800,74;1335,38;2,19;85,08;1,44;3,25;4,64;5,65;6,29;7,53;3,48;9,10;-2,92;0,00;7,16;;;;;;
304;31;10;44;0,00;338,70;423,36;1,45;103,11;2,61;3,56;4,78;5,61;6,14;7,28;4,12;3,60;-1,55;0,00;6,79;;;;;;
305;1;11;44;0,00;96,48;214,78;2,68;96,29;1,71;4,73;5,58;6,07;6,38;7,28;5,27;3,07;1,68;0,00;7,41;;;;;;
306;2;11;44;0,00;228,09;276,73;3,29;100,38;2,95;5,12;5,89;6,34;6,59;7,39;5,39;5,82;0,09;0,00;7,74;;;;;;
307;3;11;44;0,00;112,72;594,61;4,58;87,35;2,67;5,94;6,59;6,85;6,95;7,55;6,21;7,26;-0,08;0,00;8,47;;;;;;
308;4;11;44;0,00;-46,10;1051,00;0,88;79,06;4,40;3,45;5,18;6,09;6,55;7,43;3,92;4,49;-1,65;1,59;6,51;;;;;;
309;5;11;45;1,59;211,26;331,78;5,98;95,60;3,71;4,49;5,20;5,72;6,11;7,01;4,81;9,18;-0,17;1,79;9,34;;;;;;
310;6;11;45;3,78;219,87;380,17;9,46;96,11;2,26;7,01;7,00;6,93;6,87;7,31;7,27;11,57;8,08;6,57;11,85;;;;;;
311;7;11;45;5,17;353,60;820,98;11,70;87,59;4,81;8,62;8,32;8,00;7,73;7,84;8,76;14,08;9,19;0,60;13,76;;;;;;
312;8;11;45;0,00;-2,44;849,86;9,56;87,70;3,24;8,12;8,46;8,42;8,25;8,36;8,33;13,61;7,12;0,60;11,93;;;;;;
313;9;11;45;1,79;110,81;924,19;9,13;92,27;4,67;7,98;8,33;8,37;8,28;8,49;8,20;11,35;7,48;2,19;11,59;;;;;;
314;10;11;45;1,59;345,95;1138,76;9,14;88,17;4,44;8,04;8,43;8,46;8,38;8,58;8,27;11,13;7,85;0,60;11,60;;;;;;
315;11;11;45;0,00;215,18;1105,67;8,88;86,55;3,33;7,74;8,26;8,40;8,38;8,63;7,94;10,70;7,24;0,00;11,40;;;;;;
316;12;11;46;2,39;55,78;337,58;6,22;97,61;1,56;7,44;8,07;8,25;8,25;8,57;7,72;7,93;5,38;12,74;9,50;;;;;;
317;13;11;46;13,13;322,51;1014,17;5,83;100,84;3,31;7,39;7,98;8,15;8,16;8,50;7,67;8,45;2,22;2,79;9,25;;;;;;
318;14;11;46;0,20;225,91;1075,42;2,38;102,85;2,43;5,33;6,60;7,27;7,59;8,20;5,77;5,18;-0,15;0,20;7,25;;;;;;
319;15;11;46;7,16;-22,45;91,47;6,16;101,55;2,89;5,59;6,35;6,78;7,09;7,76;6,01;7,76;3,14;7,76;9,46;;;;;;
320;16;11;46;0,60;63,46;355,21;5,72;101,72;2,72;6,83;7,26;7,32;7,36;7,76;7,16;7,94;1,89;0,00;9,17;;;;;;
321;17;11;46;0,20;341,05;1003,61;3,33;97,92;2,45;5,24;6,35;6,87;7,13;7,70;5,58;5,97;0,17;0,20;7,76;;;;;;
322;18;11;46;0,00;-145,74;366,63;3,77;90,66;4,35;5,41;6,31;6,66;6,86;7,43;5,77;5,44;0,01;0,00;8,01;;;;;;
323;19;11;47;0,00;-305,35;1164,67;-0,78;88,15;5,20;2,86;4,71;5,65;6,19;7,04;3,37;1,09;-2,33;0,00;5,77;;;;;;
324;20;11;47;0,00;140,12;1053,63;-0,70;90,18;3,33;1,87;3,50;4,50;5,18;6,27;2,28;1,55;-3,06;0,00;5,81;;;;;;
325;21;11;47;0,00;401,80;745,70;1,35;96,82;2,47;2,33;3,51;4,17;4,72;5,74;2,83;3,35;-0,16;0,00;6,74;;;;;;
326;22;11;47;0,00;125,91;230,36;1,22;101,63;2,51;3,33;4,19;4,59;4,91;5,67;3,72;1,97;0,76;0,00;6,68;;;;;;
327;23;11;47;0,20;64,28;135,40;1,30;105,54;1,93;3,62;4,43;4,79;5,04;5,71;4,04;1,76;0,83;0,20;6,71;;;;;;
328;24;11;47;0,00;48,41;175,67;2,04;101,83;2,61;3,84;4,61;4,93;5,14;5,74;4,38;2,94;1,24;0,00;7,08;;;;;;
329;25;11;47;0,00;152,45;316,93;1,67;98,70;3,79;3,60;4,51;4,89;5,13;5,73;4,02;2,72;0,64;0,00;6,90;;;;;;
330;26;11;48;0,00;83,23;212,94;2,31;100,33;4,16;3,76;4,56;4,88;5,10;5,67;4,13;2,90;1,98;0,00;7,22;;;;;;
331;27;11;48;0,00;164,43;428,08;1,39;99,78;4,44;3,56;4,48;4,84;5,06;5,63;3,98;2,28;0,83;0,00;6,76;;;;;;
332;28;11;48;1,39;66,33;305,95;2,24;101,67;3,20;3,32;4,21;4,63;4,91;5,51;3,72;4,77;-0,34;1,79;7,18;;;;;;
333;29;11;48;2,19;41,89;325,84;7,17;100,80;2,59;4,87;5,01;5,04;5,13;5,55;5,02;8,47;4,43;1,79;10,14;;;;;;
334;30;11;48;0,00;134,34;651,60;7,79;97,52;2,55;5,85;5,92;5,81;5,73;5,91;5,96;9,81;6,12;3,78;10,58;;;;;;
335;1;12;48;3,78;42,87;821,33;2,67;99,35;2,53;4,99;5,75;5,95;5,95;6,16;5,21;7,07;-1,55;0,00;7,41;;;;;;
336;2;12;48;0,00;-18,03;297,15;-2,04;104,64;1,97;2,31;3,80;4,64;5,08;5,77;2,66;-0,50;-4,53;0,00;5,26;;;;;;
