"Tag";"Tag im
Monat";Woche;Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
59;28;9;2;0,00;-212,11;631,99;0,94;103,45;2,43;999,00;0,51;0,35;0,31;0,39;0,64;1,93;0,14;0,00;;;;;;;
60;29;9;2;0,40;185,67;1270,68;0,80;99,26;3,21;999,00;0,52;0,36;0,32;0,40;0,84;4,60;-1,21;0,40;;;;;;;
61;1;9;3;0,20;758,69;2190,75;1,42;79,36;5,67;999,00;0,52;0,36;0,32;0,41;0,78;4,04;-0,77;0,00;;;;;;;
62;2;9;3;0,00;1241,14;2965,40;0,00;89,65;4,38;999,00;0,52;0,36;0,31;0,41;0,46;3,82;-2,14;0,00;;;;;;;
63;3;9;3;0,00;730,10;2144,85;-0,86;85,05;1,32;999,00;0,52;0,36;0,31;0,41;0,50;0,97;-3,13;0,00;;;;;;;
64;4;10;3;0,00;1139,90;2802,84;-0,94;81,73;1,99;999,00;0,53;0,36;0,32;0,42;0,51;1,78;-3,47;0,00;;;;;;;
65;5;10;3;0,00;-282,58;518,84;1,55;94,33;3,09;999,00;0,46;0,32;0,28;0,38;0,64;2,49;0,81;0,00;;;;;;;
66;6;10;3;1,00;392,29;663,45;1,81;99,83;3,67;999,00;0,42;0,29;0,26;0,36;0,85;4,31;-0,01;3,58;;;;;;;
67;7;10;3;2,59;326,89;1105,53;1,78;91,75;4,41;999,00;0,44;0,29;0,26;0,36;0,97;4,24;0,39;0,00;;;;;;;
68;8;10;3;0,00;738,33;3210,72;0,57;79,67;5,49;999,00;0,44;0,29;0,26;0,36;0,49;3,38;-1,69;0,00;;;;;;;
69;9;10;3;0,00;667,56;3189,68;0,02;78,55;5,83;999,00;0,42;0,29;0,26;0,36;0,37;2,93;-2,73;0,00;;;;;;;
70;10;10;3;0,00;746,23;3391,94;-0,51;73,00;4,93;999,00;0,42;0,29;0,27;0,37;0,36;3,17;-3,06;0,00;;;;;;;
71;11;11;3;0,00;805,25;2126,08;-2,48;78,96;4,34;999,00;0,40;0,27;0,26;0,36;0,34;-1,48;-3,25;0,00;;;;;;;
72;12;11;3;0,00;58,65;2023,76;-3,43;76,61;3,99;999,00;0,39;0,26;0,26;0,36;0,32;-1,35;-5,62;0,00;;;;;;;
73;13;11;3;0,00;359,26;1611,88;-3,14;81,55;3,64;999,00;0,39;0,26;0,27;0,36;0,31;-1,92;-4,74;0,00;;;;;;;
74;14;11;3;0,00;551,80;1249,81;-0,73;89,08;4,05;999,00;0,40;0,28;0,29;0,38;0,32;0,88;-2,99;0,00;;;;;;;
75;15;11;3;0,00;1255,53;2188,17;1,26;80,90;5,18;999,00;0,41;0,30;0,32;0,41;0,34;3,77;-0,24;0,00;;;;;;;
76;16;11;3;0,00;437,32;684,58;1,33;93,98;5,39;999,00;0,41;0,29;0,33;0,41;0,34;2,28;0,52;0,00;;;;;;;
77;17;11;3;0,00;480,74;721,91;1,52;93,79;3,54;999,00;0,41;0,28;0,34;0,42;0,35;2,99;0,58;0,00;;;;;;;
78;18;12;3;0,00;383,73;584,19;1,04;98,73;2,81;999,00;0,41;0,27;0,35;0,42;0,35;1,66;-0,06;0,00;;;;;;;
79;19;12;3;0,00;1199,94;2267,95;1,39;99,09;2,06;999,00;0,42;0,29;0,36;0,43;0,37;3,51;-0,95;0,00;;;;;;;
80;20;12;3;0,00;888,80;1523,14;0,87;102,27;2,56;999,00;0,42;0,28;0,36;0,43;0,43;3,23;-0,75;0,00;;;;;;;
