"Tag";"Tag im
Monat";Woche;Monat;"S Ndschlag
[mm]";"S Nettostra
[W/m�]";"S Globalstra
[W/m�]";"Lufttemp
[�C]";"Luftfeuchte
[%]";"Windgesch
[m/s]";"Bodentemp1
[�C] 10 cm";"Bodentemp2
[�C] 20 cm";"Bodentemp3
[�C] 30 cm";"Bodentemp4
[�C] 40 cm";"Bodentemp5
[�C] 50 cm";"Bodentemp6
[�C] 10 cm";"Lufttemp
Max [�C]";"Lufttemp
Min [�C]";"S Ndschlag
ab 7 Uhr
[mm]";;;;;;;
341;6;49;12;0,00;42,02;296,70;3,99;102,84;1,25;999,00;5,77;5,88;999,00;6,03;5,48;5,72;2,02;0,00;;;;;;;
342;7;49;12;0,00;-11,68;360,68;1,26;103,44;1,93;999,00;5,53;5,73;999,00;5,98;5,05;2,76;-0,65;0,00;;;;;;;
343;8;49;12;0,00;102,85;337,24;-0,10;100,14;3,33;999,00;4,69;5,16;999,00;5,77;3,91;0,63;-0,64;0,00;;;;;;;
344;9;50;12;0,00;-49,45;111,51;-0,54;98,81;3,71;999,00;4,00;4,58;999,00;5,40;3,13;-0,16;-0,92;0,00;;;;;;;
345;10;50;12;0,00;-17,09;163,42;-0,87;99,84;2,61;999,00;3,62;4,16;999,00;5,05;2,83;-0,38;-1,58;0,00;;;;;;;
346;11;50;12;0,00;-22,70;115,03;-0,54;101,69;2,35;999,00;3,50;3,97;999,00;4,80;2,82;0,31;-1,19;0,00;;;;;;;
347;12;50;12;0,00;-43,83;101,19;-0,06;99,28;2,45;999,00;3,46;3,88;999,00;4,65;2,86;0,52;-0,50;0,00;;;;;;;
348;13;50;12;0,20;51,30;225,09;0,33;103,57;1,62;999,00;3,62;3,92;999,00;4,56;3,17;1,09;-0,36;0,20;;;;;;;
349;14;50;12;0,00;-257,52;880,81;-0,45;94,98;2,63;999,00;3,46;3,87;999,00;4,52;2,77;0,70;-1,72;0,00;;;;;;;
350;15;50;12;1,39;-264,73;152,52;3,52;93,31;7,42;999,00;3,17;3,56;999,00;4,33;2,71;6,13;-0,10;1,99;;;;;;;
351;16;51;12;0,80;-23,47;555,92;2,73;100,78;2,13;999,00;3,95;4,04;999,00;4,40;3,74;4,72;1,46;0,20;;;;;;;
352;17;51;12;0,00;-135,73;130,90;2,73;99,70;2,64;999,00;4,02;4,19;999,00;4,54;3,68;3,29;2,13;0,00;;;;;;;
353;18;51;12;0,00;-284,55;477,13;-0,42;93,09;4,00;999,00;3,54;3,93;999,00;4,52;999,00;2,88;-5,19;0,00;;;;;;;
354;19;51;12;0,00;-619,65;942,12;-7,40;93,89;2,97;999,00;2,45;3,10;999,00;4,09;1,52;-5,55;-9,55;0,00;;;;;;;
355;20;51;12;0,00;-8,54;902,74;-9,56;90,99;1,29;999,00;2,02;2,63;999,00;3,66;999,00;-6,07;-12,53;0,00;;;;;;;
356;21;51;12;0,00;-200,84;735,99;-6,73;90,53;3,47;999,00;1,74;2,32;999,00;3,35;0,92;-3,91;-9,77;0,00;;;;;;;
357;22;51;12;0,00;-111,63;874,03;-8,32;96,58;1,65;999,00;1,57;2,10;999,00;3,10;999,00;-4,03;-12,20;0,00;;;;;;;
358;23;52;12;0,00;-114,47;463,26;-7,26;97,75;1,16;999,00;1,42;1,93;999,00;2,90;0,68;-3,41;-11,90;0,00;;;;;;;
359;24;52;12;0,00;171,70;1036,44;-8,87;99,97;0,99;999,00;1,31;1,79;999,00;2,73;0,60;-6,23;-11,18;0,00;;;;;;;
360;25;52;12;0,00;-238,36;547,76;-8,25;90,12;2,83;999,00;1,19;1,66;999,00;2,59;0,49;-6,48;-11,95;0,00;;;;;;;
361;26;52;12;0,00;-765,54;969,56;-12,19;85,93;2,51;999,00;1,06;1,54;999,00;2,45;999,00;-8,91;-15,61;0,00;;;;;;;
362;27;52;12;0,00;-67,51;377,67;-9,30;88,77;3,09;999,00;0,92;1,40;999,00;2,32;999,00;-5,51;-16,61;0,00;;;;;;;
363;28;52;12;0,00;-234,81;521,08;-6,45;100,23;2,87;999,00;0,86;1,32;999,00;2,20;999,00;-4,08;-11,86;0,00;;;;;;;
364;29;52;12;0,00;-304,63;478,67;-15,30;93,48;2,38;999,00;0,79;1,23;999,00;2,10;999,00;-12,37;-17,96;0,00;;;;;;;
365;30;53;12;0,00;-218,81;558,59;-17,94;94,11;1,07;999,00;0,69;1,14;999,00;2,00;999,00;-15,88;-20,27;0,00;;;;;;;
366;31;53;12;0,00;-139,62;658,76;-17,52;93,61;1,30;999,00;0,57;1,03;999,00;1,90;999,00;-14,55;-21,11;0,00;;;;;;;
