variable,value
P0,9.36704019263885
P0,11.401335988876626
P0,7.786814766381134
P0,7.239625109189011
P0,8.018375035992433
P0,6.172444498549967
P0,7.439392563912308
P0,7.225875119172534
P0,6.997105304782377
P0,5.758617423004643
P0,14.25190969476051
P0,8.842732494773127
P0,6.98318964695558
P0,7.406632020092512
P0,3.9351333667506685
P1,6.872169402534421
P1,8.81682222173527
P1,12.50398213427327
P1,8.412523786949047
P1,8.237750083478236
P1,6.0013254996428405
P1,12.074344181373302
P1,8.452847022739707
P1,6.705638870199045
P1,7.586746125438575
P1,4.9475199878494855
P1,6.611611609443985
P1,5.499403181213566
P1,8.090037426131591
P1,7.899601917251328
P2,7.798666427581393
P2,4.536316522679174
P2,14.620363105800406
P2,7.423286906079596
P2,9.896506920806688
P2,6.097678042375196
P2,5.435457894719026
P2,7.249637266512155
P2,13.80263943716038
P2,8.877171267312914
P2,5.412006066710448
P2,9.088636701721738
P2,9.908084879426614
P2,12.74770977004733
P2,10.331159947476625
P3,12.252820253135166
P3,9.367856953170243
P3,10.168228645724659
P3,11.347315174495842
P3,8.985184889095182
P3,9.297284466020926
P3,12.451047679053685
P3,10.196272741759126
P3,12.09369176362613
P3,6.662283435490853
P3,18.92566176059118
P3,12.034114042173824
P3,7.139249229997053
P3,8.04352382543499
P3,14.638929895925425
