variable,value
P0,0.4069888296703522
P0,0.20145526095972843
P0,2.655896231882634
P0,1.835820484698392
P0,1.5983496513785964
P1,0.2461394157898003
P1,1.0849921000228604
P1,0.7224329768288287
P1,0.9130196835680513
P1,1.0643374230432476
P1,0.7861815374918731
P1,1.566359007372194
P1,1.3008379043428926
P2,0.2695678868844662
P2,0.19231977713775533
P2,0.7041493736558947
P2,0.19578787288601868
P2,2.006413428677393
P2,2.539780555797498
P2,1.9164469200335799
P3,0.7362927320999927
P3,3.7840653191149354
P3,3.1386825176005466
P3,5.649212327296748
