level,shoot_dm,root_dm
P0,3,3.6
P0,5.3,3.6
P0,5.3,5
P0,3.5,3.9
P0,2.8,3.1
P1,2.8,5.1
P1,2.5,5.4
P1,5.1,2.6
P1,7.8,2.3
P1,4.3,3.7
P2,3.2,3.2
P2,3.8,3.1
P2,6.6,5.3
P2,3.9,2.8
P2,4,4.1
P3,6,4
P3,5.1,4
P3,4.6,3.4
P3,4.5,3.7
P3,4.9,4.9
