concentration,decay rate
0.01, 0.9504950495049505
0.09, 1.00990099009901
0.09, 1.6039603960396038
0.4, 2.257425742574257
0.4, 1.99009900990099
1.59, 1.396039603960396
1.61, 1.574257425742574
1.61, 2.1980198019801978
