time,id,organ_type,sub_type,connect_no,organ_id,organ_id2,parent_organ,length,res_main,carbon_q,c_satis,rw_satis,c_demand_2,growth_rate,exudation,order,organ_length,coor_x,coor_y,coor_z,connection_1,connection_2,radius,r_xyl_node,radial_water,r_xyl,r_st,connection_belong,JW_Trsv,Q_ST,C_ST,P_Xyl,P_ST,JW_Xyl,JW_ST,JS_ST
1,13,3,1,1,1,2,0,0.009754115099857198,3.576520867302847e-09,,,,,,,1,,0.0,0.0,-0.010245884900142803,,,0.1,,,,,,1.09608,0.35694000000000004,0.274569,-0.11167300000000001,-0.05435319999999999,,,
2,1,2,1,2,0,0,0,0.0,0.0,,,,,,,1,,0.0,0.0,-0.02,1,2,0.1,,,0.0001401689298628721,0.0023382580359966997,,0.0296996,0.21907800000000002,0.168522,-0.14272200000000002,-0.13019,18.7111,3.7710000000000004,0.635495
2,2,2,1,2,0,1,0,0.0024999999999999957,3.966657323232317e-09,,,,,,,1,,1.2060908717797793e-05,-3.786535874796665e-05,-0.022499684129862765,2,3,0.1,,,0.0001401689298628721,0.0023382580359967036,,0.0435124,0.216441,0.166493,-0.140099,-0.136296,18.7546,3.81451,0.635091
2,3,2,1,2,0,1,0,0.004999999999999996,3.9666573232323245e-09,,,,,,,1,,-1.58928020557659e-05,-9.202623575990673e-05,-0.024998941057322463,3,4,0.1,,,0.0001401689298628721,0.0023382580359967045,,0.05336180000000001,0.213319,0.16409200000000002,-0.13747,-0.14246,18.808,3.8678800000000004,0.634687
2,4,2,1,2,0,1,0,0.007499999999999996,3.9666573232323245e-09,,,,,,,1,,-0.00012677853671255463,-3.8837618076948205e-05,-0.02749591429001812,4,5,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.060825699999999996,0.209883,0.161448,-0.13483399999999998,-0.148694,18.8688,3.9287,0.634283
2,5,2,1,3,0,1,0,0.009999999999999995,3.966657323232323e-09,,,,,,,1,,-0.00020922302997775574,0.0002932239649391545,-0.02997239122522569,5,6,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.06689099999999999,0.206238,0.158645,-0.132189,-0.15500899999999998,18.9356,2.51708,0.39932
2,6,2,1,2,0,1,0,0.012499999999999994,3.966657323232323e-09,,,,,,,1,,-2.2464918200098376e-05,0.0005967527352684718,-0.03244685918688282,6,7,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.05495,0.201628,0.155098,-0.12953499999999998,-0.15904300000000002,18.9906,2.57203,0.398917
2,7,2,1,2,0,1,0,0.014999999999999993,3.966657323232323e-09,,,,,,,1,,0.00017952172977105842,0.0008930168158287259,-0.034921011362601034,7,8,0.1,,,0.0001401689298628721,0.002338258035996709,,0.0490098,0.197657,0.152044,-0.126873,-0.163149,19.0396,2.6210299999999997,0.398512
2,8,2,1,2,0,1,0,0.017499999999999998,3.966657323232333e-09,,,,,,,1,,0.0002834192447623262,0.0011450340611697336,-0.03740610544823027,8,9,0.1,,,0.0001401689298628721,0.0023382580359967028,,0.04636919999999999,0.194022,0.149248,-0.124204,-0.167321,19.086,2.6674,0.398104
2,9,2,1,3,0,1,0,0.019999999999999997,3.966657323232323e-09,,,,,,,1,,-7.35688080508968e-05,0.0016791470692454839,-0.03982215238998303,9,16,0.1,,,0.0001401689298628721,0.0023382580359966997,,0.045607199999999994,0.190564,0.14658800000000002,-0.121529,-0.17155399999999998,19.1316,1.26486,0.18541300000000002
