date,station,NetInfiltration_mm_day
2009-10-05,0,-1.2153205646146767
2009-10-06,0,-1.4288573345033864
2009-10-07,0,-1.5051978534450858
2009-10-08,0,-1.7571925440205316
2009-10-09,0,-1.491424817244762
2009-10-10,0,-1.002476612843189
2009-10-11,0,-0.9970216926973097
2009-10-12,0,-0.8533942981691839
2009-10-13,0,-1.1700890975895675
2009-10-14,0,-0.8912341331429307
2009-10-15,0,-0.9678054451820456
2009-10-16,0,-0.9348965580895915
2009-10-17,0,-0.8900033119886404
2009-10-18,0,-0.9711098168004302
2009-10-19,0,-1.0439074199644391
2009-10-20,0,-1.1131107264386677
2009-10-21,0,-1.2385348700715162
2009-10-22,0,-1.0813269058371857
2009-10-23,0,-1.1071856827861568
2009-10-24,0,-0.8408325158193545
2009-10-25,0,-0.8066558222014887
2009-10-26,0,-0.5841568763297317
2009-10-27,0,-0.46953589130396634
2009-10-28,0,-1.2118355087391224
2009-10-29,0,-0.9780703459266883
2009-10-30,0,-0.9471523070964184
2009-10-31,0,-0.985031484907993
2009-11-01,0,-0.6967549110015785
2009-11-02,0,-0.689447665309772
2009-11-03,0,-0.7013086110359509
2009-11-04,0,-0.5300936909078102
2009-11-05,0,-0.28017019857491904
2009-11-06,0,-0.41192401670313156
2009-11-07,0,-0.5626881338818679
2009-11-08,0,-0.6182695388485436
2009-11-09,0,-0.25012420633249977
2009-11-10,0,-0.33967363164721315
2009-11-11,0,-0.5486373986442367
2009-11-12,0,-0.5849094293046945
2009-11-13,0,-0.6373725536669214
2009-11-14,0,-0.48441484145417874
2009-11-15,0,-0.5136272851812019
2009-11-16,0,-0.6774633859744842
2009-11-17,0,-0.4690721394965575
2009-11-18,0,-0.3907569762442207
2009-11-19,0,-0.5644198223256025
2009-11-20,0,-0.6230495903429808
2009-11-21,0,-0.5355263440026297
2009-11-22,0,-0.48908005548524003
2009-11-23,0,-0.4168939500845296
2009-11-24,0,-0.41940756149169955
2009-11-25,0,-0.4434589741717055
2009-11-26,0,-0.26459162877018433
2009-11-27,0,-0.30302578322152574
2009-11-28,0,-0.3157752210133464
2009-11-29,0,-0.3655663068750273
2009-11-30,0,-0.38179763352068813
2009-12-01,0,-0.3552385069551147
2009-12-02,0,-0.2947709453395608
2009-12-03,0,-0.37722727540894524
2009-12-04,0,-0.24398149658504625
2009-12-05,0,-0.42749913887334257
2009-12-06,0,-0.3931965264871735
2009-12-07,0,-0.3728040799244765
2009-12-08,0,-0.37681507007316817
2009-12-09,0,-0.32146404017685404
2009-12-10,0,-0.3501275176258685
2009-12-11,0,-0.28144443867907504
2009-12-12,0,-0.1765653802066802
2009-12-13,0,-0.18598950285719554
2009-12-14,0,-0.18967748275592744
2009-12-15,0,-0.20776827498380718
2009-12-16,0,-0.1780268543341454
2009-12-17,0,-0.21238086129809736
2009-12-18,0,-0.1577473621243213
2009-12-19,0,-0.05567426194162333
2009-12-20,0,-0.21792056459556577
2009-12-21,0,-0.2887133702382571
2009-12-22,0,-0.2447167134353667
2009-12-23,0,-0.24538454203379567
2009-12-24,0,-0.33865036927433767
2009-12-25,0,-0.3334356886157628
2009-12-26,0,-0.21112494000768203
2009-12-27,0,-0.232455057514363
2009-12-28,0,-0.2750223641452672
2009-12-29,0,-0.4948898380792052
2009-12-30,0,-0.30727217323119854
2009-12-31,0,-0.3744525808307801
2010-01-01,0,-0.18305597167893461
2010-01-02,0,-0.21354451206209463
2010-01-03,0,-0.25755860142788456
2010-01-04,0,-0.17354355585422454
2010-01-05,0,-0.1985783915845223
2010-01-06,0,-0.20042865542201382
2010-01-07,0,-0.17866315042943495
2010-01-08,0,-0.12387775522562303
2010-01-09,0,-0.14503467707446194
2010-01-10,0,-0.19515739299453963
2010-01-11,0,-0.17383078437205848
2010-01-12,0,-0.14496102809927552
2010-01-13,0,-0.28063993027665846
