"time"	"PAR"	"co2"	"RH"	"Tair"	"Pair"	"ps"	"nm"
"00:00:00"	0	0.000392943381648413	0.529	21.1	99.86	-2130.734529	40.8389028787828
"00:10:00"	0	0.000393550503185709	0.546	20.7	99.87	-2089.4591124	40.8985895576527
"00:20:00"	0	0.000394059425310297	0.569	20.2	99.87	-2084.4432081	40.968299101811
"00:30:00"	0	0.000394754741240841	0.585	19.9	99.89	-2086.9414731	41.0184517331004
"00:40:00"	0	0.000395543384943638	0.598	19.7	99.9	-2132.4017385	41.0505741841198
"00:50:00"	0	0.000396370044515984	0.608	19.5	99.9	-2140.951923	41.0786285659303
"01:00:00"	0	0.000397466837866676	0.618	19.5	99.9	-2136.7089513	41.0786285659303
"01:10:00"	0	0.000396284344889145	0.626	19.4	99.9	-2089.4591124	41.0926701412391
"01:20:00"	0	0.000395372769255583	0.614	19.5	99.9	-2134.9815795	41.0786285659303
"01:30:00"	0	0.000393882077960478	0.626	19.2	99.91	-2079.4711509	41.124898304272
"01:40:00"	0	0.000393924352261	0.631	19	99.92	-2076.9983784	41.1571705928062
"01:50:00"	0	0.000394236023434321	0.634	19	99.93	-2137.5491841	41.1612896050753
"02:00:00"	0	0.00039431698825343	0.635	18.8	99.93	-2131.5880179	41.1894870975261
"02:10:00"	0	0.000393913499489427	0.633	18.7	99.93	-2080.3124034	41.2036003362095
"02:20:00"	0	0.000393240436184841	0.633	18.4	99.93	-2081.146518	41.2459981413917
"02:30:00"	0	0.000392624132161108	0.64	18.2	99.95	-2087.7694695	41.2825724969678
"02:40:00"	0	0.000391631027279406	0.661	18	99.96	-2144.3923908	41.3150639410132
"02:50:00"	0	0.000390543863973424	0.687	17.7	99.96	-2134.1270709	41.3576787568368
"03:00:00"	0	0.000389726194303301	0.705	17.6	99.96	-2082.8137275	41.3719032379226
"03:10:00"	0	0.000389306461780157	0.71	17.6	99.96	-2082.8137275	41.3719032379226
"03:20:00"	0	0.000388714089333962	0.713	17.5	99.97	-2143.5338034	41.3902777769152
"03:30:00"	0	0.000388294543144228	0.713	17.5	99.97	-2145.2683131	41.3902777769152
"03:40:00"	0	0.000388628114953701	0.715	17.2	99.97	-2146.9712121	41.433043691615
"03:50:00"	0	0.000389267309797644	0.716	17.1	99.96	-2139.2704377	41.4431726664117
"04:00:00"	0	0.000389693767976738	0.726	16.9	99.97	-2088.6137811	41.4758980722648
"04:10:00"	0	0.000389689576070949	0.734	16.8	99.98	-2090.2799709	41.4943528377128
"04:20:00"	0	0.000389724244678778	0.746	16.7	99.98	-2084.4432081	41.5086686399683
"04:30:00"	0	0.000389893312174715	0.756	16.7	99.98	-2093.6001141	41.5086686399683
"04:40:00"	0	0.000389694084296219	0.767	16.6	99.97	-2139.2704377	41.5188411936511
"04:50:00"	0	0.000389455926965079	0.777	16.5	99.97	-2093.6001141	41.5331753352681
"05:00:00"	0	0.000389178911642788	0.78	16.4	99.98	-2152.9915209	41.551675376601
"05:10:00"	0	0.00038950569509681	0.788	16.4	99.98	-2145.2683131	41.551675376601
"05:20:00"	0	0.000389871473497172	0.792	16.4	99.97	-2091.9390228	41.5475193778636
"05:30:00"	0	0.00039033304988443	0.79	16.5	99.97	-2095.2856782	41.5331753352681
"05:40:00"	0	0.000390262637202408	0.792	16.5	99.96	-2148.7087809	41.5290207713654
"05:50:00"	0	0.000390383517911483	0.791	16.7	99.97	-2160.774891	41.5045169427649
"06:00:00"	0	0.000390369589889785	0.789	16.8	99.98	-2109.5370054	41.4943528377128
"06:10:00"	0	0.000390416994217738	0.787	16.9	99.98	-2107.0275237	41.4800469067224
"06:20:00"	0	0.000390425288059195	0.785	17	99.99	-2159.8846929	41.4698982413553
"06:30:00"	0	0.000390338037624058	0.785	17	99.99	-2164.2479892	41.4698982413553
"06:40:00"	2.575998e-07	0.000390557523733164	0.787	17	100	-2105.3562354	41.4740456459199
"06:50:00"	2.028937e-06	0.000390816043646031	0.79	17	100	-2109.5370054	41.4740456459199
"07:00:00"	6.484473e-06	0.000391035460012898	0.791	17	100.01	-2114.613072	41.4781930504845
"07:10:00"	1.726009e-05	0.000391220883118984	0.792	17	100.02	-2107.8402246	41.4823404550491
"07:20:00"	1.838082e-05	0.000391445401951926	0.794	17	100.02	-2109.5370054	41.4823404550491
"07:30:00"	1.210472e-05	0.00039145665633714	0.797	16.9	100.04	-2171.186028	41.5049399134678
"07:40:00"	7.617157e-06	0.000391326454296235	0.813	16.8	100.05	-2113.7738589	41.5234046950707
"07:50:00"	1.39497e-05	0.000391157155760911	0.819	16.7	100.07	-2117.1307113	41.5460339147993
"08:00:00"	1.219156e-05	0.000391161915392115	0.819	16.7	100.08	-2167.6935555	41.5501856120027
"08:10:00"	6.93626e-06	0.000391127596482431	0.819	16.7	100.1	-2113.7738589	41.5584890064096
"08:20:00"	6.749852e-06	0.000390823432190337	0.85	16.5	100.12	-2116.2670254	41.5954937938086
"08:30:00"	1.007382e-05	0.000390288467775039	0.878	16.1	100.13	-2169.4637547	41.6571759613174
"08:40:00"	2.874971e-05	0.00039019725293801	0.894	16	100.13	-2117.1307113	41.6715827314925
"08:50:00"	5.460141e-05	0.00038993210385004	0.902	15.8	100.14	-2171.186028	41.7045908158695
"09:00:00"	9.705933e-05	0.000389531997656743	0.899	15.5	100.15	-2182.545486	41.7521042289274
"09:10:00"	0.0001371345	0.000389575629700284	0.904	15.5	100.15	-2173.8046176	41.7521042289274
"09:20:00"	0.0001328483	0.000389271564389667	0.903	15.3	100.17	-2117.9791017	41.7893972076573
"09:30:00"	9.796918e-05	0.000389372383167799	0.901	15.4	100.19	-2122.2332901	41.7832554615061
"09:40:00"	0.0001375924	0.000389512061496659	0.901	15.5	100.2	-2186.9291763	41.7729490138645
"09:50:00"	0.0001614208	0.000389786686488383	0.898	15.7	100.21	-2128.1679441	41.7481914567644
"10:00:00"	0.0001665703	0.000390022400473568	0.899	15.9	100.23	-2135.8207926	41.7276313480548
"10:10:00"	0.0001058455	0.000389892210748239	0.899	15.8	100.24	-2138.3965548	41.7462371018849
