"time"	"PAR"	"co2"	"RH"	"Tair"	"Pair"	"ps"	"nm"
"10:20:00"	5.978932e-05	0.000389896952579911	0.901	15.8	100.25	-2202.8201811	41.7504017304865
"10:30:00"	5.612431e-05	0.000389631818612956	0.901	15.6	100.26	-2191.3383591	41.7834872708519
"10:40:00"	0.0001048642	0.000389810370410703	0.904	15.7	100.26	-2146.1197626	41.7690218087536
"10:50:00"	0.0004391591	0.000390567778400594	0.911	16.2	100.25	-2203.8796494	41.6926856057511
"11:00:00"	0.0006927443	0.00039151739184513	0.889	16.9	100.26	-2146.1197626	41.5962142715342
"11:10:00"	0.000618001	0.000391831183055536	0.852	17.1	100.26	-2211.8557428	41.5675519361188
"11:20:00"	0.0006928417	0.00039241506050907	0.832	17.5	100.26	-2136.7089513	41.510345602816
"11:30:00"	0.0005283921	0.000392554821007851	0.824	17.6	100.27	-2198.3967225	41.5002074596488
"11:40:00"	0.0004657464	0.000392616279820434	0.834	17.7	100.3	-2153.8786599	41.4983511335608
"11:50:00"	0.0005397617	0.000392564313319233	0.822	17.6	100.29	-2144.3923908	41.5084851513731
"12:00:00"	0.0005968627	0.00039306994643885	0.822	18	100.31	-2134.9815795	41.459724529042
"12:10:00"	0.000542811	0.000390682230430347	0.771	18	100.3	-2139.2704377	41.455591369384
"12:20:00"	0.0004460602	0.000388349958491713	0.769	18.1	100.31	-2193.9814215	41.4454894304912
"12:30:00"	0.0004377806	0.000386016484735028	0.757	18.2	100.32	-2196.6112278	41.4353944261712
"12:40:00"	0.0005948588	0.000385385529456926	0.739	18.3	100.32	-2190.4532595	41.4211774440384
"12:50:00"	0.0003806942	0.000384396461929082	0.741	18.1	100.31	-2134.9815795	41.4454894304912
"13:00:00"	0.0002701585	0.000383408245180591	0.743	17.9	100.3	-2137.5491841	41.4698348297411
"13:10:00"	0.0003688882	0.000383247925880527	0.758	18	100.31	-2202.8201811	41.459724529042
"13:20:00"	0.0003298568	0.000382879600369577	0.738	18	100.34	-2204.7882021	41.4721240080159
"13:30:00"	0.0002347666	0.000382456324802103	0.75	17.9	100.35	-2144.3923908	41.4905077284598
"13:40:00"	0.0002984791	0.000382248529482032	0.734	17.9	100.35	-2145.2683131	41.4905077284598
"13:50:00"	0.00041908	0.000382358317981349	0.697	18.2	100.37	-2143.5338034	41.4560460382257
"14:00:00"	0.0001241791	0.00038171882260195	0.697	17.9	100.38	-2198.3967225	41.5029114676911
"14:10:00"	0.0002001282	0.000381538506139403	0.691	17.8	100.37	-2195.740404	41.5130400867402
"14:20:00"	0.0003017389	0.000381582429351047	0.69	17.9	100.37	-2150.3974041	41.4987768879473
"14:30:00"	0.0004851281	0.000382150594598131	0.683	18.4	100.37	-2202.9976089	41.4276076598767
"14:40:00"	0.0006115472	0.000381734018456443	0.645	18.7	100.37	-2149.5449349	41.3850231736751
"14:50:00"	0.0008486519	0.000381446298028358	0.627	19.1	100.37	-2143.5338034	41.3283798570986
"15:00:00"	0.0009214393	0.000380988156378401	0.612	19.4	100.38	-2200.1506065	41.290112400176
"15:10:00"	0.0005939384	0.000380374589431712	0.621	19.2	100.4	-2145.2683131	41.3265918301362
"15:20:00"	0.0009500602	0.000380655296638784	0.607	19.6	100.39	-2206.5298497	41.2660145246999
"15:30:00"	0.0006231822	0.000379987827308514	0.609	19.3	100.39	-2201.929983	41.3083458782899
"15:40:00"	0.0005851196	0.000379984849187925	0.601	19.4	100.38	-2202.8201811	41.290112400176
"15:50:00"	0.0003667429	0.000379127157560658	0.595	18.9	100.39	-2147.8563117	41.3649229656083
"16:00:00"	0.0007451581	0.000380162373614623	0.581	19.8	100.38	-2153.8786599	41.2337340251629
"16:10:00"	0.001024033	0.000381004238117012	0.554	20.3	100.38	-2150.3974041	41.1634771943141
"16:20:00"	0.0006669274	0.000380547740928766	0.57	19.8	100.38	-2205.6457698	41.2337340251629
"16:30:00"	0.0003216221	0.00037975498709628	0.599	19.1	100.4	-2201.929983	41.340732665664
"16:40:00"	0.0006559269	0.00037989800200398	0.578	19.4	100.4	-2204.7882021	41.298339160965
"16:50:00"	0.0004515405	0.000379391645241678	0.599	19.2	100.4	-2205.6457698	41.3265918301362
"17:00:00"	0.0004222733	0.000379312472258418	0.579	19.3	100.39	-2208.3143247	41.3083458782899
"17:10:00"	0.0006878076	0.000380099603530434	0.522	20.1	100.39	-2152.9915209	41.195654738639
"17:20:00"	0.000495569	0.000379849121611112	0.512	20.1	100.39	-2162.4900264	41.195654738639
"17:30:00"	0.0005268877	0.000379172533536955	0.518	19.8	100.4	-2153.8786599	41.2419495529623
"17:40:00"	0.0003924906	0.000378804957241153	0.543	19.4	100.4	-2151.2835234	41.298339160965
"17:50:00"	0.0002308988	0.000378917370205272	0.536	19.4	100.41	-2218.0830507	41.3024525413595
"18:00:00"	0.0002772336	0.00037945622972997	0.546	19.7	100.41	-2155.5876771	41.2601416799547
"18:10:00"	0.0002294231	0.00037935620081152	0.528	19.6	100.41	-2154.7331685	41.2742356651571
"18:20:00"	0.000366951	0.00037960712729292	0.529	19.8	100.42	-2216.2812408	41.2501650807617
"18:30:00"	0.0002892863	0.000379339731977151	0.491	19.6	100.43	-2211.8557428	41.2824568056142
"18:40:00"	0.0002377894	0.000379342880131521	0.5	19.4	100.43	-2160.774891	41.3106793021486
"18:50:00"	0.0001602257	0.000379215912271067	0.509	19.1	100.43	-2163.3812442	41.3530854742295
"19:00:00"	0.0002174114	0.000379867488627422	0.489	19.4	100.43	-2210.944131	41.3106793021486
"19:10:00"	0.0001215142	0.000379851214113222	0.504	19	100.44	-2218.0830507	41.3713592307992
"19:20:00"	0.0001462894	0.000380093844714398	0.518	18.8	100.45	-2159.0281449	41.4038224651906
"19:30:00"	0.0001077357	0.000380373549789266	0.501	18.6	100.45	-2156.4758358	41.4322055482858
"19:40:00"	8.96778e-05	0.000381156837841259	0.51	18.5	100.46	-2214.4814703	41.4505377615183
"19:50:00"	5.608178e-05	0.000381415305431408	0.522	18	100.47	-2159.8846929	41.5258550835694
"20:00:00"	3.814726e-05	0.000381107266336514	0.576	17.1	100.49	-2215.3941018	41.6629093762276
"20:10:00"	2.355874e-05	0.000381679965947477	0.598	16.4	100.51	-2216.2812408	41.7719433096836
"20:20:00"	1.157152e-05	0.000382679926591583	0.613	16	100.52	-2225.1852612	41.8338909035217
"20:30:00"	4.040434e-06	0.000383504335544619	0.65	15.5	100.54	-2226.0846366	41.9146935514365
"20:40:00"	8.614885e-07	0.000385206828354062	0.676	15.3	100.56	-2228.7531915	41.9520992632726
"20:50:00"	1.32381e-07	0.000387346998264659	0.699	15.4	100.57	-2172.0803049	41.9417307292511
"21:00:00"	0	0.000389179597513193	0.684	15.3	100.59	-2163.3812442	41.9646148060122
"21:10:00"	0	0.000395362887336842	0.701	15.2	100.6	-2165.9906565	41.9833414608241
"21:20:00"	0	0.0004009833277918	0.699	14.7	100.61	-2217.1693995	42.0604477320238
"21:30:00"	0	0.000407005089242569	0.747	14.5	100.62	-2170.3243815	42.0938753662349
"21:40:00"	0	0.000416517122371951	0.767	14.4	100.63	-2172.9419514	42.1126990733156
"21:50:00"	0	0.000425681812281513	0.759	14.1	100.65	-2225.1852612	42.1650595557902
"22:00:00"	0	0.000435320481362415	0.743	14.1	100.66	-2165.9906565	42.1692488314539
"22:10:00"	0	0.000431693046579041	0.757	14.1	100.66	-2174.6999142	42.1692488314539
"22:20:00"	0	0.000427725075793614	0.774	13.9	100.67	-2176.4099511	42.2028221434229
"22:30:00"	0	0.000424353862714117	0.762	14.1	100.68	-2180.8140354	42.1776273827814
"22:40:00"	0	0.000425653608580889	0.789	13.7	100.68	-2227.8344418	42.236442271933
"22:50:00"	0	0.000427501812221263	0.796	13.7	100.69	-2226.0846366	42.2406373893616
"23:00:00"	0	0.000429349648790407	0.8	13.7	100.7	-2238.6198087	42.2448325067903
"23:10:00"	0	0.000419791468127574	0.813	13.7	100.71	-2186.9291763	42.249027624219
"23:20:00"	0	0.000410132891704995	0.823	13.6	100.71	-2233.2204972	42.2637613740444
"23:30:00"	0	0.000400760371353351	0.819	13.7	100.71	-2241.2863242	42.249027624219
"23:40:00"	0	0.000400860278709412	0.781	13.8	100.72	-2239.516125	42.2384977990648
"23:50:00"	0	0.000401099849268778	0.759	14	100.73	-2242.1928375	42.2132694162495
