DAS,Loam simulation approach,Sand simulation approach,Loam upscaled,Sand upscaled
42,4092.9106706092,4360.07067566942,1858.74508558633,3035.59324566576
63,18895.1600292574,24189.7636308906,14000.8951751234,40549.6498526134
