BBCH,DAS,substrate,genotype,depth,RLD_mean,RLD_SE,RD_mean,RD_SE
14,42,L,WT,D1,0.081800271623801,0.0146304151217299,251,14
14,42,L,RTH3,D1,0.0721763078968961,0.00782391016831081,237,25
14,42,S,WT,D1,0.121150991709815,0.0394321403079891,310,19
14,42,S,RTH3,D1,0.119205351837705,0.0278773642272397,319,40
19,63,L,WT,D1,0.31955081628611,0.0825637932153261,222,9
19,63,L,RTH3,D1,0.370814305520188,0.0571852896770558,254,11
19,63,S,WT,D1,1.15784155278273,0.269412320512748,246,8
19,63,S,RTH3,D1,0.689786987522282,0.109243523400661,292,13
19,63,L,WT,D2,0.345596016184251,0.0160678746518872,236,8
19,63,L,RTH3,D2,0.264047477576889,0.0280117509615974,250,9
19,63,S,WT,D2,0.768568924539513,0.121151465912557,301,13
19,63,S,RTH3,D2,0.412750318309142,0.0661965654600511,337,20
59,98,L,WT,D1,0.769364980335569,0.101522118806066,199,9
59,98,L,RTH3,D1,0.661131751690575,0.21210838460749,222,3
59,98,S,WT,D1,2.07508597883598,0.394137327691368,245,4
59,98,S,RTH3,D1,1.11293953541012,0.0743487206847483,286,10
59,98,L,WT,D2,1.03529509379509,0.0549637590200872,192,6
59,98,L,RTH3,D2,1.00194187250658,0.12118297900893,220,9
59,98,S,WT,D2,1.51336257533316,0.220748394451179,258,8
59,98,S,RTH3,D2,1.0354435248847,0.0776605957198191,297,12
59,98,L,WT,D3,1.55696990917579,0.115904398454942,199,8
59,98,L,RTH3,D3,1.50432891944657,0.103757088524945,231,13
59,98,S,WT,D3,1.49636847466259,0.123815151396283,244,10
59,98,S,RTH3,D3,1.37998029312735,0.183873714192645,278,14
83,154,L,WT,D1,0.648218430806666,0.0974219086051963,236,10
83,154,L,RTH3,D1,0.441509669524375,0.126891781803387,258,9
83,154,S,WT,D1,3.45417764479529,0.362273543254626,246,6
83,154,S,RTH3,D1,2.32766503975327,0.201659973150121,274,7
83,154,L,WT,D2,0.897211060181648,0.111311434514461,193,7
83,154,L,RTH3,D2,0.521854808590103,0.0992110369087017,198,7
83,154,S,WT,D2,1.6000230314348,0.192465573635814,247,12
83,154,S,RTH3,D2,1.16220748097219,0.0834560493060069,288,11
83,154,L,WT,D3,1.3501953286365,0.168278693774953,175,11
83,154,L,RTH3,D3,1.01354910449028,0.11191176042238,201,8
83,154,S,WT,D3,1.48180728857199,0.196336630840715,229,14
83,154,S,RTH3,D3,1.15502431881844,0.0736529711957124,267,12
