# treatment,depth,BBCH14,BBCH19,BBCH59,BBCH83
0.0000,0.0000,0.0272,0.2814,0.6974,0.6974
0.0000,-10.0000,0.1466,0.5509,1.6843,1.6843
0.0000,-20.0000,0.1204,0.3417,1.6241,1.6241
0.0000,-30.0000,0.0214,0.2059,1.5337,1.5337
0.0000,-40.0000,0.0005,0.0913,1.2847,1.2847
0.0000,-50.0000,0.0000,0.0025,0.5900,0.5900
0.0000,-60.0000,0.0000,0.0000,0.1529,0.1529
0.0000,-70.0000,0.0000,0.0000,0.0085,0.0085
0.0000,-80.0000,0.0000,0.0000,0.0005,0.0005
1.0000,0.0000,0.1106,0.9252,1.1662,1.1664
1.0000,-10.0000,0.2088,1.9059,2.7774,2.7780
1.0000,-20.0000,0.1327,1.3114,2.7099,2.7116
1.0000,-30.0000,0.0253,0.7062,2.6643,2.6706
1.0000,-40.0000,0.0006,0.1754,2.5877,2.6862
1.0000,-50.0000,0.0000,0.0082,1.6368,2.6362
1.0000,-60.0000,0.0000,0.0000,0.2440,1.6187
1.0000,-70.0000,0.0000,0.0000,0.0049,0.2935
1.0000,-80.0000,0.0000,0.0000,0.0000,0.0901
