system,year,day,depth,measured_mean,measured_std,simulated_mean,simulated_std
soil_core,1996,,15,3.3335000000000004,0.9050418222380666,3.236827056656434,1.066177156932817
soil_core,1996,,30,3.001,1.1100513501635856,1.7003753166904343,0.41138310553420804
soil_core,1996,,45,1.152,0.6056705375036828,0.5788015964471823,0.2661616496227462
soil_core,1996,,60,0.602,0.5936948711248902,0.48261034065027125,0.2429017779655439
soil_core,1996,,75,0.15766666666666665,0.2244439053898917,0.38247773220368675,0.23590604189099948
soil_core,1996,,90,0.07,0.04454211490264018,0.20425584343431327,0.1365162664282425
soil_core,1996,,105,0.12433333333333334,0.2202795193990278,0.03888659656575955,0.034559247228217786
soil_core,1996,,120,0.03766666666666666,0.052713059735388784,0.0012417492099359966,0.002709919540809626
minirhizo,1996,181.0,35,0.08695652173913043,0.2881040655200304,0.375,0.5153882032022076
minirhizo,1996,181.0,40,0.0,0.0,0.625,0.6414501799308605
minirhizo,1996,181.0,45,0.0,0.0,0.375,0.375
minirhizo,1996,181.0,50,0.0,0.0,0.375,0.7324331596352894
minirhizo,1996,181.0,55,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,60,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,65,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,70,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,75,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,80,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,85,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,90,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,95,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,100,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,105,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,110,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,115,0.0,0.0,0.0,0.0
minirhizo,1996,181.0,120,0.0,0.0,0.0,0.0
minirhizo,1996,195.0,35,0.2708333333333333,0.6075461454412987,0.8333333333333334,0.8858454843945541
