position,depth,treatment,year,growth.stage,rld,root_res_volume
UP,6.5,L_WT,2019,BBCH14,0.5946,0.00005
IR,6.5,L_WT,2019,BBCH14,0,0.0000058568
UP,16.5,L_WT,2019,BBCH14,0.1417,0
IR,16.5,L_WT,2019,BBCH14,0,0.00001114
UP,6.5,S_rth3,2019,BBCH14,1.5432,0.0001625
IR,6.5,S_rth3,2019,BBCH14,0,0.0000742
UP,16.5,S_rth3,2019,BBCH14,0.5908,0.00002846
IR,16.5,S_rth3,2019,BBCH14,0,0.0001442
IR,6.5,S_WT,2019,BBCH14,0,0.000006454
UP,6.5,S_WT,2019,BBCH14,0,0.00001502
IR,16.5,S_WT,2019,BBCH14,0,0.0001468
UP,16.5,S_WT,2019,BBCH14,0.22,0.0000041435
IR,6.5,L_rth3,2019,BBCH14,0,0.0000062357
UP,6.5,L_rth3,2019,BBCH14,0.6774,0.0000056657
UP,16.5,L_rth3,2019,BBCH14,0,0.000007398
IR,16.5,L_rth3,2019,BBCH14,0,0.00000263
IR,6.5,S_rth3,2019,BBCH14,0,0.0000095158
UP,6.5,S_rth3,2019,BBCH14,1.6964,0.00005521
IR,16.5,S_rth3,2019,BBCH14,0,0
UP,16.5,S_rth3,2019,BBCH14,0,0.00165
IR,6.5,S_WT,2019,BBCH14,0,0.0000048015
UP,6.5,S_WT,2019,BBCH14,1.0387,0.0001945
IR,16.5,S_WT,2019,BBCH14,0,0.0001019
UP,16.5,S_WT,2019,BBCH14,0.7778,0.00001781
IR,6.5,L_rth3,2019,BBCH14,0.007037,0.00001461
UP,6.5,L_rth3,2019,BBCH14,0.3398,0.00001411
UP,16.5,L_rth3,2019,BBCH14,0.04622,0
IR,16.5,L_rth3,2019,BBCH14,0,0.00001315
IR,6.5,L_WT,2019,BBCH14,0,0
UP,6.5,L_WT,2019,BBCH14,0.803,0.000002643
UP,16.5,L_WT,2019,BBCH14,0.4506,0.0000022019
IR,16.5,L_WT,2019,BBCH14,0.2088,0.00000097966
IR,6.5,S_WT,2019,BBCH14,0,0.00001137
UP,6.5,S_WT,2019,BBCH14,0.5388,0.00005867
UP,16.5,S_WT,2019,BBCH14,0,0.00003887
IR,16.5,S_WT,2019,BBCH14,0.06676,0.00001782
UP,6.5,L_rth3,2019,BBCH14,1.1221,0.0000036687
IR,6.5,L_rth3,2019,BBCH14,0,0
UP,16.5,L_rth3,2019,BBCH14,0.18,0.00000248
IR,16.5,L_rth3,2019,BBCH14,0.1248,0
UP,6.5,L_WT,2019,BBCH14,1.358,0
IR,6.5,L_WT,2019,BBCH14,0,0.0000065137
UP,16.5,L_WT,2019,BBCH14,0.2203,0
IR,16.5,L_WT,2019,BBCH14,0.1881,0.0000032504
UP,6.5,S_rth3,2019,BBCH14,1.4016,0.0002427
IR,6.5,S_rth3,2019,BBCH14,0,0.00005225
UP,16.5,S_rth3,2019,BBCH14,0,0.00001274
IR,16.5,S_rth3,2019,BBCH14,0.1258,0.0001195
UP,6.5,L_rth3,2019,BBCH14,1.2216,0
IR,6.5,L_rth3,2019,BBCH14,0,0
UP,16.5,L_rth3,2019,BBCH14,0,0
IR,16.5,L_rth3,2019,BBCH14,0.7299,0
UP,6.5,S_WT,2019,BBCH14,1.3092,0.0001109
IR,6.5,S_WT,2019,BBCH14,0,0.00003704
UP,16.5,S_WT,2019,BBCH14,0.4872,0.0000089648
IR,16.5,S_WT,2019,BBCH14,0.6375,0.00002475
UP,6.5,S_rth3,2019,BBCH14,2.0386,0.00005256
IR,6.5,S_rth3,2019,BBCH14,0,0.0000050277
UP,16.5,S_rth3,2019,BBCH14,0.949,0.00008864
IR,16.5,S_rth3,2019,BBCH14,0,0.0000959
UP,6.5,L_WT,2019,BBCH14,1.2651,0.0000030468
IR,6.5,L_WT,2019,BBCH14,0,0.0000031443
UP,16.5,L_WT,2019,BBCH14,0.422,0
IR,16.5,L_WT,2019,BBCH14,0,0.0000035847
UP,6.5,S_WT,2019,BBCH14,3.1772,0.00004281
IR,6.5,S_WT,2019,BBCH14,0,0.0001936
UP,16.5,S_WT,2019,BBCH14,0.03475,0.0003035
IR,16.5,S_WT,2019,BBCH14,0.07116,0.00008811
