BBCH,DAS,substrate,genotype,RL_mean,RL_SE,RD_mean,RD_SE,Total exudation,Total exudation SE,Root dry weight,Root dry weight SE
14,42,L,WT,2090.60391140969,182.097626713206,0.36626170406053,0.00512812252465135,0.0777515063349856,0.00850546793953729,0.352481550619301,0.0292190285184708
14,42,L,rth3,725.569158547763,73.8080343620492,0.474413429574584,0.0228180946384986,0.0564484325563145,0.00377437301040892,0.170273231938549,0.0515526848227294
14,42,S,WT,1272.20008182046,272.205132297049,0.380962035969851,0.0278691708672558,0.0751330172584166,0.0110850197764558,0.236804378630078,0.0612305197818553
14,42,S,rth3,947.33466727487,122.159970808508,0.421932021642483,0.0184374364013329,0.0536152564091045,0.00237078136227307,0.200328991755976,0.0357715570532832
19,63,L,WT,19076.0332506855,2362.18751451953,0.324150815264042,0.00897102957442089,0.291343805998713,0.0459774676343032,3.33807928703155,0.0186172948737461
19,63,L,rth3,7675.80893274223,1666.89371035866,0.372963108117257,0.0265955835766867,0.224430053478763,0.0289220666088019,1.53436405144181,0.0192456554638328
19,63,S,WT,15346.478349624,2879.33234289254,0.262333815315859,0.00469065527492818,0.122167824094208,0.0179885143743833,1.31127603163718,0.0548606201293477
19,63,S,rth3,9686.42434292268,3169.18504868617,0.31410892853022,0.00908084374147413,0.124598031878649,0.0276370645276978,1.19837732772024,0.0516055638833324
59,98,L,WT,77627.1461611305,2868.71461368217,0.330111219078965,0.0101549546380094,0.777064703912999,0.107002632421514,16.7454222178583,0.0590069315609167
59,98,L,rth3,41726.8378259081,4532.33656711512,0.360057879663831,0.00557582898454406,0.611591728936186,0.159266972368596,8.7887772423869,0.0530542100622721
59,98,S,WT,55587.9779870317,4303.26502768227,0.283614616675974,0.0102947330451177,0.34635485226886,0.0772790714125224,8.49635407364525,0.0324312492406531
59,98,S,rth3,47174.3960643276,7608.70004080841,0.312436310690835,0.00908980664322598,0.385491891641882,0.088032629922775,6.34249727408297,0.0326447635409378
83,154,L,WT,76958.4383681102,8182.06096532484,0.300616969378985,0.00523128963796776,0.603717205950533,0.0336081058615461,16.3789560599152,0.035564367358432
83,154,L,rth3,42272.0675436041,1696.90961615637,0.334821041156179,0.00476709761033947,0.508981604040734,0.091307080470905,11.8110463522135,0.0311437915173421
83,154,S,WT,54147.0186592326,4974.35085444429,0.265687525536434,0.00293809403305266,0.265626383367621,0.0116988295643181,9.04011518228158,0.792781096251231
83,154,S,rth3,29810.8231821173,1519.33511846154,0.324439338664132,0.0107445790675623,0.256795534717416,0.0374573873582355,6.24117532746038,0.862922088300861
