BBCH,DAS,substrate,genotype,RL_mean,RL_SE,RD_mean,RD_SE,RSA_mean,RSA_SE,Total exudation,Total exudation SE,Exudation surface,Exudation surface SE
14,42,L,WT,2090.60391140969,182.097626713206,0.36626170406053,0.00512812252465135,240.891277455622,22.2549309038941,0.0777515063349856,0.00850546793953729,0.321781203250759,0.0192092504276003
14,42,L,rth3,725.569158547763,73.8080343620492,0.474413429574584,0.0228180946384986,106.210732900893,34.5857991041016,0.0564484325563145,0.00377437301040892,0.536801184439078,0.0318607064488532
14,42,S,WT,1272.20008182046,272.205132297049,0.380962035969851,0.0278691708672558,143.139879242272,41.1095519477971,0.0751330172584166,0.0110850197764558,0.461444778272458,0.043259671766816
14,42,S,rth3,947.33466727487,122.159970808508,0.421932021642483,0.0184374364013329,126.241326863365,30.6804950090986,0.0536152564091045,0.00237078136227307,0.452331823199861,0.0490255023624521
19,63,L,WT,19076.0332506855,2362.18751451953,0.324150815264042,0.00897102957442089,1918.50237117824,7.73298528240316,0.291343805998713,0.0459774676343032,0.30982786832685,0.0472333641246949
19,63,L,rth3,7675.80893274223,1666.89371035866,0.372963108117257,0.0265955835766867,849.200735057281,7.94899715920065,0.224430053478763,0.0289220666088019,0.57716131680101,0.0665451538875789
19,63,S,WT,15346.478349624,2879.33234289254,0.262333815315859,0.00469065527492818,1255.49877507767,16.5539684423793,0.122167824094208,0.0179885143743833,0.20254647228655,0.0167310264797722
19,63,S,rth3,9686.42434292268,3169.18504868617,0.31410892853022,0.00908084374147413,932.057280999656,17.5952410966192,0.124598031878649,0.0276370645276978,0.300415170612166,0.0338222589548105
59,98,L,WT,77627.1461611305,2868.71461368217,0.330111219078965,0.0101549546380094,8036.84177443304,23.2311450561015,0.777064703912999,0.107002632421514,0.19748671457584,0.0312773759907671
59,98,L,rth3,41726.8378259081,4532.33656711512,0.360057879663831,0.00557582898454406,4736.66648573583,21.7262202797203,0.611591728936186,0.159266972368596,0.288371112554714,0.0870656227020271
59,98,S,WT,55587.9779870317,4303.26502768227,0.283614616675974,0.0102947330451177,4995.97243188304,21.5730972680339,0.34635485226886,0.0772790714125224,0.147059396999766,0.0318010538835804
59,98,S,rth3,47174.3960643275,7608.70004080841,0.312436310690835,0.00908980664322598,4650.69931724975,14.2244245674849,0.385491891641882,0.088032629922775,0.196900337399443,0.0615431608508576
83,154,L,WT,76958.4383681102,8182.06096532484,0.300616969378985,0.00523128963796776,7248.44786934908,18.2498588885822,0.603717205950533,0.0336081058615461,0.170733082510331,0.010040445657276
83,154,L,rth3,42272.0675436041,1696.90961615637,0.334821041156179,0.00476709761033947,4437.44450499522,19.1572719366109,0.508981604040734,0.091307080470905,0.231481442867438,0.041881214011597
83,154,S,WT,54147.0186592326,4974.35085444429,0.265687525536434,0.00293809403305266,4517.00957607182,545.141897685387,0.265626383367621,0.0116988295643181,0.120510557810474,0.00904471975601915
83,154,S,rth3,29810.8231821173,1519.33511846154,0.324439338664132,0.0107445790675623,3029.33849925722,500.776296317039,0.256795534717416,0.0374573873582355,0.167149048787589,0.0164009363437685
