"file"	"plant"	"root"	"order"	"parentroot"	"time"	"bran"	"apic"	"x1"	"y1"	"z1"	"x2"	"y2"	"z2"	"diameter1"	"diameter2"	"length"	"blength"	"surface"	"volume"	"orientation"	"growth"	"geodesic"
"1"	"DAP15"	1	1	1	0	1	"true"	"false"	-0.030767	-0.66931	-1.8536	-0.046151	-1.004	-2.7804	3.72895752003233	3.66791178843544	0.985501041884787	0.985501041884787	11.4560027996293	10.5874830628721	19.8752062145964	16.8152878974926	0.985501041884787
"2"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.046151	-1.004	-2.7804	-0.061535	-1.3386	-3.7073	3.66791178843544	3.60718905012742	0.985564527291846	1.97106556917663	11.2680803785144	10.2424316329683	19.868314477843	16.8152878974926	1.97106556917663
"3"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.061535	-1.3386	-3.7073	-0.076918	-1.6733	-4.6341	3.60718905012742	3.54614331853053	0.985504422460397	2.95656999163703	11.0788595910472	9.90183805020159	19.8757498828807	16.8152878974926	2.95656999163703
"4"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.076918	-1.6733	-4.6341	-0.092302	-2.0079	-5.5609	3.54614331853053	3.48509758693364	0.985470480256004	3.94204047189303	10.8893934147565	9.56639651083659	19.8702904391278	16.8152878974926	3.94204047189303
"5"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.092302	-2.0079	-5.5609	-0.10769	-2.3426	-6.4877	3.48509758693364	3.42437484862562	0.985504500519404	4.92754497241244	10.7011236098026	9.23824466550968	19.8757624362127	16.8152878974926	4.92754497241244
"6"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.10769	-2.3426	-6.4877	-0.12307	-2.6773	-7.4145	3.42437484862562	3.36332911702873	0.985504375637166	5.9130493480496	10.5125851471811	8.9155048797785	19.8757423528346	16.8152878974926	5.9130493480496
"7"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.12307	-2.6773	-7.4145	-0.126048096478708	-2.74209005733262	-7.59396032616817	3.36332911702873	3.35156461936604	0.190820935057419	6.10387028310702	2.01368384402275	1.68940837451306	19.8702803950544	16.8152878974926	6.10387028310702
"8"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.126048096478708	-2.74209005733262	-7.59396032616817	-0.131873146301904	-2.86881708404533	-7.94497828300422	3.35156461936604	3.32855368418646	0.373238900071038	6.47710918317806	3.9182954191307	3.27029414123157	19.8702803950543	16.8152878974926	6.47710918317806
"9"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.131873146301904	-2.86881708404533	-7.94497828300422	-0.13845	-3.0119	-8.3413	3.32855368418646	3.30257286707315	0.421410582692393	6.89851976587045	4.39156055540303	3.63841457254327	19.8702803950543	16.8152878974926	6.89851976587045
"10"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.13845	-3.0119	-8.3413	-0.16555	-3.5936	-9.0221	3.30257286707315	3.27054409473905	0.895878306468016	7.79439807233847	9.25144632057545	7.60020082174325	40.5424451851997	16.8152878974926	7.79439807233847
"11"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.16555	-3.5936	-9.0221	-0.19265	-4.1753	-9.7028	3.27054409473905	3.27054409473905	0.895802316362265	8.69020038870073	9.20411555844841	7.52561644674481	40.5466026758529	16.8152878974926	8.69020038870073
"12"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.19265	-4.1753	-9.7028	-0.21975	-4.7571	-10.384	3.27054409473905	3.27054409473905	0.89624722593713	9.58644761463786	9.20868687855477	7.52935412273957	40.5306763028502	16.8152878974926	9.58644761463786
"13"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.21975	-4.7571	-10.384	-0.24685	-5.3388	-11.064	3.27054409473905	3.27054409473905	0.89527051777661	10.4817181324145	9.19865147831958	7.52114881799518	40.5757248689561	16.8152878974926	10.4817181324145
"14"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.24685	-5.3388	-11.064	-0.27395	-5.9205	-11.745	3.27054409473905	3.27054409473905	0.89603030082693	11.3777484332414	9.20645803437192	7.52753173944449	40.5341323195216	16.8152878974926	11.3777484332414
"15"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.27395	-5.9205	-11.745	-0.274111001152241	-5.92395588082135	-11.7490458223128	3.27054409473905	3.27054387784419	0.00532331774449931	11.3830717509859	0.0546955831272925	0.0447210776091398	40.5341323195228	16.8152878974926	11.3830717509859
"16"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.274111001152241	-5.92395588082135	-11.7490458223128	-0.30105	-6.5022	-12.426	3.27054387784419	3.27050758661154	0.890706983082432	12.2737787340683	9.15171106865543	7.48272663451206	40.5341323195215	16.8152878974926	12.2737787340683
"17"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.30105	-6.5022	-12.426	-0.11361	-7.2916	-12.834	3.27050758661154	3.27053219179823	0.90815753787545	13.1819362719438	9.33099290768047	7.62929947198562	63.3037029494812	16.8152878974926	13.1819362719438
"18"	"DAP15"	1	1	1	0	1	"false"	"false"	-0.11361	-7.2916	-12.834	0.073822	-8.0809	-13.243	3.27053219179823	3.27053219179823	0.908518709011543	14.0904549809553	9.3347389246892	7.632391038807	63.2445516111092	16.8152878974926	14.0904549809553
"19"	"DAP15"	1	1	1	0	1	"false"	"false"	0.073822	-8.0809	-13.243	0.26126	-8.8703	-13.651	3.27053219179823	3.27053219179823	0.908157125085742	14.9986121060411	9.33102376559205	7.62935340195079	63.3036898533403	16.8152878974926	14.9986121060411
