facility,plot,Depth,pRLD,pRCD,pRVD
RUT,1,-20,0.537700758980583,4.75,0.000199569815513847
RUT,1,-20,0.472476761165047,8,0.000137620889726345
RUT,1,-20,0.163697971359223,3.25,3.27832976862015E-05
RUT,1,-20,0,0,0
RUT,1,-20,0.00588413616504853,0.5,1.74244120443624E-08
RUT,1,-20,0.0855421237864078,1.5,1.55411840876083E-05
RUT,1,-20,0,0,0
RUT,1,-20,0.0264420206310677,1.5,7.83014970802405E-08
RUT,1,-20,0.00596027888349513,0.5,1.76498901372438E-08
RUT,1,-20,0.0852607208737862,0.5,0.000038912674432635
RUT,1,-20,0.37824902961165,2,0.00038588711877166
RUT,1,-20,0.00244443398058252,0.5,7.2385858956537E-09
RUT,1,-20,0.00141466674757282,0.5,4.18918540495475E-09
RUT,1,-20,0.0379146002427182,1,4.21914254383755E-06
RUT,1,-20,0.602428497572815,11,0.000156993997736168
RUT,1,-20,0.372743874029125,6.25,0.000356200524122448
RUT,1,-20,0.955260580339805,10.5,0.000641957794741275
RUT,1,-20,0.81366723713592,14.5,0.000348683451106498
RUT,1,-20,0.150519217718447,5,3.3742664263352E-06
RUT,1,-20,0.306669748543688,8.5,2.22469469709726E-05
RUT,1,-20,0.915808833252425,12.25,0.000151787789892169
RUT,1,-20,0.224624486893204,4,6.65169796756187E-07
RUT,1,-20,0.224707774514563,4.5,6.65416433153017E-07
RUT,1,-20,0.540951942961165,8,0.000178922677734237
RUT,1,-20,0.0617712317961165,0.5,0.000040621299713469
RUT,1,-20,0.40816525145631,4,0.000136168913727079
RUT,1,-20,0.140803334951456,2,0.000134036502625999
RUT,1,-20,0.0235496084951456,0.5,6.97363339608152E-08
RUT,1,-20,0.0150830427184466,0.5,4.4664695985365E-08
RUT,1,-20,0,0,0
RUT,1,-20,0.148152152427184,3,4.17147242842905E-05
RUT,1,-20,0.0193615419902913,0.5,5.73344119803023E-08
RUT,1,-20,0.107286246601942,3,5.78650090553265E-06
RUT,1,-20,0.380238340048543,8.75,9.22071948194745E-05
RUT,1,-20,0.698147546359222,8.5,0.000308252411096275
RUT,1,-20,0,0,0
RUT,1,-20,0.793988567475728,10.75,0.00043304367148359
RUT,1,-20,0.122360918446602,2.5,0.000024817737312476
RUT,1,-20,0.422216793203882,4,0.000105547254591952
RUT,1,-20,0.31172519199029,3.75,0.000140826486725413
RUT,1,-40,0.662347188592233,9.75,0.000341118814056713
RUT,1,-40,0.5421101092233,8.5,0.000309341558838117
RUT,1,-40,0.135028107038835,4,3.16117560401635E-06
RUT,1,-40,2.25196344393204,7,0.00638484826708888
RUT,1,-40,0,0,0
RUT,1,-40,0.028785917475728,1,2.36745586935254E-06
RUT,1,-40,0.0483615978155338,1,8.21967545370435E-06
RUT,1,-40,0.0144655291262136,1,4.2836082342616E-08
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0.339554017961165,0.5,0.000215161045807187
RUT,1,-40,0.0268685643203882,0.5,7.9564600078519E-08
RUT,1,-40,0,0,0
RUT,1,-40,0.0181824485436893,0.5,5.38428191579415E-08
RUT,1,-40,0.00980213009708738,1.5,2.90265814334228E-08
RUT,1,-40,0,0,0
RUT,1,-40,0.00282933349514562,0.5,8.3783708099095E-09
RUT,1,-40,0,0,0
RUT,1,-40,0.30300948106796,4.5,6.99042239141157E-06
RUT,1,-40,0.0848151941747572,1.5,1.14060847608781E-06
RUT,1,-40,0.0138551604368932,0.5,4.1028627003817E-08
RUT,1,-40,0,0,0
RUT,1,-40,0.0349746247572815,1,1.03568691219307E-07
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0.033493919660194,1,2.84286424134298E-05
RUT,1,-40,0.00574195485436893,0.5,1.70033777878646E-08
RUT,1,-40,0,0,0
RUT,1,-40,0.0041607126213592,0.5,1.23209198180332E-08
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
RUT,1,-40,0,0,0
