plot,Depth,RLD
1,-10,4.70919265557034
1,-20,11.9347938210157
1,-40,2.4788077147401
1,-60,1.64109953005734
1,-80,0.160284992905997
2,-10,22.0822971787258
2,-20,3.92203143838515
2,-40,4.75859173577284
2,-60,1.49390045231511
2,-80,1.14232752790765
2,-10,11.8556993955713
2,-20,7.48155008735941
2,-40,1.59017326067096
2,-60,2.64759705525824
2,-80,3.08300567872022
3,-10,8.87292923178204
3,-20,4.04334815303078
3,-40,3.30826109252703
3,-60,2.71276710873211
3,-80,2.03625224516274
