facility,plot,Depth,pRLD,pRCD,pRVD
RUT,1,-10,0.105166085194175,7,0.000039399735652409
RUT,1,-10,0.57602220145631,3,6.33499972211722E-05
RUT,1,-10,3.32206853373785,38.5,0.00058817789352075
RUT,1,-10,0.639730487621357,13.5,0.000083537636473474
RUT,1,-10,2.64812218737862,37,0.000534197791240172
RUT,1,-10,1.10714690169903,11.75,0.000420027743566095
RUT,1,-10,0.0197047975728155,5.75,0.000236641903999581
RUT,1,-10,2.11875836941747,18.75,0.000454560278752377
RUT,1,-10,5.0764912092233,42,0.00332139110045395
RUT,1,-10,3.51733132038832,27,0.00120854425644694
RUT,1,-10,3.71401747839805,15.75,0.000452802381039362
RUT,1,-10,1.42055958228155,12.75,0.000168899984502762
RUT,1,-10,1.83509850485437,20,0.00060098602837717
RUT,1,-10,1.36555017839806,21.5,0.000558697968051717
RUT,1,-10,2.95569034466018,26.5,0.000568451027665875
RUT,1,-10,1.04047864174757,9.75,2.44861552956502E-05
RUT,1,-10,0.284803145631067,5.75,0.000166008235973624
RUT,1,-10,1.55306854854369,27.75,0.00028230609999318
RUT,1,-10,0.718181309951455,8.5,0.000317545025603375
RUT,1,-10,1.72134755946602,8.5,0.000315366376497285
RUT,1,-10,0.920022309708738,11,0.000495425325159667
RUT,1,-10,0.795876115048542,18.75,0.000191604034583203
RUT,1,-10,0.187935316990291,2,4.10317346793845E-05
RUT,1,-10,2.08421273980582,17,0.000405700365888735
RUT,1,-10,4.0400379463592,34.75,0.00101970080076153
RUT,1,-10,4.86583332985435,64.25,0.00119434692482683
RUT,1,-10,1.48516974417476,18.75,0.000367671257111792
RUT,1,-10,1.92346586383495,14.5,0.0008942136492715
RUT,1,-10,2.22929989805825,15.5,0.000856407087532613
RUT,1,-10,3.38434693470872,37.25,0.00074569313929554
RUT,1,-10,1.08153602548543,6.75,0.000405372035635615
RUT,1,-10,0.993125883737862,3.5,1.45325931824692E-05
RUT,1,-10,2.75168804733007,28.5,0.00102384537782172
RUT,1,-10,2.40284490048544,15.5,0.000669143061202615
RUT,1,-10,1.47158609247573,26,0.000235624460427444
RUT,1,-10,0.7948005184466,18,0.000115517469376386
RUT,1,-10,0.219269165048543,5,1.41009138515384E-05
RUT,1,-10,1.03677926893204,22.5,0.000189469616174488
RUT,1,-10,0.93338683252427,15.5,0.00012840141709114
RUT,1,-10,0.806864483495145,6.5,0.000624124246111105
RUT,1,-20,1.03194502208738,7.25,0.000559038335693635
RUT,1,-20,0.131166046601942,0.5,8.38858674215975E-08
RUT,1,-20,3.8318346055825,24.25,0.000774035197848135
RUT,1,-20,5.94996607475727,43,0.0017778486329893
RUT,1,-20,2.05462865364077,19.25,0.000650632752475
RUT,1,-20,2.08955939296116,21.5,0.001042240475994
RUT,1,-20,0.730583119174755,10,9.62580647609145E-05
RUT,1,-20,5.6443950041262,55.5,0.0028391219473702
RUT,1,-20,1.32949006286408,13.75,0.000237840986811207
RUT,1,-20,3.26281064660192,23,0.00140810102027085
RUT,1,-20,4.42364923228155,34.25,0.00344113712811685
RUT,1,-20,4.21225372402913,28.25,0.00150308384009821
RUT,1,-20,3.95109459466018,19,0.00224397910745113
RUT,1,-20,5.56095190436892,47,0.00227918459261668
RUT,1,-20,2.55187351893202,31.25,0.00111640341634827
RUT,1,-20,2.87866234975727,24.5,0.000685761999371755
RUT,1,-20,2.39043450995146,33.5,0.000734436661001328
RUT,1,-20,0.558197806310678,10,0.000111158631518897
RUT,1,-20,2.38883572063107,18.75,0.00101948390483694
RUT,1,-20,2.14418030679612,31.5,0.00059324584710202
RUT,1,-20,0.0865391254854368,2.75,3.30590558426302E-05
RUT,1,-20,1.43373313470874,15,0.000589922906731965
RUT,1,-20,0.140507134466019,5,2.72241886285412E-06
RUT,1,-20,0.561189530097085,13,0.000125024602405267
RUT,1,-20,0.204514580582524,1,3.91569002372045E-05
RUT,1,-20,0.924140362864078,9.75,0.000228926298228194
RUT,1,-20,0.145743951213592,1.5,5.42205107497115E-07
RUT,1,-20,0.492481226699028,8,0.000142720282776713
RUT,1,-20,0.413402786407765,10.5,9.66309719110993E-05
RUT,1,-20,2.57834911019415,23.25,0.00114073855256482
RUT,1,-20,0.062449372330097,1,7.08761188750712E-08
RUT,1,-20,0.35670006213592,4.5,2.38928328802619E-05
RUT,1,-20,0.34602463592233,5,0.000167851609313671
RUT,1,-20,0.265946023786407,0.5,1.78706233578927E-07
RUT,1,-20,1.01238963762136,7,0.000203553299389509
RUT,1,-20,6.73330635970872,38.25,0.0039887889509882
RUT,1,-20,3.88594787815533,24,0.00139906631987129
RUT,1,-20,0.835809533980582,13,4.43402774629435E-05
RUT,1,-20,0.783721927669902,14,0.000252921721556252
RUT,1,-20,0.398034155339805,4,1.18693313540344E-06
RUT,1,-40,1.54312964854369,19.5,0.000331741285312113
RUT,1,-40,0.472470124029125,14.5,0.000116932291906624
RUT,1,-40,0.64937614660194,6,3.49743350441143E-05
RUT,1,-40,0.107573568446602,3,6.20101117923323E-05
RUT,1,-40,0.80879561868932,5.75,0.000725119076480905
RUT,1,-40,0.219168627912621,2,4.42633294880605E-05
RUT,1,-40,0.453153185436893,6.5,0.000242827744430677
RUT,1,-40,0.155563330825242,7,9.51578446011675E-06
RUT,1,-40,0.0669390507281552,2.5,7.6035807614802E-06
RUT,1,-40,0.138109037621359,4,7.2984310575743E-06
RUT,1,-40,0.133484323058252,5.5,4.61134398619233E-07
RUT,1,-40,0.698712803883495,20,0.00023759754047031
RUT,1,-40,0.962145395873785,14.5,0.00066349830784107
RUT,1,-40,0.284741292718445,6.5,6.46082314125578E-05
RUT,1,-40,1.09538792888349,15.75,0.00075131838769267
RUT,1,-40,1.33459522378641,14.25,0.000565998933956743
RUT,1,-40,1.27437745970874,14.75,0.000219194037794206
RUT,1,-40,0.55452549029126,8,0.000282070389532105
RUT,1,-40,0.533834513349512,12,0.000298821739717238
RUT,1,-40,0.186101251699029,6.5,4.56217764883178E-05
RUT,1,-40,0.638593546116503,17.25,0.000271683749979865
RUT,1,-40,0.308844110194172,3.5,7.90000536703128E-05
RUT,1,-40,0.207441999514563,5,0.000233230691048633
RUT,1,-40,0.86536850776699,5.5,0.000373471368499863
RUT,1,-40,0.0748524075242717,3,2.39871853532493E-05
RUT,1,-40,0.0125481759708738,1,1.17011868243394E-07
RUT,1,-40,0.31820714053398,8.5,0.000104673704896557
RUT,1,-40,1.07146606432039,9.5,0.00215997207444815
RUT,1,-40,0.439016622330095,3,0.000172625294088093
RUT,1,-40,0.15791855776699,1,0.000029752447920432
RUT,1,-40,1.0857304315534,7.25,0.00107693665231274
RUT,1,-40,0.51898827014563,7,0.000162397046524658
RUT,1,-40,1.07582265024272,17.5,0.000367490713429795
RUT,1,-40,1.83258486286408,21.75,0.000877235112426983
RUT,1,-40,0.121865376941748,1.5,0.000013414116730208
RUT,1,-40,0.255704793932037,2.5,5.86708518104245E-05
RUT,1,-40,0.319324380825243,6,0.000042376248695923
RUT,1,-40,0.277886283009707,6.5,0.000042166617928357
RUT,1,-40,0.663981912864077,10.5,0.000203270073402597
RUT,1,-40,0.170539916990291,6.5,0.000041018923938916
RUT,1,-60,0.392557072087378,4.75,0.000100977098194471
RUT,1,-60,0.301829669660192,4,0.000139753913507903
RUT,1,-60,0.0192336507281553,1,2.75287126457478E-05
RUT,1,-60,0.472451140776698,6.75,0.000175239068220608
RUT,1,-60,0.779169888592232,7.5,0.00032311465440064
RUT,1,-60,0.229791797815534,4,0.000013649545420082
RUT,1,-60,0.618034138106795,5.5,5.71692415475228E-05
RUT,1,-60,0.551846919174755,4,9.95108769736172E-05
RUT,1,-60,0.765617863349513,8.5,0.000587376968253277
RUT,1,-60,0.754509466747572,13.25,0.000228721300419501
RUT,1,-60,0.134570024029126,0,0
RUT,1,-60,0.110298179368932,1,0.000135506419421091
RUT,1,-60,0,4.25,9.81480850043057E-05
RUT,1,-60,0.125843490291262,2.75,0.000182857610982889
RUT,1,-60,1.28309837184466,12.5,0.000354485094765205
RUT,1,-60,0,1,3.57930528393643E-08
RUT,1,-60,0.0128842866504854,0,0
RUT,1,-60,0.661546778398058,7.5,0.000056455984226847
RUT,1,-60,0.820873873543687,6,0.000296859273075068
RUT,1,-60,0.570097647330095,10,0.000124853054789302
RUT,1,-60,0.28852547645631,3.75,0.00013710035924046
RUT,1,-60,0.394021035436892,9.75,0.000252232307806065
RUT,1,-60,0.71155789830097,6.5,0.000238964780084596
RUT,1,-60,0.0758089912621357,1.5,6.84482495502077E-05
RUT,1,-60,0.427260398543688,5.5,0.000063108982608419
RUT,1,-60,0.151776905582524,1.5,1.19714675534237E-05
RUT,1,-60,0.634407213106795,8,0.000200891038291586
RUT,1,-60,0.332816076699027,5,0.00017713236017276
RUT,1,-60,0.51037390145631,4.25,0.000267359535300673
RUT,1,-60,0,0,0
RUT,1,-60,1.08721663519417,14.25,0.000573657496679635
RUT,1,-60,0.207594285194175,1.5,3.22714009924252E-05
RUT,1,-60,0.174110470145631,6,0.000031411873628317
RUT,1,-60,0.83862140776699,7.25,0.000236620335390496
RUT,1,-60,0.349529150485435,4.5,0.000125256274214648
RUT,1,-60,0.00428564417475727,0.5,4.585556090405E-08
RUT,1,-60,0.200137277669903,1.5,8.72697960423783E-06
RUT,1,-60,0,0.5,1.15510893846313E-08
RUT,1,-60,0.371771266504852,7.5,0.000055713744505947
RUT,1,-60,0.0935161075242718,1,1.61817756557676E-05
RUT,1,-80,0.754810062864077,7.5,0.000415865606491145
RUT,1,-80,0.140958072330097,1,2.47875277752357E-05
RUT,1,-80,0,1,3.45087917659212E-08
RUT,1,-80,1.72810702257282,15.5,0.000256226642572435
RUT,1,-80,0,0,0
RUT,1,-80,1.35238571480582,15.75,0.0012310936198561
RUT,1,-80,0.668202236893203,7,0.000769339848245948
RUT,1,-80,0.707495271359223,3,0.00113838470112388
RUT,1,-80,0,0,0
RUT,1,-80,0,0,0
RUT,1,-80,0.101021396359223,3,0.00014242133200287
RUT,1,-80,0.420394058252425,4.25,0.00027693943750223
RUT,1,-80,0.0168338201456311,3,0.000018192596237212
RUT,1,-80,0.0554765757281553,1,1.57534828690057E-07
RUT,1,-80,0.563925979126213,4,5.75262237427555E-05
RUT,1,-80,0.65449834660194,12.25,0.000131085771119868
RUT,1,-80,0.581733842961165,3,0.000208934123900114
RUT,1,-80,0.0372667730582523,3.75,6.39914593997403E-05
RUT,1,-80,0.553749474514562,4.25,0.000154107597325544
RUT,1,-80,0.449141291262135,4,2.68002601235258E-05
RUT,1,-80,0.789292403398058,6.75,0.00059943851723509
RUT,1,-80,0.70762071092233,6.25,0.000318653157783005
RUT,1,-80,0,0.5,5.40682974796082E-08
RUT,1,-80,3.8064813684466,38,0.00334227440885898
RUT,1,-80,0.445963290776698,4.25,0.000233831429653518
RUT,1,-80,0.181211158009708,3,7.20214109631225E-06
RUT,1,-80,2.5530373936893,13.25,0.0034308489773571
RUT,1,-80,0.0500951259708738,5,5.81116025800588E-06
RUT,1,-80,0.82552594199029,8,0.000415024540490442
RUT,1,-80,0.248012212864078,5,0.000449092577831195
RUT,1,-80,0,0,0
RUT,1,-80,0.822470124029125,3,1.56566831120673E-05
RUT,1,-80,0.0777448199029125,5.5,1.07628666933736E-05
RUT,1,-80,0.4614509342233,3,0.000095144886637742
RUT,1,-80,0.143504777184466,1.25,2.48145279404188E-05
RUT,1,-80,0.56716481699029,6.5,0.000725893026961902
RUT,1,-80,0,0,0
RUT,1,-80,0.192027031553398,1.5,5.67905650635977E-05
RUT,1,-80,0.287645035436893,3.5,1.67952692250672E-05
RUT,1,-80,0.33597978737864,3.5,7.35854642735558E-05
RUT,1,-120,0,1,1.31999840078995E-07
RUT,1,-120,0,0,0
RUT,1,-120,0.237891431553398,0,0
RUT,1,-120,0,1.5,2.95240853616685E-07
RUT,1,-120,0,1,1.55749471082438E-05
RUT,1,-120,0,0,0
RUT,1,-120,0.0491730410194173,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0.144656008737864,1,1.52877158933567E-07
RUT,1,-120,0,0,0
RUT,1,-120,0.27495886383495,6,4.64047247391157E-06
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0.0578621162621358,1,1.49330855968599E-07
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0.5,6.6861331787354E-08
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0.0310667351941748,0.5,6.27443844619928E-08
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0.00598467330097085,0.5,4.62043570809542E-08
RUT,1,-120,0,0,0
RUT,1,-120,0.0345480813106795,0.5,2.07710138712597E-05
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-120,0,0,0
RUT,1,-10,2.51959429393203,37,0.000579861733784375
RUT,1,-10,0.403534109951455,9.5,0.000023580954183204
RUT,1,-10,0.666792981553398,16.75,6.31684807666965E-05
RUT,1,-10,2.58398879417475,43,0.000399337560073557
RUT,1,-10,0.770194507038835,15.75,3.95522838510897E-05
RUT,1,-10,0.761148901699027,12.5,0.000103510762240935
RUT,1,-10,1.0751770645631,17.25,0.00030955119411756
RUT,1,-10,6.63869017427182,68.75,0.00264762463273238
RUT,1,-10,0.533110753883495,3.5,0.000090772156346004
RUT,1,-10,1.64313404441748,14.75,0.000458591085557737
RUT,1,-10,5.1698830160194,53.5,0.00492494902477333
RUT,1,-10,1.6438969961165,18.75,0.000869950803855858
RUT,1,-10,2.73512083228155,46.5,0.000541083424350043
RUT,1,-10,1.43693299101942,24.25,0.000184290426237752
RUT,1,-10,3.7954027776699,45.25,0.000970675008633903
RUT,1,-10,1.58577347572815,15,0.000678588659495005
RUT,1,-10,2.24508496796116,13,0.000898483079512768
RUT,1,-10,0.229157034951456,7.5,2.44329832346048E-05
RUT,1,-10,0.18204107645631,5,1.85343974979569E-05
RUT,1,-10,1.75285001432039,25.25,0.000526372550788987
RUT,1,-10,1.46530602378641,27.75,0.000296509996575538
RUT,1,-10,0.41527359199029,8.25,0.000121945522687963
RUT,1,-10,2.7013378567961,32,0.000811250350557822
RUT,1,-10,1.24195372524272,9.5,0.000408674740693238
RUT,1,-10,1.86568183446602,18.25,0.00033027937297376
RUT,1,-10,1.92190360461165,18.5,0.000567991664325353
RUT,1,-10,0.660001558252425,11,5.72996106076815E-05
RUT,1,-10,1.23275676262136,3.75,0.000666082805450947
RUT,1,-10,2.58587338203882,27.25,0.000693461946252357
RUT,1,-10,1.85176981165049,25.75,0.00027440492312215
RUT,1,-10,2.78757955606795,22.5,0.00118729561262053
RUT,1,-10,1.18578522669903,9,0.000260464465112968
RUT,1,-10,0.0690414546116503,1.5,2.04449172345883E-07
RUT,1,-10,1.10550951529126,10.25,0.000276520644663305
RUT,1,-10,2.49720572427184,29,0.000620762672014142
RUT,1,-10,0.848753011407765,18,0.000061065561175847
RUT,1,-10,0.202264076213592,5.5,2.55423747228262E-05
RUT,1,-10,1.49484000800971,21.5,0.000443953437718203
RUT,1,-10,2.70846547815533,35.25,0.000842639839758007
RUT,1,-10,0.791509126941748,12,0.000100066178169845
RUT,1,-20,2.02651669126214,28.75,0.000638700963869748
RUT,1,-20,4.47493182233007,52.75,0.00139212454169957
RUT,1,-20,0.906648103398057,12.5,9.12836405534043E-05
RUT,1,-20,1.44143336868932,23.75,0.00034403659572496
RUT,1,-20,1.97629050412621,25.5,0.000519289419925102
RUT,1,-20,1.26344523543689,10.5,0.000325352337059943
RUT,1,-20,3.2900685934466,20,0.0038144078351267
RUT,1,-20,0.80023667621359,9.5,8.55695558430878E-05
RUT,1,-20,5.28468850776697,45,0.00170899040699484
RUT,1,-20,3.59689929587377,44,0.00206212532382928
RUT,1,-20,2.19672967378641,15.5,0.000475032596908238
RUT,1,-20,3.1268251145631,21,0.00179856996002318
RUT,1,-20,4.07169738009708,27.25,0.00130946951621402
RUT,1,-20,0.0793736252427183,3,2.35045337032946E-07
RUT,1,-20,0.556935933009708,6.5,8.15063414290577E-05
RUT,1,-20,1.16784528616505,13.5,0.00085126805411141
RUT,1,-20,0.243047202184466,4.5,1.80108597364666E-05
RUT,1,-20,1.80492730582524,20,0.000598320470051303
RUT,1,-20,0.0800399276699028,2,2.37018426606096E-07
RUT,1,-20,0.0629247046116503,2.5,1.86335931801813E-07
RUT,1,-20,0.259732922087378,4.5,0.0000466870201004
RUT,1,-20,1.76488417354369,33,0.000255976741952015
RUT,1,-20,0.946131897572815,11.25,0.000437504151281152
RUT,1,-20,0.416213136650485,3.75,0.000529068704762945
RUT,1,-20,0.05202085,2,1.54046866005873E-07
RUT,1,-20,0.13195013592233,3,0.000036741972203487
RUT,1,-20,0.216041867961165,1.5,0.000129122282915815
RUT,1,-20,0.294792060436892,7.5,6.72656244173978E-05
RUT,1,-20,4.16762802888347,45.75,0.00113062879590099
RUT,1,-20,0.722153504126212,12,0.000145753775405934
RUT,1,-20,2.67203128543688,40.25,0.00077538289633298
RUT,1,-20,3.2180998067961,26,0.00149877387797089
RUT,1,-20,2.03373964878641,25.5,0.000502173541584492
RUT,1,-20,1.66870357427184,15.25,0.000590163254415558
RUT,1,-20,0.94825797791262,10,0.0002918157700869
RUT,1,-20,2.97347258810677,30.5,0.000960612678218575
RUT,1,-20,4.35924373519418,46.5,0.00145172924114463
RUT,1,-20,0.12379997961165,3.5,3.32006118888798E-06
RUT,1,-20,0.30628607475728,6.5,6.89414899238327E-06
RUT,1,-20,1.07922713543689,12.75,0.000430029045388965
RUT,1,-40,0.940845783980582,6.75,0.000173458291427777
