Time,Cl alanine Dippold 1,Cs alanine Dippold 1,Cl alanine Dippold 2,Cs alanine Dippold 2,Cl alanine Dippold 3,Cs alanine Dippold 3,Cl alanine Dippold 4,Cs alanine Dippold 4,Cl alanine Dippold 5,Cs alanine Dippold 5
0,0.0000000005,0,0.000000005,0,0.00000005,0,0.0000005,0,0.000005,0
2100,3.05071154939889E-10,9.74644225300556E-10,3.56260222325224E-09,7.1869888837388E-09,4.63205930280865E-08,1.83970348595673E-08,3.54612101960922E-07,7.2693949019539E-07,3.5531982042811E-06,7.23400897859451E-06
