Time,Cl alanine Fischer 1,Cs alanine Fischer 1,Cl alanine Fischer 2,Cs alanine Fischer 2,Cl alanine Fischer 3,Cs alanine Fischer 3
0,0.0000001,0,0.0000005,0,0.000001,0
200,9.07153877711187E-08,2.08903775149829E-08,4.41400319277968E-07,1.31849281624573E-07,8.90715387771118E-07,2.45890377514984E-07
