Time,Cl glucose Fischer 1,Cs glucose Fischer 1,Cl glucose Fischer 2,Cs glucose Fischer 2,Cl glucose Fischer 3,Cs glucose Fischer 3
0,0.0000001,0,0.0000005,0,0.000001,0
200,8.1582945383847E-08,4.14383728863443E-08,4.41400319277968E-07,1.31849281624573E-07,9.15677306292808E-07,1.89726060841182E-07
