Time alanine Fischer,Cl alanine Fischer,Cs alanine Fischer,Time glucose Fischer,Cl glucose Fischer,Cs glucose Fischer,Time alanine Dippold,Cl alanine Dippold,Cs alanine Dippold
1.21287003094482,8.64804104522338E-09,3.04190764824739E-09,31,8.9661016498753E-09,2.32627128778058E-09,19.3931739729533,4.91823892164474E-08,4.08805391776301E-09
2.02804662288532,8.92185568367107E-09,2.42582471174009E-09,30.5946891049845,8.59322039980341E-09,3.16525410044233E-09,5.54096482476241,4.85534588189203E-08,7.23270590539876E-09
20.3696318896987,7.75814425365777E-09,5.04417542927002E-09,0.600940709306431,8.79661022899685E-09,2.70762698475709E-09,55.4090395064789,4.83018868902308E-08,8.49056554884624E-09
21.1848084816392,8.32288651459197E-09,3.77350534216807E-09,1.81690308093416,8.93220324156031E-09,2.4025427064893E-09,13.8523106050485,4.80503138099346E-08,9.74843095032723E-09
53.3844853699628,7.50144322596041E-09,5.62175274158908E-09,65.8575830388984,8.62711849777015E-09,3.08898338001716E-09,30.4750021656206,4.64779872403134E-08,1.7610063798433E-08
52.1617130188419,7.38164920413114E-09,5.89128929070493E-09,65.4522721438829,8.10169487580318E-09,4.27118652944284E-09,60.9499028743836,4.6855345709151E-08,1.5723271454245E-08
123.897700902214,7.96350507581566E-09,4.58211357941477E-09,142.868553033043,8.22033883938328E-09,4.00423761138762E-09,55.4090395064789,4.76100626468263E-08,1.19496867658687E-08
123.082509383853,7.48432961521009E-09,5.6602583657773E-09,225.553994303729,7.83050854032801E-09,4.88135578426198E-09,357.387868552301,4.72327041779886E-08,1.3836479110057E-08
195.633658932746,8.11752569243408E-09,4.23556719202332E-09,226.36461609376,8.25423724769826E-09,3.92796619267892E-09,362.928833377064,4.64779872403134E-08,1.7610063798433E-08
196.041269618347,7.50144322596041E-09,5.62175274158908E-09,142.868553033043,8.22033883938328E-09,4.00423761138762E-09,362.928833377064,4.55345910682194E-08,2.23270446589032E-08
269,8.03195857874971E-09,4.42809319781315E-09,144.08451540467,8.30508470499662E-09,3.81355941375761E-09,728.627946252792,4.69182384034217E-08,1.54088079828915E-08
269.81519151836,6.74845375361864E-09,7.31597905435806E-09,288.784037628372,7.99999996120646E-09,4.50000008728546E-09,720.316600472508,4.62264141600172E-08,1.8867929199914E-08
,,,,,,717.546219516984,4.47798741305442E-08,2.61006293472792E-08
,,,,,,2158.17962337572,4.65408810861908E-08,1.72955945690462E-08
,,,,,,2166.490969156,4.55974849140968E-08,2.20125754295162E-08
,,,,,,2155.40903950648,4.49056595190856E-08,2.5471702404572E-08
