node1ID node2ID branchID x1 y1 z1 x2 y2 z2 radius time age type organ parent_node_id 
23861 23862 19 0.0079 0.0921 -3.0399 0.0428 0.5324 -3.2743 0.0417 0.0982 30.0000 1 2 19  
35429 35430 28 -0.5467 -0.1814 -3.1985 -0.5732 -0.1923 -3.2147 0.0441 0.0986 30.0000 1 2 28  
26221 26222 21 0.4955 -0.2153 -3.2389 0.5619 -0.2437 -3.2863 0.0361 0.0988 30.0000 1 2 21  
7901 7902 7 0.1432 -0.5449 -3.1705 0.1523 -0.6087 -3.1913 0.0277 0.0991 30.0000 1 2 7  
1306 1307 2 0.0413 -0.0886 -3.0186 0.2544 -0.5208 -3.1520 0.0390 0.0991 30.0000 1 2 2  
18508 18509 15 -0.5382 0.1664 -3.1720 -0.5772 0.1809 -3.1859 0.0380 0.0992 30.0000 1 2 15  
34117 34118 27 0.0454 0.0742 -3.0362 0.2672 0.4568 -3.2696 0.0379 0.1014 30.0000 1 2 27  
30331 30332 24 0.0461 0.0803 -3.0307 0.2717 0.4706 -3.2469 0.0412 0.1037 30.0000 1 2 24  
6595 6596 6 -0.0425 0.0973 -3.0346 -0.2361 0.5235 -3.2105 0.0444 0.1044 30.0000 1 2 6  
2 3 1 0.0274 0.0677 -3.5815 0.0264 0.0650 -3.6611 0.0322 0.1047 30.0000 1 2 1  
21281 21282 17 0.0708 0.0590 -3.0549 0.4245 0.2710 -3.3377 0.0366 0.1048 30.0000 1 2 17  
10609 10610 9 -0.3270 0.4414 -3.2430 -0.3922 0.5460 -3.3083 0.0364 0.1052 30.0000 1 2 9  
39661 39662 31 -0.0029 0.0895 -3.0230 -0.0689 0.5711 -3.1400 0.0419 0.1057 30.0000 1 2 31  
14752 14753 12 -0.0485 -0.0768 -3.0117 -0.3620 -0.4644 -3.0502 0.0343 0.1057 30.0000 1 2 12  
32811 32812 26 0.0048 -0.1138 -3.0113 -0.0763 -0.6023 -3.0804 0.0435 0.1065 30.0000 1 2 26  
34118 34119 27 0.2672 0.4568 -3.2696 0.2793 0.4845 -3.2857 0.0379 0.1073 30.0000 1 2 27  
31624 31625 25 0.0746 0.0607 -3.0176 0.4504 0.3568 -3.1629 0.0456 0.1084 30.0000 1 2 25  
27504 27505 22 0.0816 0.0522 -3.0203 0.4987 0.3028 -3.1355 0.0406 0.1089 30.0000 1 2 22  
36930 36931 29 0.5776 0.0150 -3.1458 0.7058 0.0237 -3.1954 0.0403 0.1097 30.0000 1 2 29  
39662 39663 31 -0.0689 0.5711 -3.1400 -0.0734 0.6009 -3.1494 0.0419 0.1113 30.0000 1 2 31  
3846 3847 4 0.0331 0.0923 -3.0016 0.1175 0.5834 -3.0423 0.0438 0.1129 30.0000 1 2 4  
19941 19942 16 -0.0897 0.0044 -3.0229 -0.5582 0.0174 -3.1970 0.0388 0.1140 30.0000 1 2 16  
1307 1308 2 0.2544 -0.5208 -3.1520 0.3003 -0.6026 -3.1688 0.0390 0.1150 30.0000 1 2 2  
2742 2743 3 -0.1122 -0.0182 -3.0194 -0.5897 -0.1120 -3.1341 0.0364 0.1159 30.0000 1 2 3  
28874 28875 23 -0.5487 0.0602 -3.2270 -0.7620 0.0867 -3.3253 0.0385 0.1161 30.0000 1 2 23  
23862 23863 19 0.0428 0.5324 -3.2743 0.0485 0.6480 -3.3274 0.0417 0.1191 30.0000 1 2 19  
21282 21283 17 0.4245 0.2710 -3.3377 0.4876 0.2963 -3.3894 0.0366 0.1196 30.0000 1 2 17  
13431 13432 11 0.0269 -0.1138 -3.0186 0.0849 -0.6037 -3.0998 0.0422 0.1198 30.0000 1 2 11  
9397 9398 8 -0.5277 0.2113 -3.1811 -0.6454 0.2681 -3.2186 0.0472 0.1200 30.0000 1 2 8  
16099 16100 13 0.1146 -0.5865 -2.9811 0.1526 -0.7684 -2.9765 0.0426 0.1219 30.0000 1 2 13  
6596 6597 6 -0.2361 0.5235 -3.2105 -0.2576 0.6246 -3.2442 0.0444 0.1230 30.0000 1 2 6  
14753 14754 12 -0.3620 -0.4644 -3.0502 -0.4205 -0.5413 -3.0570 0.0343 0.1231 30.0000 1 2 12  
17521 17522 14 -0.0216 0.0697 -3.0496 -0.1411 0.4687 -3.3262 0.0418 0.1234 30.0000 1 2 14  
30332 30333 24 0.2717 0.4706 -3.2469 0.3164 0.5612 -3.2999 0.0412 0.1236 30.0000 1 2 24  
25158 25159 20 0.5074 -0.3001 -3.0619 0.6200 -0.3996 -3.1098 0.0359 0.1242 30.0000 1 2 20  
19942 19943 16 -0.5582 0.0174 -3.1970 -0.6134 0.0204 -3.2210 0.0388 0.1256 30.0000 1 2 16  
17522 17523 14 -0.1411 0.4687 -3.3262 -0.1481 0.4865 -3.3421 0.0418 0.1286 30.0000 1 2 14  
32812 32813 26 -0.0763 -0.6023 -3.0804 -0.0932 -0.7286 -3.1022 0.0435 0.1290 30.0000 1 2 26  
3847 3848 4 0.1175 0.5834 -3.0423 0.1081 0.6867 -3.0481 0.0438 0.1326 30.0000 1 2 4  
2743 2744 3 -0.5897 -0.1120 -3.1341 -0.6872 -0.1445 -3.1615 0.0364 0.1361 30.0000 1 2 3  
27505 27506 22 0.4987 0.3028 -3.1355 0.6259 0.3703 -3.1864 0.0406 0.1368 30.0000 1 2 22  
31625 31626 25 0.4504 0.3568 -3.1629 0.5707 0.4452 -3.2230 0.0456 0.1377 30.0000 1 2 25  
13432 13433 11 0.0849 -0.6037 -3.0998 0.1176 -0.7224 -3.1261 0.0422 0.1443 30.0000 1 2 11  
12145 12146 10 -0.2149 -0.5193 -3.2943 -0.2973 -0.9382 -3.5546 0.0353 0.1496 30.0000 1 2 10  
12146 12147 10 -0.2973 -0.9382 -3.5546 -0.2989 -1.0019 -3.5964 0.0353 0.1597 30.0000 1 2 10  
38130 38131 30 -0.0089 -0.7149 -3.1115 -0.1398 -1.1446 -3.3311 0.0332 0.1639 30.0000 1 2 30  
22488 22489 18 0.5881 0.0928 -3.2152 1.0309 0.1724 -3.4334 0.0366 0.1681 30.0000 1 2 18  
5186 5187 5 -0.5600 -0.1078 -3.1998 -0.9882 -0.1906 -3.4444 0.0365 0.1694 30.0000 1 2 5  
22489 22490 18 1.0309 0.1724 -3.4334 1.0408 0.1736 -3.4378 0.0366 0.1697 30.0000 1 2 18  
26222 26223 21 0.5619 -0.2437 -3.2863 0.9155 -0.3983 -3.6042 0.0361 0.1722 30.0000 1 2 21  
10610 10611 9 -0.3922 0.5460 -3.3083 -0.6653 0.8519 -3.5462 0.0364 0.1730 30.0000 1 2 9  
7902 7903 7 0.1523 -0.6087 -3.1913 0.2316 -1.0754 -3.3523 0.0277 0.1751 30.0000 1 2 7  
35430 35431 28 -0.5732 -0.1923 -3.2147 -0.9691 -0.3541 -3.4737 0.0441 0.1759 30.0000 1 2 28  
18509 18510 15 -0.5772 0.1809 -3.1859 -1.0187 0.3472 -3.3515 0.0380 0.1779 30.0000 1 2 15  
5187 5188 5 -0.9882 -0.1906 -3.4444 -1.0478 -0.2024 -3.4787 0.0365 0.1801 30.0000 1 2 5  
38131 38132 30 -0.1398 -1.1446 -3.3311 -0.1755 -1.2510 -3.3861 0.0332 0.1807 30.0000 1 2 30  
3 4 1 0.0264 0.0650 -3.6611 0.0201 0.0985 -4.1599 0.0322 0.1839 30.0000 1 2 1  
36931 36932 29 0.7058 0.0237 -3.1954 1.1669 0.0130 -3.3885 0.0403 0.1850 30.0000 1 2 29  
26223 26224 21 0.9155 -0.3983 -3.6042 0.9778 -0.4174 -3.6668 0.0361 0.1855 30.0000 1 2 21  
28875 28876 23 -0.7620 0.0867 -3.3253 -1.2078 0.0913 -3.5516 0.0385 0.1863 30.0000 1 2 23  
7903 7904 7 0.2316 -1.0754 -3.3523 0.2360 -1.1489 -3.3786 0.0277 0.1870 30.0000 1 2 7  
4 5 1 0.0201 0.0985 -4.1599 0.0218 0.0992 -4.1845 0.0322 0.1878 30.0000 1 2 1  
34119 34120 27 0.2793 0.4845 -3.2857 0.4534 0.8813 -3.5352 0.0379 0.1933 30.0000 1 2 27  
28876 28877 23 -1.2078 0.0913 -3.5516 -1.2614 0.1047 -3.5809 0.0385 0.1951 30.0000 1 2 23  
1308 1309 2 0.3003 -0.6026 -3.1688 0.5210 -1.0381 -3.2769 0.0390 0.1983 30.0000 1 2 2  
