x1 y1 z1 x2 y2 z2 radius R G B time type organ 
3.4726 0.9928 -6.1852 3.5697 0.9976 -6.4155 0.2000 1.0000 0.0000 0.0000 1.1589 1.0000 2.0000 
3.5697 0.9976 -6.4155 3.6369 0.9996 -6.6563 0.2000 1.0000 0.0000 0.0000 1.2151 1.0000 2.0000 
3.6369 0.9996 -6.6563 3.6369 0.9996 -6.6563 0.2000 1.0000 0.0000 0.0000 1.2151 1.0000 2.0000 
3.6369 0.9996 -6.6563 3.6889 0.9886 -6.9006 0.2000 1.0000 0.0000 0.0000 1.2713 1.0000 2.0000 
3.6889 0.9886 -6.9006 3.7271 0.9481 -7.1443 0.2000 1.0000 0.0000 0.0000 1.3277 1.0000 2.0000 
3.7271 0.9481 -7.1443 3.7561 0.9138 -7.3902 0.2000 1.0000 0.0000 0.0000 1.3841 1.0000 2.0000 
3.7561 0.9138 -7.3902 3.7908 0.8790 -7.6354 0.2000 1.0000 0.0000 0.0000 1.4407 1.0000 2.0000 
3.7908 0.8790 -7.6354 3.7908 0.8790 -7.6354 0.2000 1.0000 0.0000 0.0000 1.4407 1.0000 2.0000 
3.7908 0.8790 -7.6354 3.8300 0.8464 -7.8801 0.2000 1.0000 0.0000 0.0000 1.4973 1.0000 2.0000 
3.8300 0.8464 -7.8801 3.8691 0.8138 -8.1249 0.2000 1.0000 0.0000 0.0000 1.5540 1.0000 2.0000 
3.8691 0.8138 -8.1249 3.8912 0.7800 -8.3716 0.2000 1.0000 0.0000 0.0000 1.6108 1.0000 2.0000 
3.8912 0.7800 -8.3716 3.9192 0.7476 -8.6179 0.2000 1.0000 0.0000 0.0000 1.6677 1.0000 2.0000 
3.9192 0.7476 -8.6179 3.9192 0.7476 -8.6179 0.2000 1.0000 0.0000 0.0000 1.6677 1.0000 2.0000 
3.9192 0.7476 -8.6179 3.9486 0.7100 -8.8633 0.2000 1.0000 0.0000 0.0000 1.7248 1.0000 2.0000 
3.9486 0.7100 -8.8633 3.9757 0.6600 -9.1067 0.2000 1.0000 0.0000 0.0000 1.7818 1.0000 2.0000 
3.9757 0.6600 -9.1067 3.9757 0.6600 -9.1067 0.2000 1.0000 0.0000 0.0000 1.7818 1.0000 2.0000 
3.9757 0.6600 -9.1067 3.9810 0.5895 -9.3465 0.2000 1.0000 0.0000 0.0000 1.8390 1.0000 2.0000 
3.9810 0.5895 -9.3465 4.0119 0.5235 -9.5857 0.2000 1.0000 0.0000 0.0000 1.8963 1.0000 2.0000 
4.0119 0.5235 -9.5857 4.0390 0.4686 -9.8281 0.2000 1.0000 0.0000 0.0000 1.9537 1.0000 2.0000 
4.0390 0.4686 -9.8281 4.0653 0.4057 -10.0686 0.2000 1.0000 0.0000 0.0000 2.0112 1.0000 2.0000 
4.0653 0.4057 -10.0686 4.0653 0.4057 -10.0686 0.2000 1.0000 0.0000 0.0000 2.0112 1.0000 2.0000 
4.0653 0.4057 -10.0686 4.1154 0.3476 -10.3065 0.2000 1.0000 0.0000 0.0000 2.0688 1.0000 2.0000 
4.1154 0.3476 -10.3065 4.1734 0.2935 -10.5436 0.2000 1.0000 0.0000 0.0000 2.1264 1.0000 2.0000 
4.1734 0.2935 -10.5436 4.2244 0.2517 -10.7848 0.2000 1.0000 0.0000 0.0000 2.1842 1.0000 2.0000 
4.2244 0.2517 -10.7848 4.2746 0.2113 -11.0263 0.2000 1.0000 0.0000 0.0000 2.2421 1.0000 2.0000 
4.2746 0.2113 -11.0263 4.3241 0.1914 -11.2705 0.2000 1.0000 0.0000 0.0000 2.3000 1.0000 2.0000 
4.3241 0.1914 -11.2705 4.3662 0.1645 -11.5155 0.2000 1.0000 0.0000 0.0000 2.3581 1.0000 2.0000 
4.3662 0.1645 -11.5155 4.3662 0.1645 -11.5155 0.2000 1.0000 0.0000 0.0000 2.3581 1.0000 2.0000 
4.3662 0.1645 -11.5155 4.3964 0.1954 -11.7617 0.2000 1.0000 0.0000 0.0000 2.4162 1.0000 2.0000 
