system,year,day,depth,measured_mean,measured_std,simulated_mean,simulated_std
soil_core,1995,,15,1.6376666666666668,0.7939530632642379,2.2802104021860403,0.7463685748721673
soil_core,1995,,30,1.522,0.6256612501985398,1.7268549492013474,0.40728320853056144
soil_core,1995,,45,0.4861666666666667,0.5437923929834498,1.157571643730239,0.37322273682075896
soil_core,1995,,60,0.4808333333333333,0.49947549155756055,0.8389229561760034,0.23236229831963848
soil_core,1995,,75,0.5431666666666667,0.4491482680214482,0.8278669853723762,0.21759637083550032
soil_core,1995,,90,0.2518333333333333,0.19882999438381188,0.7473167287841288,0.16204177961084676
soil_core,1995,,105,0.0715,0.0318040877875785,0.7632111475003213,0.250897552539559
soil_core,1995,,120,0.068,0.06849233533761277,0.6900958272995755,0.28109195688150446
minirhizo,1995,172.0,35,1.425,1.3695466018857634,1.6666666666666667,0.9090593428863095
minirhizo,1995,172.0,40,0.8,0.9090191359227175,1.5416666666666667,1.1311559967081857
minirhizo,1995,172.0,45,0.45,0.7236602866858977,0.7083333333333334,0.8090203266228166
minirhizo,1995,172.0,50,0.625,0.455232734000163,0.7916666666666666,0.5086064839889043
minirhizo,1995,172.0,55,0.725,0.6584471365105534,0.9583333333333334,0.834374349770866
minirhizo,1995,172.0,60,0.55,0.6261830907633124,1.1666666666666667,0.9090593428863095
minirhizo,1995,172.0,65,0.2,0.49736145915484004,1.0,0.8036375634160796
minirhizo,1995,172.0,70,0.25,0.4442616583193193,1.4166666666666667,1.0573814617041266
minirhizo,1995,172.0,75,0.1,0.3077935056255462,1.0416666666666667,0.5667279378639769
minirhizo,1995,172.0,80,0.1,0.4472135954999579,0.75,1.1273124382057236
minirhizo,1995,172.0,85,0.0,0.0,1.2083333333333333,0.8090203266228166
minirhizo,1995,172.0,90,0.125,0.31933318682925255,1.1666666666666667,0.7021791477646966
minirhizo,1995,172.0,95,0.0,0.0,0.875,0.6414501799308605
minirhizo,1995,172.0,100,0.0,0.0,1.2083333333333333,1.3023749673406488
minirhizo,1995,172.0,105,0.0,0.0,1.25,0.8897565210026093
minirhizo,1995,172.0,110,0.0,0.0,0.6666666666666666,0.4487637339278754
minirhizo,1995,172.0,115,0.0,0.0,1.0,1.0307764064044151
minirhizo,1995,172.0,120,0.1,0.3077935056255462,0.9166666666666666,0.6236095644623235
minirhizo,1995,191.0,35,0.8541666666666666,1.1080649669647051,1.7083333333333333,0.9510593508761106
minirhizo,1995,191.0,40,1.0833333333333333,1.017954755408103,1.875,0.9100137361600648
minirhizo,1995,191.0,45,1.0208333333333333,0.9833302628298906,0.7083333333333334,0.8090203266228166
minirhizo,1995,191.0,50,0.875,1.0859778202555321,0.7916666666666666,0.5086064839889043
minirhizo,1995,191.0,55,1.2727272727272727,1.4938546554473535,0.9583333333333334,0.834374349770866
minirhizo,1995,191.0,60,1.4791666666666667,1.4631648742624197,1.1666666666666667,0.9090593428863095
minirhizo,1995,191.0,65,2.0476190476190474,3.142072412854142,1.0,0.8036375634160796
minirhizo,1995,191.0,70,1.2391304347826086,1.223534050659208,1.4166666666666667,1.0573814617041266
minirhizo,1995,191.0,75,0.8,0.6766791978789545,1.0416666666666667,0.5667279378639769
minirhizo,1995,191.0,80,0.4782608695652174,0.7458713767613936,0.75,1.1273124382057236
minirhizo,1995,191.0,85,0.7083333333333334,1.1025333147551268,1.2083333333333333,0.8090203266228166
minirhizo,1995,191.0,90,0.8125,1.1402945843642487,1.1666666666666667,0.7021791477646966
minirhizo,1995,191.0,95,0.2916666666666667,0.5500329370901873,0.875,0.6414501799308605
minirhizo,1995,191.0,100,0.25,0.44232586846469146,1.25,1.2747548783981961
minirhizo,1995,191.0,105,0.10416666666666667,0.2544886888520258,1.25,0.8897565210026093
minirhizo,1995,191.0,110,0.25,0.6756639246921763,0.7083333333333334,0.4187448175467038
minirhizo,1995,191.0,115,0.25,0.7372097807744857,1.0416666666666667,1.1219093348196882
minirhizo,1995,191.0,120,0.20833333333333334,0.6580053301400784,0.9166666666666666,0.6236095644623235
minirhizo,1995,220.0,35,0.8,1.1630269037934455,2.25,1.4648663192705789
minirhizo,1995,220.0,40,0.625,0.758721223333605,2.0416666666666665,0.8710227066819529
minirhizo,1995,220.0,45,0.725,0.9662052740380521,1.0416666666666667,0.8710227066819529
minirhizo,1995,220.0,50,1.225,1.4186260959111108,0.9166666666666666,0.5137011669140814
